Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,Elite%
G,465,Lis,4.0,4.0,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,466,Lumley,4.0,4.0,Southampton,0,0.00,2,0.09,2,0.08,4,0.14,4,0.14,4,0.15,4,0.14,4,0.16,4,0.14,4,0.14,5,0.16,5,0.17,0.00
D,467,Manning,4.5,4.5,Southampton,21,0.57,24,1.00,23,0.77,23,0.78,24,1.14,25,0.81,25,0.43,26,1.20,27,0.41,27,1.14,26,0.90,26,0.73,0.00
F,468,Mara,5.0,5.0,Southampton,33,1.52,30,1.72,28,1.41,29,1.50,29,1.81,31,1.52,30,1.23,31,1.89,32,1.26,31,1.65,31,1.50,31,1.46,0.00
G,469,McCarthy,4.5,4.5,Southampton,94,3.13,92,3.38,93,3.17,91,3.05,91,3.41,90,3.10,90,2.89,91,3.35,91,2.97,90,3.28,90,3.10,89,2.91,0.00
F,470,Onuachu,5.0,5.0,Southampton,4,0.31,3,0.26,2,0.16,2,0.14,2,0.18,3,0.22,3,0.21,4,0.30,3,0.20,3,0.26,3,0.25,4,0.26,0.00
M,471,Smallbone,5.0,5.0,Southampton,82,2.58,76,3.01,71,2.49,70,2.55,67,2.94,68,2.44,67,1.92,70,2.94,69,1.93,68,2.64,69,2.40,68,2.26,0.00
D,472,Stephens,4.0,4.0,Southampton,14,0.27,14,0.42,17,0.42,15,0.38,20,0.74,22,0.56,22,0.28,23,0.81,23,0.25,22,0.76,22,0.64,26,0.55,0.00
F,473,Stewart,4.5,4.5,Southampton,0,0.00,11,0.74,22,1.18,26,1.43,26,1.79,26,1.42,25,1.11,26,1.76,29,1.21,27,1.60,27,1.39,27,1.35,0.01
D,474,Sugawara,4.5,4.5,Southampton,57,1.28,58,2.41,57,1.72,55,1.74,56,2.56,56,1.66,54,0.74,55,2.45,55,0.63,58,2.30,56,1.84,54,1.34,0.00
D,475,Taylor,4.0,4.0,Southampton,56,0.93,54,1.84,54,1.28,55,1.32,53,1.97,52,1.20,51,0.49,50,1.78,50,0.39,51,1.67,50,1.32,48,0.89,0.06
D,476,Walker-Peters,4.5,4.5,Southampton,60,1.03,58,1.97,59,1.46,58,1.45,57,2.19,56,1.34,58,0.54,58,2.14,57,0.44,55,1.86,56,1.50,58,1.10,0.01
D,477,Wood,4.0,4.0,Southampton,0,0.00,0,0.00,1,0.04,0,0.00,0,0.00,2,0.07,2,0.04,2,0.08,2,0.04,3,0.10,3,0.10,3,0.07,0.01
D,478,A.Phillips,4.0,4.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.04,1,0.03,1,0.03,1,0.04,1,0.02,0.01
G,479,Austin,4.0,4.0,Spurs,0,0.00,3,0.13,3,0.09,3,0.11,3,0.13,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,480,Bentancur,5.0,5.0,Spurs,68,2.41,58,2.17,45,1.52,44,1.45,45,1.75,46,1.52,43,1.50,44,1.67,46,1.59,50,1.78,46,1.94,47,1.37,0.00
M,481,Bergvall,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.01
M,482,Bissouma,5.0,5.0,Spurs,8,0.30,29,1.05,60,1.80,64,1.82,62,2.13,62,1.83,63,1.92,62,2.13,61,1.89,59,1.94,60,2.26,60,1.59,0.00
M,483,Bryan,5.0,5.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,484,Davies,4.5,4.5,Spurs,16,0.62,10,0.41,14,0.40,13,0.36,15,0.63,16,0.48,16,0.51,17,0.67,18,0.62,15,0.56,19,0.91,19,0.39,0.00
M,485,Devine,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,486,Dragusin,4.5,4.5,Spurs,17,0.64,16,0.67,18,0.51,21,0.59,22,0.94,23,0.67,22,0.72,22,0.83,23,0.77,26,0.95,26,1.21,24,0.46,0.00
D,487,E.Royal,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,488,Forster,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,4,0.14,5,0.17,5,0.18,4,0.14,3,0.13,3,0.15,4,0.12,0.00
M,489,Gray,5.0,5.0,Spurs,4,0.12,4,0.14,4,0.13,4,0.11,5,0.17,6,0.20,6,0.19,7,0.22,7,0.21,6,0.20,7,0.23,6,0.18,0.00
M,490,Højbjerg,5.0,5.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,491,Johnson,6.5,6.5,Spurs,71,4.21,69,4.16,66,3.24,65,2.90,64,3.96,66,3.23,64,3.27,64,3.88,63,3.23,63,3.59,64,4.68,62,2.40,0.01
M,492,Kulusevski,6.5,6.5,Spurs,44,2.28,43,2.31,40,1.78,39,1.67,41,2.30,42,1.86,42,1.96,41,2.20,42,1.92,42,2.11,42,2.57,41,1.52,0.03
M,493,Lo Celso,5.0,5.0,Spurs,10,0.55,10,0.55,8,0.43,10,0.47,9,0.53,9,0.49,10,0.51,11,0.59,10,0.51,10,0.54,11,0.69,11,0.47,0.00
M,494,Maddison,7.5,7.5,Spurs,65,4.06,61,3.90,55,2.90,56,2.66,56,3.71,55,2.86,53,2.90,54,3.47,55,2.97,54,3.37,54,4.22,53,2.19,0.04
D,495,Pedro Porro,5.5,5.5,Spurs,88,4.26,86,4.71,84,2.83,83,2.58,81,4.31,80,2.75,81,3.11,79,3.92,79,3.17,80,3.59,81,4.95,80,1.67,0.34
D,496,Reguilón,4.5,4.5,Spurs,10,0.47,7,0.34,7,0.28,7,0.27,8,0.37,9,0.33,8,0.32,8,0.38,10,0.39,9,0.41,9,0.46,9,0.26,0.00
F,497,Richarlison,7.0,7.0,Spurs,19,1.27,20,1.35,21,1.27,24,1.28,25,1.74,27,1.48,26,1.53,27,1.76,26,1.51,27,1.72,27,2.07,28,1.27,0.01
D,498,Romero,5.0,5.0,Spurs,90,3.31,86,3.66,83,2.09,82,1.95,82,3.35,80,2.08,82,2.39,81,2.99,81,2.49,79,2.70,78,3.65,79,1.22,0.05
M,499,P.Sarr,5.0,5.0,Spurs,69,2.57,61,2.39,57,1.91,54,1.73,55,2.20,53,1.81,54,1.87,53,2.09,51,1.79,52,1.95,53,2.31,52,1.52,0.00
F,500,Scarlett,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,501,Skipp,5.0,5.0,Spurs,18,0.73,15,0.62,11,0.44,11,0.42,11,0.45,12,0.46,12,0.48,11,0.46,13,0.50,12,0.47,14,0.58,14,0.52,0.00
M,502,Solomon,5.5,5.5,Spurs,4,0.34,5,0.43,7,0.44,6,0.38,7,0.51,7,0.44,7,0.46,7,0.48,9,0.54,9,0.58,10,0.76,9,0.46,0.00
M,503,Son,10.0,10.0,Spurs,87,5.95,85,5.83,84,4.63,83,4.05,80,5.65,81,4.44,81,4.65,81,5.57,81,4.57,80,5.23,78,6.58,80,3.40,0.10
D,504,Spence,4.5,4.5,Spurs,5,0.28,7,0.34,9,0.35,11,0.39,11,0.52,10,0.39,11,0.45,12,0.56,13,0.52,11,0.50,10,0.51,11,0.34,0.00
D,505,Udogie,5.0,5.0,Spurs,65,2.85,82,3.96,79,2.35,78,2.21,77,3.62,77,2.40,77,2.68,76,3.31,74,2.69,76,3.04,74,3.98,75,1.42,0.04
D,506,Van de Ven,4.5,4.5,Spurs,88,3.13,85,3.44,83,2.07,82,1.94,79,3.10,80,2.05,80,2.28,79,2.81,78,2.40,79,2.62,77,3.37,78,1.22,0.07
F,507,Veliz,5.0,5.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,508,Vicario,5.0,5.0,Spurs,94,3.79,92,3.82,92,3.28,91,3.13,91,3.68,90,3.24,90,3.30,90,3.49,91,3.46,91,3.44,91,3.90,91,3.07,0.04
M,509,Werner,6.5,6.5,Spurs,24,1.73,24,1.74,24,1.45,28,1.46,29,2.07,26,1.52,27,1.69,27,1.90,28,1.67,28,1.90,28,2.31,28,1.32,0.00
G,510,Whiteman,4.0,4.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.01
M,511,Álvarez,5.0,5.0,West Ham,0,0.00,34,0.95,69,1.73,79,2.15,79,2.18,78,2.17,78,2.57,79,1.96,77,2.16,78,2.17,77,2.31,78,1.93,0.00
F,512,Antonio,5.5,5.5,West Ham,37,1.98,36,1.75,35,1.55,34,1.79,37,1.90,38,1.92,37,2.39,38,1.67,37,1.92,37,1.87,37,2.06,38,1.77,0.01
G,513,Areola,4.5,4.5,West Ham,93,3.31,92,3.23,91,2.95,90,3.21,89,3.07,88,3.19,88,3.56,89,3.00,90,3.16,88,3.23,88,3.44,87,2.91,0.10
M,514,Bowen,7.5,7.5,West Ham,89,4.76,86,3.91,84,3.38,82,4.11,81,4.28,80,4.11,79,5.57,78,3.44,79,4.22,79,4.19,79,4.54,79,3.64,0.07
M,515,Cornet,5.0,5.0,West Ham,0,0.00,2,0.15,1,0.10,2,0.15,3,0.20,2,0.18,3,0.31,4,0.25,3,0.23,3,0.25,4,0.29,4,0.28,0.00
D,516,Coufal,4.5,4.5,West Ham,22,0.77,26,0.81,27,0.63,27,0.88,29,0.90,27,0.88,28,1.27,30,0.74,28,0.95,30,1.05,30,1.21,32,0.81,0.01
D,517,Cresswell,4.0,4.0,West Ham,11,0.42,13,0.45,15,0.42,16,0.56,17,0.60,17,0.61,18,0.84,18,0.53,19,0.71,19,0.71,20,0.85,17,0.50,0.02
M,518,Downes,5.0,5.0,Southampton,82,1.99,75,2.19,71,1.90,70,1.92,69,2.15,68,1.81,69,1.61,67,2.01,66,1.55,66,1.91,66,1.76,66,1.69,0.00
M,519,Earthy,4.5,4.5,West Ham,7,0.44,7,0.42,6,0.35,6,0.35,6,0.36,7,0.39,7,0.46,6,0.35,8,0.44,7,0.40,7,0.42,8,0.42,0.00
D,520,Emerson,4.5,4.5,West Ham,84,2.70,82,2.42,78,1.56,77,2.41,75,2.23,77,2.48,76,3.61,75,1.68,74,2.42,75,2.58,74,3.11,76,1.76,0.01
G,521,Fabianski,4.0,4.0,West Ham,2,0.07,3,0.12,4,0.13,4,0.15,5,0.17,6,0.23,6,0.27,5,0.17,5,0.17,6,0.23,7,0.26,7,0.25,0.13
G,522,Foderingham,4.5,4.5,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,523,Ings,5.0,5.0,West Ham,2,0.20,3,0.26,4,0.26,5,0.35,4,0.30,5,0.37,5,0.47,6,0.39,5,0.38,7,0.47,6,0.45,5,0.38,0.01
D,524,Kilman,4.5,4.5,West Ham,78,2.32,72,1.95,68,1.26,60,1.72,61,1.61,61,1.79,60,2.48,60,1.23,62,1.81,59,1.86,60,2.27,61,1.29,0.01
M,525,Kudus,6.5,6.5,West Ham,85,3.91,79,3.31,75,2.82,74,3.34,75,3.49,74,3.33,73,4.54,73,2.83,73,3.54,72,3.36,72,3.74,71,2.90,0.09
M,526,L.Guilherme,5.0,5.0,West Ham,3,0.24,4,0.29,3,0.22,4,0.27,4,0.28,4,0.30,5,0.41,5,0.30,5,0.35,5,0.34,5,0.36,6,0.36,0.00
M,527,L.Paquetá,6.0,6.0,West Ham,71,3.35,62,2.65,52,2.06,52,2.43,52,2.50,50,2.33,49,3.09,52,2.11,51,2.49,51,2.43,50,2.64,51,2.20,0.02
D,528,Mavropanos,4.5,4.5,West Ham,46,1.54,37,1.16,22,0.51,18,0.60,21,0.68,20,0.69,22,1.02,22,0.58,22,0.77,24,0.87,24,1.01,23,0.61,0.00
D,529,N.Aguerd,4.5,4.5,West Ham,64,1.94,53,1.46,41,0.83,45,1.36,42,1.18,41,1.25,45,1.92,42,0.92,43,1.30,43,1.43,44,1.73,45,1.00,0.00
M,530,Souček,5.0,5.0,West Ham,83,2.83,76,2.46,71,2.13,67,2.36,66,2.35,66,2.32,64,2.84,65,2.04,65,2.37,64,2.31,63,2.47,64,2.10,0.02
M,531,Ward-Prowse,6.5,6.5,West Ham,81,3.39,72,2.73,64,2.23,64,2.67,64,2.64,65,2.70,64,3.45,63,2.34,63,2.71,65,2.69,63,2.96,64,2.43,0.02
D,532,Zouma,4.5,4.5,West Ham,0,0.00,28,0.81,60,1.16,68,1.99,66,1.83,68,2.07,66,2.86,67,1.43,66,1.98,65,2.15,65,2.55,64,1.45,0.01
D,533,Aït-Nouri,4.5,4.5,Wolves,88,1.36,86,2.59,83,2.95,73,2.52,72,2.03,70,2.02,70,2.48,70,1.63,69,2.13,70,2.85,68,3.31,68,2.36,0.03
M,534,B.Traore,5.0,5.0,Wolves,16,0.58,21,0.78,21,0.78,23,0.85,23,0.82,23,0.82,26,0.91,24,0.82,26,0.90,25,0.93,26,1.01,27,0.96,0.00
M,535,Bellegarde,5.0,5.0,Wolves,26,1.02,28,1.28,28,1.27,27,1.27,28,1.21,28,1.18,29,1.27,28,1.11,28,1.20,29,1.33,30,1.56,31,1.32,0.00
G,536,Bentley,4.0,4.0,Wolves,0,0.00,2,0.07,2,0.09,2,0.08,3,0.10,4,0.12,3,0.11,4,0.12,4,0.14,5,0.17,4,0.18,5,0.17,0.02
M,537,Chiquinho,4.5,4.5,Wolves,2,0.15,2,0.18,2,0.16,3,0.20,4,0.28,3,0.22,5,0.32,4,0.24,4,0.27,4,0.29,4,0.30,4,0.27,0.00
M,538,Chirewa,4.5,4.5,Wolves,4,0.22,4,0.26,5,0.31,5,0.32,5,0.29,6,0.36,6,0.35,6,0.33,6,0.36,6,0.36,6,0.39,6,0.34,0.00
F,539,Chiwome,4.5,4.5,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,540,Cundle,4.5,4.5,Wolves,0,0.00,1,0.09,2,0.14,3,0.18,3,0.18,3,0.21,4,0.26,4,0.25,5,0.29,5,0.30,5,0.33,5,0.31,0.00
F,541,Cunha,6.5,6.5,Wolves,78,2.61,75,3.48,74,3.34,72,3.48,72,3.06,72,3.12,72,3.22,70,2.68,70,3.08,69,3.43,70,4.05,70,3.17,0.02
D,542,Dawson,4.5,4.5,Wolves,44,0.63,47,1.23,47,1.50,50,1.39,50,1.09,50,1.12,48,1.34,48,0.87,48,1.19,51,1.70,48,1.92,49,1.33,0.00
D,543,Doherty,4.5,4.5,Wolves,75,1.36,73,2.41,70,2.67,29,1.15,31,1.03,32,1.09,34,1.29,31,0.90,34,1.16,34,1.43,34,1.67,33,1.22,0.00
M,544,Doyle,5.0,5.0,Wolves,16,0.64,17,0.81,17,0.78,18,0.86,18,0.82,18,0.81,19,0.89,20,0.85,23,1.00,20,0.97,22,1.12,21,0.95,0.00
F,545,Fábio Silva,5.0,5.0,Wolves,7,0.37,6,0.42,6,0.42,9,0.53,9,0.51,9,0.52,10,0.55,10,0.51,11,0.58,10,0.60,11,0.70,10,0.53,0.00
F,546,Fraser,4.5,4.5,Wolves,6,0.32,7,0.39,7,0.42,8,0.43,7,0.40,8,0.42,8,0.44,9,0.44,9,0.44,10,0.49,9,0.52,9,0.46,0.06
M,547,Gonzalez,4.5,4.5,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,548,Guedes,5.5,5.5,Wolves,11,0.53,11,0.61,11,0.63,12,0.66,11,0.59,12,0.65,13,0.69,14,0.69,13,0.69,14,0.78,12,0.79,13,0.71,0.00
D,549,H.Bueno,4.5,4.5,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,550,Hee Chan,6.5,6.5,Wolves,77,2.71,74,3.61,72,3.47,71,3.55,71,3.09,69,3.13,68,3.21,67,2.68,69,3.14,70,3.59,69,4.17,71,3.24,0.01
M,551,Hodge,4.5,4.5,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.01
D,552,Hoever,4.0,4.0,Wolves,21,0.50,25,0.88,31,1.22,11,0.39,11,0.34,12,0.40,12,0.45,15,0.42,14,0.50,15,0.58,16,0.72,16,0.57,0.00
M,553,J.Gomes,5.0,5.0,Wolves,86,1.95,83,2.26,82,2.27,80,2.25,79,2.07,80,2.07,77,2.10,77,1.88,73,1.98,74,2.20,75,2.42,74,2.04,0.00
G,554,José Sá,4.5,4.5,Wolves,94,3.07,93,3.20,93,3.43,93,3.25,92,3.11,91,3.03,92,3.38,91,2.92,91,3.15,90,3.37,90,3.58,90,3.24,0.03
F,555,Kalajdžić,5.0,5.0,Wolves,1,0.09,4,0.26,7,0.46,7,0.48,9,0.51,9,0.50,9,0.53,8,0.47,8,0.49,8,0.52,8,0.55,9,0.51,0.00
G,556,King,4.0,4.0,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.01
M,557,Mario Jr.,5.0,5.0,Wolves,87,2.06,83,2.46,82,2.44,80,2.45,78,2.17,78,2.22,77,2.29,78,2.04,77,2.19,76,2.38,74,2.67,72,2.11,0.00
D,558,Mosquera,4.0,4.0,Wolves,45,0.73,49,1.37,47,1.58,47,1.43,46,1.15,48,1.20,47,1.46,48,0.95,51,1.38,49,1.76,53,2.18,50,1.47,0.01
D,559,N.Semedo,4.5,4.5,Wolves,0,0.00,0,0.00,0,0.00,80,2.37,80,1.89,80,1.92,79,2.35,80,1.48,78,2.01,77,2.72,77,3.18,78,2.22,0.00
M,560,Neto,6.5,6.5,Chelsea,28,1.46,28,1.69,28,1.82,27,1.70,29,1.71,30,1.92,30,2.11,29,1.48,29,1.85,28,1.57,29,1.48,32,2.13,0.01
D,561,Pedro Lima,4.0,4.0,Wolves,0,0.00,0,0.00,1,0.05,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.01
M,562,Podence,5.5,5.5,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,563,R.Gomes,5.5,5.5,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,564,S.Bueno,4.5,4.5,Wolves,81,1.04,77,1.94,78,2.31,73,1.96,74,1.59,71,1.59,73,2.05,72,1.28,71,1.71,69,2.25,71,2.64,70,1.88,0.00
M,565,Sarabia,5.5,5.5,Wolves,47,1.89,48,2.54,48,2.52,46,2.56,46,2.24,47,2.35,45,2.38,45,1.96,44,2.18,47,2.70,43,2.81,45,2.31,0.00
F,566,Strand Larsen,5.5,5.5,Wolves,40,1.58,43,2.13,44,2.14,42,2.06,42,1.93,41,1.87,40,1.95,42,1.75,39,1.88,40,2.05,39,2.36,42,2.03,0.00
D,567,Toti,4.5,4.5,Wolves,90,1.14,85,2.14,85,2.53,83,2.25,80,1.74,80,1.79,80,2.25,79,1.38,78,1.88,78,2.60,79,3.03,78,2.09,0.00
G,568,Muric,4.5,4.5,Ipswich,93,2.94,92,3.10,91,3.16,92,3.04,90,3.16,89,2.98,90,2.91,89,3.23,89,3.00,88,3.19,88,2.84,86,2.88,0.01
M,569,Jaden,5.5,5.5,Aston Villa,12,0.68,12,0.58,13,0.82,15,0.94,15,0.91,16,1.05,16,0.93,15,0.81,16,1.01,17,0.87,17,0.78,17,1.01,0.00
