Pos,ID,Name,BV,SV,Team,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,Elite%
M,1,Fábio Vieira,5.4,5.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,2,G.Jesus,6.8,6.8,Arsenal,33,1.58,39,2.93,42,3.41,43,2.68,41,2.44,36,2.17,39,2.21,29,2.09,30,1.87,32,2.16,33,2.01,34,2.57,0.00
D,3,Gabriel,6.0,6.0,Arsenal,88,2.37,86,4.79,83,4.65,81,3.58,79,3.08,79,2.96,75,2.58,74,3.96,74,3.38,74,3.31,74,3.41,73,3.99,0.27
F,4,Havertz,8.1,8.1,Arsenal,89,3.14,84,5.24,81,5.71,79,4.10,77,3.83,77,3.87,77,3.68,76,4.61,75,3.92,74,4.29,74,3.78,74,4.75,0.03
G,5,Hein,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,6,J.Timber,5.5,5.5,Arsenal,65,1.90,59,3.29,55,3.03,49,2.24,46,1.87,43,1.68,45,1.61,44,2.33,43,1.94,43,1.92,42,1.94,45,2.44,0.00
M,7,Jorginho,4.9,4.9,Arsenal,38,1.23,41,1.62,42,1.68,42,1.51,41,1.43,37,1.28,30,1.06,23,0.94,22,0.87,23,0.92,23,0.89,23,0.96,0.00
D,8,Kiwior,4.9,4.9,Arsenal,7,0.21,10,0.47,9,0.45,9,0.38,10,0.36,9,0.35,11,0.39,10,0.46,9,0.38,11,0.47,10,0.40,11,0.53,0.00
M,9,Martinelli,6.9,6.9,Arsenal,53,2.28,50,3.59,50,3.87,49,2.96,47,2.68,41,2.38,52,2.83,38,2.65,39,2.37,39,2.55,39,2.32,37,2.72,0.00
M,10,Nelson,5.0,5.0,Fulham,34,1.71,37,1.68,39,1.40,38,1.84,38,1.82,39,1.94,41,1.81,40,2.09,39,1.63,38,1.81,0,0.00,40,1.56,0.00
F,11,Nketiah,5.9,5.9,Crystal Palace,65,3.24,70,3.25,71,3.11,69,3.13,69,3.33,68,3.28,69,3.47,69,3.01,69,3.50,70,3.41,67,2.52,68,2.91,0.00
M,12,Nwaneri,4.5,4.5,Arsenal,13,0.54,14,0.71,15,0.76,16,0.73,16,0.73,10,0.49,14,0.64,7,0.42,7,0.38,7,0.41,8,0.42,8,0.46,0.00
M,13,Ødegaard,8.3,8.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,23,1.24,62,3.30,83,4.07,82,5.16,81,4.38,81,4.75,80,4.29,80,5.35,0.00
G,14,Ramsdale,4.4,4.4,Southampton,94,3.50,93,3.19,93,2.98,92,3.49,92,3.01,92,3.41,91,3.20,91,2.96,90,2.96,91,2.97,91,2.99,90,2.96,0.01
G,15,Raya,5.5,5.5,Arsenal,94,3.32,93,4.38,93,4.31,92,3.80,92,3.56,91,3.54,91,3.44,92,4.19,91,3.84,91,3.75,92,3.87,91,4.22,0.09
M,16,Rice,6.3,6.3,Arsenal,91,2.55,87,3.85,85,3.94,83,3.12,81,2.84,81,2.83,80,2.54,77,3.08,77,2.72,76,2.90,76,2.69,77,3.22,0.00
M,17,Saka,10.0,10.0,Arsenal,91,4.16,86,7.23,83,7.59,83,5.53,82,5.29,81,5.19,81,4.82,78,5.97,78,5.04,78,5.68,78,4.95,77,6.47,0.54
D,18,Saliba,6.0,6.0,Arsenal,92,2.27,88,4.42,86,4.38,84,3.45,83,2.97,82,2.80,81,2.53,81,3.96,82,3.35,80,3.20,81,3.42,80,3.95,0.05
M,19,Smith Rowe,5.7,5.7,Fulham,74,3.56,69,3.11,67,2.25,65,3.12,64,3.01,63,3.24,62,2.71,62,3.37,63,2.58,63,3.04,64,2.52,62,2.37,0.23
M,20,Thomas,5.0,5.0,Arsenal,63,1.76,60,2.31,57,2.35,57,1.99,52,1.74,47,1.59,41,1.37,34,1.37,35,1.28,34,1.30,32,1.19,33,1.33,0.00
D,21,Tierney,4.4,4.4,Arsenal,0,0.00,0,0.00,0,0.00,1,0.09,2,0.13,4,0.21,5,0.24,4,0.23,4,0.23,4,0.23,4,0.23,4,0.23,0.00
D,22,Tomiyasu,4.8,4.8,Arsenal,0,0.00,4,0.22,11,0.57,16,0.72,21,0.87,24,0.95,25,0.93,26,1.33,24,1.06,25,1.12,25,1.14,25,1.31,0.00
M,23,Trossard,6.9,6.9,Arsenal,62,2.64,62,4.45,61,4.69,58,3.55,52,2.96,46,2.70,48,2.65,39,2.70,38,2.32,39,2.52,38,2.32,37,2.70,0.00
D,24,White,6.5,6.5,Arsenal,89,2.31,83,4.48,80,4.37,79,3.46,76,2.92,75,2.74,74,2.48,75,3.82,75,3.18,75,3.17,74,3.22,74,3.83,0.00
D,25,Zinchenko,4.9,4.9,Arsenal,2,0.08,12,0.67,22,1.31,22,1.14,20,0.93,17,0.79,17,0.70,14,0.75,14,0.68,13,0.64,13,0.63,13,0.72,0.00
D,26,Alex Moreno,4.4,4.4,Nott'm Forest,56,1.86,54,2.45,55,1.44,55,2.41,55,2.29,54,2.38,54,2.02,52,1.22,54,2.71,53,1.04,53,1.55,0,0.00,0.00
F,27,Archer,5.0,5.0,Southampton,64,3.68,63,2.98,61,2.28,60,3.58,61,2.16,61,3.37,58,2.93,58,2.64,58,2.59,57,2.84,57,2.57,56,2.84,0.00
M,28,Bailey,6.4,6.4,Aston Villa,66,4.10,71,3.86,69,3.72,68,3.34,67,3.92,67,3.02,65,2.69,66,3.73,65,2.92,66,3.77,66,4.34,67,3.30,0.00
M,29,Barkley,5.3,5.3,Aston Villa,22,1.30,19,1.01,17,0.88,16,0.79,18,1.01,17,0.81,20,0.88,20,1.10,21,0.94,21,1.18,20,1.24,21,1.04,0.00
M,30,Barrenechea,4.9,4.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,31,Buendia,5.4,5.4,Aston Villa,4,0.36,5,0.38,5,0.35,5,0.37,7,0.47,7,0.41,8,0.47,8,0.54,8,0.45,7,0.51,8,0.63,8,0.49,0.00
D,32,Cash,4.4,4.4,Aston Villa,0,0.00,28,1.27,53,1.92,60,2.26,61,2.71,62,1.58,62,1.42,60,2.62,61,1.58,59,2.63,59,2.96,57,2.19,0.00
M,33,Dendoncker,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,34,Diaby,6.5,6.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,35,Diego Carlos,4.5,4.5,Aston Villa,29,1.20,25,0.99,23,0.75,23,0.76,23,0.91,21,0.49,25,0.51,25,0.98,24,0.55,24,0.95,25,1.09,24,0.81,0.00
D,36,Digne,4.6,4.6,Aston Villa,61,2.96,60,2.81,58,2.22,59,2.29,57,2.62,57,1.54,56,1.34,55,2.54,54,1.45,53,2.45,57,2.99,56,2.20,0.00
M,37,Dobbin,5.0,5.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,38,Duran,6.1,6.1,Aston Villa,45,2.98,39,2.31,32,1.94,32,1.80,34,2.19,35,1.85,39,1.82,38,2.30,37,1.90,35,2.21,38,2.70,38,2.09,0.00
G,39,Gauci,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,40,Hause,4.0,4.0,Aston Villa,1,0.04,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,41,Iling Jr,5.4,5.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,42,Kamara,5.0,5.0,Aston Villa,0,0.00,23,0.76,47,1.43,58,1.70,58,1.81,59,1.61,59,1.55,58,1.79,59,1.61,59,1.81,59,1.93,58,1.68,0.00
D,43,Kesler-Hayden,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,44,Konsa,4.5,4.5,Aston Villa,90,3.56,87,3.43,85,2.55,84,2.69,82,3.09,83,1.66,83,1.48,80,2.98,82,1.68,80,3.01,81,3.43,81,2.59,0.65
D,45,Maatsen,4.9,4.9,Aston Villa,38,1.79,40,1.80,41,1.57,39,1.52,41,1.86,40,1.13,42,1.04,41,1.84,44,1.20,43,1.96,40,2.06,42,1.63,0.00
G,46,Marschall,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,47,Martinez,5.0,5.0,Aston Villa,94,3.73,93,3.78,92,3.32,92,3.46,92,3.60,91,3.04,91,3.04,91,3.52,90,3.06,90,3.52,91,3.69,89,3.35,0.01
M,48,McGinn,5.4,5.4,Aston Villa,82,3.94,80,3.38,80,3.32,79,3.06,76,3.52,78,2.81,77,2.58,77,3.41,77,2.73,76,3.34,75,3.80,74,2.90,0.00
D,49,Mings,4.4,4.4,Aston Villa,0,0.00,9,0.35,16,0.50,21,0.71,23,0.91,25,0.59,24,0.51,24,0.95,25,0.61,26,1.00,27,1.14,25,0.87,0.00
D,50,Nedeljkovic,4.0,4.0,Aston Villa,26,1.14,21,0.90,12,0.44,9,0.34,10,0.41,12,0.35,10,0.28,12,0.47,11,0.33,12,0.50,13,0.59,11,0.41,0.02
G,51,Olsen,4.5,4.5,Aston Villa,1,0.06,2,0.09,3,0.09,3,0.13,2,0.10,4,0.12,3,0.12,4,0.16,5,0.17,5,0.19,4,0.18,5,0.19,0.00
