Pos,ID,Name,BV,SV,Team,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,53,Lallana,5.3,5.3,Brighton,29,2.28,30,1.46,35,1.54,34,1.45,35,1.51,35,1.59
G,54,Steele,3.9,3.9,Brighton,0,0.00,0,0.00,0,0.02,1,0.05,0,0.01,1,0.05
M,55,Groß,5.7,5.7,Brighton,53,4.08,52,2.78,57,2.65,55,2.56,55,2.66,54,2.80
D,56,Duffy,4.0,4.0,Brighton,4,0.22,8,0.35,9,0.37,11,0.37,14,0.49,15,0.62
M,57,Pröpper,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,58,Burn,4.4,4.4,Newcastle,88,6.80,86,3.58,83,1.67,81,0.91,82,2.40,81,2.95
D,59,Dunk,4.8,4.8,Brighton,87,3.48,85,3.48,81,3.36,82,2.69,80,2.61,80,3.27
M,60,March,5.3,5.3,Brighton,44,3.16,50,2.20,47,1.92,49,1.96,50,2.02,47,2.01
D,61,Webster,4.3,4.3,Brighton,61,2.45,61,2.39,62,2.44,63,2.03,62,1.96,62,2.40
D,62,Veltman,4.2,4.2,Brighton,77,3.02,72,2.75,72,2.83,70,2.22,73,2.27,69,2.65
F,63,Maupay,6.4,6.4,Brighton,52,3.96,55,3.00,56,2.57,51,2.44,55,2.71,58,2.98
M,64,Trossard,5.8,5.8,Brighton,63,4.57,62,3.17,64,2.83,62,2.74,61,2.80,63,3.08
G,65,Ryan,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,66,Jahanbakhsh,5.5,5.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,67,White,4.6,4.6,Arsenal,89,5.88,85,2.91,85,2.95,84,5.99,82,3.18,78,3.59
D,68,Bernardo,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,69,Sánchez,4.6,4.5,Brighton,90,6.48,89,3.79,89,3.90,88,3.49,89,3.47,88,3.77
M,70,Bissouma,4.4,4.4,Brighton,78,4.14,75,2.46,77,2.37,74,2.24,71,2.19,72,2.33
D,71,Lamptey,4.5,4.5,Brighton,77,3.37,75,3.22,75,3.21,70,2.47,66,2.32,69,2.93
F,72,Connolly,5.3,5.3,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,73,Alzate,4.8,4.8,Brighton,3,0.39,5,0.33,6,0.36,6,0.35,9,0.46,10,0.50
M,74,Mac Allister,5.1,5.1,Brighton,74,5.01,74,3.52,68,2.82,69,2.87,71,2.99,65,2.99
M,75,Moder,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,76,Jansson,4.4,4.4,Brentford,63,2.31,84,2.31,82,1.73,83,2.93,83,2.62,83,2.92
M,77,Nørgaard,5.0,5.0,Brentford,85,2.67,79,2.29,81,2.16,77,2.47,77,2.32,74,2.41
F,78,Toney,6.9,6.9,Brentford,83,4.48,81,3.81,83,3.38,79,4.51,77,3.82,75,4.43
M,79,Fosu,5.1,5.1,Brentford,2,0.16,2,0.14,2,0.14,3,0.22,3,0.25,3,0.22
G,80,Raya,4.3,4.3,Brentford,90,3.88,89,3.41,89,3.25,88,3.72,86,3.50,88,3.68
M,81,Canós,5.5,5.5,Brentford,42,2.18,41,1.89,41,1.76,46,2.39,42,2.00,46,2.44
M,82,Dasilva,5.3,5.3,Brentford,9,0.46,25,1.15,20,0.93,23,1.23,26,1.22,27,1.46
D,83,Henry,4.5,4.5,Brentford,85,3.26,83,2.46,81,1.89,77,2.97,77,2.65,74,2.87
M,84,Janelt,4.9,4.9,Brentford,77,2.72,65,2.18,64,2.01,63,2.33,63,2.20,61,2.32
M,85,Ghoddos,5.2,5.2,Brentford,2,0.14,2,0.17,1,0.10,2,0.19,3,0.22,3,0.27
M,86,Jensen,4.9,4.9,Brentford,11,0.57,12,0.59,16,0.73,14,0.74,17,0.84,14,0.77
D,87,Goode,3.9,3.9,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,88,Forss,5.3,5.3,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,89,Roerslev,4.1,4.1,Brentford,48,1.94,49,1.57,49,1.26,46,1.81,43,1.57,44,1.75
D,90,Sørensen,4.3,4.3,Brentford,4,0.15,5,0.16,6,0.17,7,0.27,6,0.22,7,0.27
D,91,Pinnock,4.4,4.4,Brentford,88,3.40,85,2.51,83,1.91,81,3.06,83,2.80,81,3.05
G,92,Balcombe,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,93,Zamburek,4.4,4.4,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,94,Gunnarsson,3.9,3.9,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,95,Dervişoğlu,5.4,5.4,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,96,Mbeumo,5.2,5.2,Brentford,80,3.97,77,3.44,73,2.91,74,4.01,74,3.47,73,3.95
M,97,Bidstrup,4.4,4.4,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,98,Tarkowski,4.9,4.9,Burnley,88,5.19,85,3.47,82,2.76,83,2.69,81,3.52,82,2.92
D,99,Bardsley,3.9,3.9,Burnley,0,0.01,1,0.02,0,0.01,0,0.01,0,0.02,0,0.00
D,100,Pieters,4.1,4.1,Burnley,3,0.17,9,0.35,11,0.37,17,0.61,16,0.82,15,0.57
M,101,Cork,4.4,4.4,Burnley,12,0.93,19,0.73,23,0.85,24,0.91,24,1.71,23,0.89
M,102,Stephens,4.4,4.4,Burnley,3,0.34,4,0.22,5,0.23,7,0.34,4,0.39,4,0.20
D,103,Long,4.0,4.0,Burnley,5,0.36,6,0.26,6,0.21,3,0.11,5,0.32,4,0.14
F,104,Rodriguez,5.2,5.2,Burnley,60,5.57,62,2.91,57,2.65,60,2.82,59,4.65,57,2.76
F,105,Barnes,5.2,5.2,Burnley,5,0.77,8,0.52,11,0.62,9,0.57,11,1.09,10,0.62
D,106,Mee,4.7,4.7,Burnley,22,1.57,47,2.15,66,2.49,79,2.88,76,3.79,79,3.21
M,107,Westwood,5.2,5.2,Burnley,86,5.34,81,2.74,80,2.59,78,2.53,77,4.38,76,2.55
M,108,Gudmundsson,5.4,5.4,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,12,1.16,19,0.96
F,109,Wood,6.7,6.7,Newcastle,84,8.89,81,4.48,79,3.16,77,2.62,79,3.59,75,3.71
D,110,Lowton,4.4,4.4,Burnley,12,0.73,19,0.83,23,0.89,22,0.80,22,1.20,27,1.10
F,111,Vydra,5.2,5.2,Burnley,18,2.19,24,1.41,22,1.30,27,1.54,24,2.42,30,1.72
G,112,Pope,5.4,5.4,Burnley,90,7.06,90,4.02,87,3.57,89,3.61,87,6.35,86,3.66
D,113,Taylor,4.4,4.4,Burnley,88,5.10,81,3.32,80,2.70,72,2.38,75,3.41,75,2.72
G,114,Norris,4.3,4.3,Burnley,0,0.00,0,0.00,1,0.03,0,0.01,1,0.07,1,0.05
M,115,Brownhill,4.3,4.3,Burnley,86,5.54,82,2.85,80,2.67,80,2.67,80,4.63,76,2.63
M,116,Benson,4.5,4.5,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,117,Peacock-Farrell,4.5,4.5,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,118,McNeil,5.6,5.6,Burnley,66,5.21,67,2.73,69,2.75,62,2.51,61,4.37,60,2.55
D,119,Azpilicueta,5.6,5.6,Chelsea,46,2.08,50,2.55,47,2.26,43,4.42,47,4.16,50,2.96
F,120,Giroud,6.5,6.5,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,121,Thiago Silva,5.7,5.7,Chelsea,77,3.15,70,3.19,71,3.10,68,6.30,67,5.30,66,3.54
D,122,Alonso,5.5,5.5,Chelsea,50,2.85,51,3.31,47,2.90,45,5.85,36,4.08,26,1.94
M,123,Jorginho,5.7,5.7,Chelsea,57,2.36,50,2.31,49,2.14,47,4.31,45,3.91,43,2.22
M,124,Barkley,5.2,5.2,Chelsea,0,0.01,0,0.03,1,0.08,1,0.10,0,0.04,1,0.08
M,125,Kovacic,4.9,4.9,Chelsea,49,1.92,49,2.05,52,2.06,50,4.17,50,3.98,50,2.27
F,126,Batshuayi,5.5,5.5,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,127,Rüdiger,6.2,6.2,Chelsea,82,3.39,77,3.59,72,3.21,75,7.11,73,5.93,72,3.97
D,128,Zouma,5.4,5.4,West Ham,47,2.12,79,1.82,85,2.63,83,5.20,0,0.00,77,2.62
G,129,Arrizabalaga,4.5,4.5,Chelsea,0,0.01,1,0.06,3,0.11,2,0.20,2,0.12,3,0.15
M,130,Kanté,4.9,4.9,Chelsea,57,2.14,59,2.36,55,2.12,58,4.53,60,4.47,53,2.35
M,131,Ziyech,7.3,7.3,Chelsea,39,2.20,45,2.77,41,2.35,36,4.42,41,4.61,33,2.32
M,132,Loftus-Cheek,5.4,5.4,Chelsea,23,1.03,26,1.25,28,1.26,30,2.83,30,2.67,33,1.60
D,133,Christensen,4.6,4.6,Chelsea,25,1.02,31,1.41,31,1.36,29,2.65,29,2.34,32,1.70
F,134,Werner,8.6,8.6,Chelsea,35,2.08,26,1.84,30,1.89,30,4.02,29,3.79,28,2.07
D,135,Chilwell,5.6,5.6,Chelsea,0,0.00,0,0.00,0,0.00,5,0.55,25,2.52,45,2.96
F,136,Abraham,6.5,6.5,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,137,Pulisic,7.9,7.9,Chelsea,30,1.70,36,2.12,28,1.62,30,3.62,27,3.06,34,2.30
M,138,Mount,7.5,7.5,Chelsea,76,4.12,69,4.36,69,4.04,66,8.27,66,7.72,64,4.61
D,139,Ampadu,4.5,4.5,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,140,Hudson-Odoi,5.3,5.3,Chelsea,5,0.31,12,0.78,25,1.41,36,4.19,36,4.00,34,2.27
M,141,Havertz,7.9,7.9,Chelsea,65,3.83,59,3.94,61,3.78,57,7.67,52,6.59,57,4.33
D,142,James,6.3,6.3,Chelsea,79,4.07,75,4.39,74,4.09,74,8.82,70,7.21,69,4.81
G,143,Mendy,6.1,6.1,Chelsea,90,3.87,89,4.00,87,3.89,88,8.08,88,7.48,87,4.33
M,144,Gallagher,6.1,6.1,Crystal Palace,83,3.37,79,3.75,78,6.04,75,3.75,76,3.08,73,2.88
M,145,Gilmour,4.3,4.3,Norwich,50,1.53,66,2.28,70,2.14,66,4.26,63,2.03,65,2.01
G,146,Guaita,4.6,4.6,Crystal Palace,90,3.72,88,3.75,89,6.94,86,4.05,88,3.67,87,3.43
D,147,Tomkins,4.3,4.3,Crystal Palace,1,0.02,5,0.22,3,0.26,4,0.20,6,0.23,8,0.26
M,148,McArthur,4.3,4.3,Crystal Palace,32,1.32,35,1.51,36,2.79,42,1.85,40,1.57,38,1.48
F,149,Benteke,6.0,6.0,Crystal Palace,3,0.25,3,0.25,4,0.57,3,0.29,4,0.32,4,0.33
D,150,Kouyaté,4.5,4.5,Crystal Palace,73,2.78,73,3.07,70,4.82,67,3.50,69,2.65,67,2.33
D,151,Kelly,3.8,3.8,Crystal Palace,1,0.04,1,0.04,2,0.13,2,0.08,2,0.09,1,0.05
M,152,Milivojevic,5.3,5.3,Crystal Palace,2,0.16,5,0.31,6,0.65,5,0.36,10,0.50,11,0.53
F,153,Ayew,5.8,5.8,Crystal Palace,53,2.22,48,2.29,48,4.00,48,2.34,43,1.88,45,1.94
M,154,Zaha,6.8,6.8,Crystal Palace,83,4.27,81,4.94,78,7.71,77,4.96,75,3.88,77,3.82
M,155,Schlupp,5.4,5.4,Crystal Palace,61,2.29,63,2.62,58,4.33,61,2.73,59,2.29,61,2.27
G,156,Butland,4.4,4.4,Crystal Palace,0,0.01,1,0.06,1,0.06,4,0.18,1,0.03,3,0.10
M,157,Riedewald,4.7,4.7,Crystal Palace,0,0.00,0,0.02,1,0.04,1,0.05,1,0.02,1,0.03
D,158,Jach,4.2,4.2,Crystal Palace,0,0.01,2,0.10,2,0.13,3,0.15,3,0.13,2,0.07
F,159,Mateta,5.3,5.3,Crystal Palace,69,3.46,67,3.84,62,6.09,59,3.56,63,3.16,62,3.04
M,160,Eze,5.9,5.9,Crystal Palace,2,0.20,4,0.34,5,0.72,7,0.54,7,0.45,7,0.46
D,161,Ferguson,4.5,4.5,Crystal Palace,0,0.00,1,0.03,1,0.10,5,0.23,6,0.22,9,0.27
D,162,Mitchell,4.5,4.5,Crystal Palace,85,2.92,85,3.24,82,5.13,78,3.70,82,2.86,80,2.51
M,163,Delph,4.2,4.2,Everton,10,0.44,12,0.48,15,0.60,13,1.04,16,1.35,14,0.56
M,164,Sigurdsson,6.7,6.7,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,165,Coleman,4.9,4.9,Everton,83,2.99,79,1.18,76,2.17,76,5.03,76,6.03,72,1.65
M,166,James,6.9,6.9,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,167,Bernard,5.5,5.5,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,168,Digne,5.0,5.0,Aston Villa,0,0.00,46,1.71,81,8.40,81,5.64,78,4.17,77,1.24
D,169,Keane,4.7,4.7,Everton,83,3.01,77,1.17,75,2.14,70,4.66,63,5.02,62,1.42
G,170,Pickford,4.9,4.9,Everton,90,3.65,90,3.18,90,3.36,88,6.98,87,7.45,87,3.14
M,171,Allan,4.3,4.3,Everton,70,2.15,69,1.73,63,1.78,62,3.73,63,3.92,64,1.72
M,172,André Gomes,4.9,4.9,Everton,2,0.12,2,0.13,3,0.18,2,0.33,4,0.53,6,0.31
M,173,Doucouré,5.3,5.3,Everton,73,2.68,70,1.97,66,2.17,69,4.86,68,4.99,65,1.97
M,174,Iwobi,5.8,5.8,Everton,27,1.35,34,1.30,33,1.40,36,3.25,34,3.26,32,1.31
D,175,Mina,4.9,4.9,Everton,1,0.02,8,0.15,27,0.87,52,3.58,57,4.63,50,1.19
M,176,Davies,4.8,4.8,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,177,Calvert-Lewin,7.7,7.7,Everton,78,3.82,74,2.56,74,2.95,71,6.56,72,6.88,70,2.65
D,178,Holgate,4.2,4.2,Everton,36,1.22,40,0.55,37,0.98,31,1.97,28,2.08,37,0.78
D,179,Godfrey,4.7,4.7,Everton,82,2.82,76,1.03,69,1.83,63,3.91,62,4.60,64,1.35
F,180,Richarlison,7.5,7.5,Everton,79,4.13,75,2.65,75,3.10,74,7.14,74,7.75,72,2.79
G,181,Virgínia,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,182,Hernández,5.5,5.5,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,183,Casilla,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,184,Cooper,4.4,4.4,Leeds,0,0.00,83,2.41,80,1.27,80,3.67,79,2.92,76,2.22
D,185,Ayling,4.3,4.3,Leeds,0,0.00,78,2.44,78,1.35,78,3.83,73,2.92,76,2.39
M,186,Klich,5.1,5.1,Leeds,0,0.00,54,2.10,57,1.92,54,3.98,52,2.23,56,2.19
F,187,Rodrigo,6.3,6.3,Leeds,0,0.00,76,3.12,75,2.60,73,5.60,71,3.30,70,2.97
M,188,Dallas,4.9,4.9,Leeds,0,0.00,68,2.14,66,1.83,67,4.00,65,2.25,61,1.94
F,189,Bamford,7.7,7.7,Leeds,0,0.00,0,0.00,0,0.00,2,0.25,19,1.17,45,2.45
D,190,Llorente,4.5,4.5,Leeds,0,0.00,81,2.30,79,1.20,75,3.36,77,2.78,76,2.16
M,191,Phillips,4.7,4.7,Leeds,0,0.00,71,2.02,69,1.78,66,3.65,64,2.02,66,1.94
M,192,Costa,5.4,5.4,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,193,Roberts,4.8,4.8,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,194,Koch,4.3,4.3,Leeds,0,0.00,38,1.22,39,0.72,38,1.97,42,1.62,41,1.28
M,195,Poveda,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,196,Raphinha,6.5,6.5,Leeds,0,0.00,79,4.26,77,3.24,78,7.52,75,4.58,72,3.85
M,197,Shackleton,4.4,4.4,Leeds,0,0.00,4,0.20,5,0.21,5,0.47,6,0.29,5,0.23
D,198,Struijk,4.3,4.3,Leeds,0,0.00,15,0.47,22,0.42,22,1.12,24,0.92,27,0.82
G,199,Meslier,4.8,4.8,Leeds,0,0.00,89,3.44,88,3.14,88,6.38,88,3.71,86,3.31
G,200,Schmeichel,4.9,4.9,Leicester,90,7.09,89,3.63,89,3.19,88,7.79,87,6.76,87,3.56
D,201,Evans,5.4,5.4,Leicester,47,3.13,48,1.78,42,0.99,46,4.20,48,2.98,47,1.74
M,202,Albrighton,5.2,5.2,Leicester,24,1.99,27,1.21,29,1.09,28,2.68,32,2.59,31,1.41
M,203,Mendy,4.3,4.3,Leicester,62,3.57,58,1.76,60,1.60,59,3.77,53,3.10,56,1.69
G,204,Ward,4.0,4.0,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.03,1,0.05
F,205,Vardy,10.3,10.3,Leicester,4,0.53,26,1.64,44,2.04,58,8.11,57,5.88,56,3.62
M,206,Praet,4.9,4.9,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,207,Pereira,5.2,5.2,Leicester,5,0.39,9,0.37,9,0.29,11,1.07,14,1.02,12,0.49
D,208,Amartey,4.0,4.0,Leicester,37,2.39,33,1.20,40,0.87,38,3.27,40,2.31,40,1.41
D,209,Castagne,5.3,5.3,Leicester,77,5.03,73,2.67,72,1.62,69,6.16,66,3.99,64,2.36
M,210,Tielemans,6.4,6.4,Leicester,85,6.94,82,3.62,83,2.75,80,7.65,80,5.87,80,3.47
M,211,Pérez,5.7,5.7,Leicester,1,0.16,1,0.09,1,0.11,2,0.34,3,0.42,1,0.14
M,212,Maddison,7.0,7.0,Leicester,80,7.99,76,4.25,74,3.09,74,9.68,70,6.69,71,4.18
F,213,Iheanacho,7.1,7.1,Leicester,53,5.61,37,2.28,31,1.54,26,3.80,24,2.81,23,1.63
M,214,Choudhury,4.4,4.4,Leicester,6,0.55,6,0.28,5,0.23,6,0.62,10,0.82,8,0.37
M,215,Barnes,6.6,6.5,Leicester,54,5.69,56,3.23,56,2.47,53,7.11,51,5.16,50,3.07
M,216,Ndidi,4.8,4.8,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,217,Söyüncü,4.9,4.9,Leicester,60,3.62,59,2.00,59,1.19,53,4.52,52,2.92,51,1.73
D,218,Justin,4.9,4.9,Leicester,69,4.51,63,2.31,63,1.40,58,5.26,61,3.67,65,2.39
D,219,Thomas,4.3,4.3,Leicester,29,2.01,34,1.28,36,0.85,41,3.60,38,2.32,38,1.40
D,220,Fofana,4.3,4.3,Leicester,37,2.39,39,1.39,40,0.84,42,3.67,39,2.27,43,1.49
M,221,Milner,4.9,4.9,Liverpool,2,0.17,5,0.35,8,0.49,8,0.97,12,0.63,10,0.58
M,222,Henderson,4.9,4.9,Liverpool,80,3.11,78,3.32,75,2.96,76,5.75,74,2.92,71,3.11
G,223,Adrián,4.3,4.3,Liverpool,0,0.00,0,0.02,0,0.00,1,0.05,0,0.02,1,0.04
D,224,Matip,5.0,5.0,Liverpool,88,4.05,84,4.63,79,3.81,71,6.45,77,3.48,75,4.41
M,225,Thiago,5.3,5.3,Liverpool,69,2.71,71,3.04,64,2.57,64,4.95,60,2.40,65,2.83
M,226,Shaqiri,5.9,5.9,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,227,Chamberlain,5.8,5.8,Liverpool,4,0.28,4,0.28,7,0.45,7,0.82,7,0.42,10,0.56
F,228,Firmino,8.7,8.7,Liverpool,35,2.09,35,2.27,34,1.98,34,3.92,37,2.20,35,2.19
D,229,van Dijk,6.8,6.8,Liverpool,89,4.12,85,4.68,84,4.08,81,7.42,82,3.74,80,4.67
M,230,Mané,11.7,11.7,Liverpool,78,5.28,74,5.73,74,5.04,71,9.24,71,4.80,74,5.60
G,231,Alisson,6.0,6.0,Liverpool,90,4.16,89,4.51,86,4.10,89,8.14,88,4.02,87,4.62
M,232,Fabinho,5.4,5.4,Liverpool,84,2.87,77,2.95,76,2.68,74,5.06,74,2.58,73,2.85
M,233,Salah,13.2,13.1,Liverpool,80,7.07,80,8.07,77,6.67,77,12.73,73,6.39,72,7.12
D,234,Robertson,7.3,7.3,Liverpool,88,4.69,85,5.42,83,4.62,83,8.63,78,4.15,82,5.48
