Pos,ID,Name,BV,SV,Team,33_xMins,33_Pts
M,41,Nakamba,4.4,4.4,Aston Villa,0,0.00
M,42,El Ghazi,5.6,5.6,Everton,2,0.18
M,43,Buendía,6.2,6.2,Aston Villa,0,0.00
D,44,Cash,5.2,5.2,Aston Villa,0,0.00
D,45,Konsa,4.9,4.9,Aston Villa,0,0.00
D,46,Guilbert,4.5,4.5,Aston Villa,0,0.00
F,47,Wesley,5.4,5.4,Aston Villa,0,0.00
F,48,Samatta,5.5,5.5,Aston Villa,0,0.00
F,49,Davis,4.5,4.5,Aston Villa,0,0.00
M,50,Douglas Luiz,4.4,4.4,Aston Villa,0,0.00
M,51,Ramsey,4.7,4.7,Aston Villa,0,0.00
D,52,Young,4.7,4.7,Aston Villa,0,0.00
M,53,Lallana,5.3,5.3,Brighton,24,1.97
G,54,Steele,3.9,3.9,Brighton,0,0.01
M,55,Groß,5.7,5.7,Brighton,47,3.80
D,56,Duffy,4.0,4.0,Brighton,7,0.34
M,57,Pröpper,4.5,4.5,Brighton,0,0.00
D,58,Burn,4.4,4.4,Newcastle,89,6.89
D,59,Dunk,4.8,4.8,Brighton,87,3.48
M,60,March,5.3,5.3,Brighton,29,2.28
D,61,Webster,4.3,4.3,Brighton,50,2.04
D,62,Veltman,4.2,4.2,Brighton,86,3.11
F,63,Maupay,6.4,6.4,Brighton,69,5.06
M,64,Trossard,5.8,5.8,Brighton,64,4.68
G,65,Ryan,4.5,4.5,Brighton,0,0.00
M,66,Jahanbakhsh,5.5,5.5,Brighton,0,0.00
D,67,White,4.6,4.6,Arsenal,89,5.79
D,68,Bernardo,4.0,4.0,Brighton,0,0.00
G,69,Sánchez,4.6,4.5,Brighton,90,6.46
M,70,Bissouma,4.4,4.4,Brighton,76,4.12
D,71,Lamptey,4.5,4.5,Brighton,63,2.90
F,72,Connolly,5.3,5.3,Brighton,0,0.00
M,73,Alzate,4.8,4.8,Brighton,0,0.05
M,74,Mac Allister,5.1,5.1,Brighton,67,4.52
M,75,Moder,4.5,4.5,Brighton,0,0.00
D,76,Jansson,4.4,4.4,Brentford,89,3.22
M,77,Nørgaard,5.0,5.0,Brentford,84,2.61
F,78,Toney,6.9,6.9,Brentford,82,4.45
M,79,Fosu,5.1,5.1,Brentford,3,0.21
G,80,Raya,4.3,4.3,Brentford,90,3.88
M,81,Canós,5.5,5.5,Brentford,41,2.13
M,82,Dasilva,5.3,5.3,Brentford,19,0.97
D,83,Henry,4.5,4.5,Brentford,85,3.19
M,84,Janelt,4.9,4.9,Brentford,71,2.58
M,85,Ghoddos,5.2,5.2,Brentford,1,0.06
M,86,Jensen,4.9,4.9,Brentford,12,0.58
D,87,Goode,3.9,3.9,Brentford,0,0.00
F,88,Forss,5.3,5.3,Brentford,0,0.00
D,89,Roerslev,4.1,4.1,Brentford,31,1.28
D,90,Sørensen,4.3,4.3,Brentford,2,0.08
D,91,Pinnock,4.4,4.4,Brentford,88,3.39
G,92,Balcombe,4.0,4.0,Brentford,0,0.00
M,93,Zamburek,4.4,4.4,Brentford,0,0.00
G,94,Gunnarsson,3.9,3.9,Brentford,0,0.00
F,95,Dervişoğlu,5.4,5.4,Brentford,0,0.00
M,96,Mbeumo,5.2,5.2,Brentford,83,3.95
M,97,Bidstrup,4.4,4.4,Brentford,0,0.00
D,98,Tarkowski,4.9,4.9,Burnley,89,5.22
D,99,Bardsley,3.9,3.9,Burnley,0,0.01
D,100,Pieters,4.1,4.1,Burnley,3,0.16
M,101,Cork,4.4,4.4,Burnley,36,2.45
M,102,Stephens,4.4,4.4,Burnley,2,0.26
D,103,Long,4.0,4.0,Burnley,5,0.35
F,104,Rodriguez,5.2,5.2,Burnley,62,5.68
F,105,Barnes,5.2,5.2,Burnley,6,0.84
D,106,Mee,4.7,4.7,Burnley,11,0.76
M,107,Westwood,5.2,5.2,Burnley,80,5.06
M,108,Gudmundsson,5.4,5.4,Burnley,0,0.00
F,109,Wood,6.7,6.7,Newcastle,82,8.71
D,110,Lowton,4.4,4.4,Burnley,47,3.08
F,111,Vydra,5.2,5.2,Burnley,33,3.57
G,112,Pope,5.4,5.4,Burnley,90,7.06
D,113,Taylor,4.4,4.4,Burnley,87,5.09
G,114,Norris,4.3,4.3,Burnley,0,0.01
M,115,Brownhill,4.3,4.3,Burnley,65,4.29
M,116,Benson,4.5,4.5,Burnley,0,0.00
G,117,Peacock-Farrell,4.5,4.5,Burnley,0,0.00
M,118,McNeil,5.6,5.6,Burnley,60,4.80
D,119,Azpilicueta,5.6,5.6,Chelsea,44,1.99
F,120,Giroud,6.5,6.5,Chelsea,0,0.00
D,121,Thiago Silva,5.6,5.6,Chelsea,76,3.10
D,122,Alonso,5.5,5.5,Chelsea,57,3.23
M,123,Jorginho,5.7,5.7,Chelsea,56,2.32
M,124,Barkley,5.2,5.2,Chelsea,1,0.04
M,125,Kovacic,4.9,4.9,Chelsea,66,2.44
F,126,Batshuayi,5.5,5.5,Chelsea,0,0.00
D,127,Rüdiger,6.2,6.2,Chelsea,83,3.37
D,128,Zouma,5.4,5.4,West Ham,5,0.21
G,129,Arrizabalaga,4.5,4.5,Chelsea,0,0.01
M,130,Kanté,4.9,4.9,Chelsea,43,1.67
M,131,Ziyech,7.3,7.3,Chelsea,37,2.08
M,132,Loftus-Cheek,5.4,5.4,Chelsea,24,1.07
D,133,Christensen,4.6,4.6,Chelsea,38,1.54
F,134,Werner,8.6,8.6,Chelsea,51,2.87
D,135,Chilwell,5.6,5.6,Chelsea,0,0.00
F,136,Abraham,6.5,6.5,Chelsea,0,0.00
M,137,Pulisic,7.9,7.9,Chelsea,29,1.63
M,138,Mount,7.5,7.5,Chelsea,68,3.82
D,139,Ampadu,4.5,4.5,Chelsea,0,0.00
M,140,Hudson-Odoi,5.3,5.3,Chelsea,9,0.51
M,141,Havertz,7.9,7.9,Chelsea,71,4.10
D,142,James,6.3,6.3,Chelsea,77,3.94
G,143,Mendy,6.1,6.1,Chelsea,90,3.86
M,144,Gallagher,6.1,6.1,Crystal Palace,84,3.40
M,145,Gilmour,4.3,4.3,Norwich,20,0.76
G,146,Guaita,4.6,4.6,Crystal Palace,90,3.73
D,147,Tomkins,4.3,4.3,Crystal Palace,2,0.07
M,148,McArthur,4.3,4.3,Crystal Palace,34,1.39
F,149,Benteke,6.0,6.0,Crystal Palace,2,0.16
D,150,Kouyaté,4.5,4.5,Crystal Palace,72,2.74
D,151,Kelly,3.8,3.8,Crystal Palace,1,0.02
M,152,Milivojevic,5.3,5.3,Crystal Palace,4,0.29
F,153,Ayew,5.8,5.8,Crystal Palace,53,2.24
M,154,Zaha,6.8,6.8,Crystal Palace,84,4.33
M,155,Schlupp,5.4,5.4,Crystal Palace,62,2.37
G,156,Butland,4.4,4.4,Crystal Palace,0,0.01
M,157,Riedewald,4.7,4.7,Crystal Palace,0,0.01
D,158,Jach,4.2,4.2,Crystal Palace,1,0.03
F,159,Mateta,5.3,5.3,Crystal Palace,67,3.38
M,160,Eze,5.9,5.9,Crystal Palace,2,0.18
D,161,Ferguson,4.5,4.5,Crystal Palace,0,0.00
D,162,Mitchell,4.5,4.5,Crystal Palace,85,2.91
M,163,Delph,4.2,4.2,Everton,47,1.61
M,164,Sigurdsson,6.7,6.7,Everton,0,0.00
D,165,Coleman,4.9,4.9,Everton,81,2.95
M,166,James,6.9,6.9,Everton,0,0.00
M,167,Bernard,5.5,5.5,Everton,0,0.00
D,168,Digne,5.0,5.0,Aston Villa,0,0.00
D,169,Keane,4.7,4.7,Everton,82,3.00
G,170,Pickford,4.9,4.9,Everton,90,3.67
M,171,Allan,4.3,4.3,Everton,82,2.44
M,172,André Gomes,4.9,4.9,Everton,1,0.05
M,173,Doucouré,5.3,5.3,Everton,56,2.14
M,174,Iwobi,5.8,5.8,Everton,43,1.95
D,175,Mina,4.9,4.9,Everton,3,0.09
M,176,Davies,4.8,4.8,Everton,0,0.00
F,177,Calvert-Lewin,7.7,7.7,Everton,74,3.75
D,178,Holgate,4.2,4.2,Everton,26,0.90
D,179,Godfrey,4.7,4.7,Everton,78,2.73
F,180,Richarlison,7.5,7.5,Everton,77,4.16
G,181,Virgínia,4.0,4.0,Everton,0,0.00
M,182,Hernández,5.5,5.5,Leeds,0,0.00
G,183,Casilla,4.5,4.5,Leeds,0,0.00
D,184,Cooper,4.4,4.4,Leeds,0,0.00
D,185,Ayling,4.3,4.3,Leeds,0,0.00
M,186,Klich,5.1,5.1,Leeds,0,0.00
F,187,Rodrigo,6.3,6.3,Leeds,0,0.00
M,188,Dallas,4.9,4.9,Leeds,0,0.00
F,189,Bamford,7.7,7.7,Leeds,0,0.00
D,190,Llorente,4.5,4.5,Leeds,0,0.00
M,191,Phillips,4.7,4.7,Leeds,0,0.00
M,192,Costa,5.4,5.4,Leeds,0,0.00
M,193,Roberts,4.8,4.8,Leeds,0,0.00
D,194,Koch,4.3,4.3,Leeds,0,0.00
M,195,Poveda,4.5,4.5,Leeds,0,0.00
M,196,Raphinha,6.5,6.5,Leeds,0,0.00
M,197,Shackleton,4.4,4.4,Leeds,0,0.00
D,198,Struijk,4.3,4.3,Leeds,0,0.00
G,199,Meslier,4.8,4.8,Leeds,0,0.00
G,200,Schmeichel,4.9,4.9,Leicester,90,7.12
D,201,Evans,5.4,5.4,Leicester,44,2.96
M,202,Albrighton,5.2,5.2,Leicester,19,1.61
M,203,Mendy,4.3,4.3,Leicester,63,3.66
G,204,Ward,4.0,4.0,Leicester,0,0.00
F,205,Vardy,10.3,10.3,Leicester,4,0.52
M,206,Praet,4.9,4.9,Leicester,0,0.00
D,207,Pereira,5.2,5.2,Leicester,15,1.18
D,208,Amartey,4.0,4.0,Leicester,33,2.08
D,209,Castagne,5.3,5.3,Leicester,56,3.78
M,210,Tielemans,6.4,6.4,Leicester,84,6.83
M,211,Pérez,5.7,5.7,Leicester,23,2.37
M,212,Maddison,7.0,7.0,Leicester,73,7.41
F,213,Iheanacho,7.1,7.1,Leicester,45,4.84
M,214,Choudhury,4.4,4.4,Leicester,5,0.45
M,215,Barnes,6.6,6.5,Leicester,62,6.42
M,216,Ndidi,4.8,4.8,Leicester,0,0.00
D,217,Söyüncü,4.9,4.9,Leicester,56,3.40
D,218,Justin,4.9,4.9,Leicester,67,4.38
D,219,Thomas,4.3,4.3,Leicester,45,2.92
D,220,Fofana,4.3,4.3,Leicester,46,2.90
M,221,Milner,4.9,4.9,Liverpool,3,0.21
M,222,Henderson,4.9,4.9,Liverpool,80,3.13
G,223,Adrián,4.3,4.3,Liverpool,0,0.00
D,224,Matip,5.0,5.0,Liverpool,68,3.15
M,225,Thiago,5.3,5.3,Liverpool,71,2.81
M,226,Shaqiri,5.9,5.9,Liverpool,0,0.00
M,227,Chamberlain,5.8,5.8,Liverpool,2,0.18
F,228,Firmino,8.7,8.7,Liverpool,33,1.96
D,229,van Dijk,6.8,6.8,Liverpool,89,4.15
M,230,Mané,11.7,11.7,Liverpool,78,5.56
G,231,Alisson,6.0,6.0,Liverpool,90,4.15
M,232,Fabinho,5.4,5.4,Liverpool,84,2.87
M,233,Salah,13.2,13.1,Liverpool,81,7.21
D,234,Robertson,7.3,7.3,Liverpool,87,4.67
F,235,Origi,4.8,4.8,Liverpool,0,0.01
M,236,Minamino,5.1,5.1,Liverpool,3,0.28
D,237,Alexander-Arnold,8.4,8.4,Liverpool,88,5.32
D,238,Gomez,4.7,4.7,Liverpool,2,0.09
M,239,Keita,5.0,5.0,Liverpool,15,0.78
M,240,Jota,8.3,8.3,Liverpool,29,2.07
D,241,Phillips,4.2,4.2,Liverpool,0,0.00
G,242,Kelleher,4.3,4.3,Liverpool,0,0.00
D,243,Konaté,5.1,5.1,Liverpool,23,0.99
M,244,Jones,5.0,5.0,Liverpool,10,0.55
D,245,Tsimikas,3.7,3.7,Liverpool,1,0.05
D,246,N.Williams,3.8,3.8,Liverpool,0,0.00
D,247,R.Williams,4.4,4.4,Liverpool,0,0.00
D,248,Davies,4.0,4.0,Liverpool,0,0.00
D,249,Walker,5.4,5.4,Man City,68,3.79
M,250,Gündogan,7.1,7.1,Man City,36,2.31
M,251,De Bruyne,11.8,11.8,Man City,74,5.15
D,252,Stones,5.2,5.2,Man City,69,4.05
D,253,Mendy,5.2,5.2,Man City,0,0.00
M,254,Mahrez,8.6,8.6,Man City,54,4.63
M,255,Sterling,10.5,10.5,Man City,52,4.19
D,256,Cancelo,7.0,7.0,Man City,82,5.42
G,257,Ederson,6.1,6.1,Man City,90,4.73
D,258,Aké,4.7,4.7,Man City,40,2.48
D,259,Laporte,5.8,5.8,Man City,88,5.34
G,260,Steffen,4.4,4.4,Man City,0,0.00
M,261,Bernardo,7.0,7.0,Man City,69,3.55
D,262,Dias,6.1,6.1,Man City,4,0.22
F,263,Jesus,8.4,8.4,Man City,47,3.21
D,264,Zinchenko,5.3,5.3,Man City,9,0.41
M,265,Foden,7.8,7.8,Man City,70,4.86
M,266,Rodrigo,5.5,5.5,Man City,84,3.28
M,267,Harrison,5.5,5.5,Leeds,0,0.00
M,268,Torres,6.7,6.7,Man City,0,0.00
F,269,Cavani,8.4,8.4,Man Utd,0,0.00
G,270,de Gea,5.1,5.1,Man Utd,90,7.58
M,271,Matic,4.3,4.3,Man Utd,77,4.72
M,272,Pogba,7.4,7.4,Man Utd,82,6.29
D,273,Maguire,5.4,5.4,Man Utd,86,6.13
M,274,Fred,4.9,4.9,Man Utd,0,0.00
D,275,Shaw,5.0,5.0,Man Utd,1,0.07
M,276,Lingard,6.7,6.7,Man Utd,10,1.16
M,277,Fernandes,11.6,11.6,Man Utd,83,8.78
F,278,Martial,7.6,7.6,Man Utd,0,0.00
D,279,Telles,5.1,5.0,Man Utd,77,6.70
G,280,Henderson,4.7,4.7,Man Utd,0,0.02
M,281,Rashford,9.4,9.4,Man Utd,49,5.68
M,282,van de Beek,5.7,5.7,Everton,14,0.67
D,283,Tuanzebe,4.4,4.4,Man Utd,0,0.00
D,284,Lindelöf,4.8,4.8,Man Utd,76,5.48
M,285,McTominay,5.4,5.4,Man Utd,0,0.00
D,286,Bailly,4.9,4.9,Man Utd,2,0.10
M,287,James,6.0,6.0,Leeds,0,0.00
D,288,Wan-Bissaka,5.1,5.1,Man Utd,42,3.06
M,289,Greenwood,7.1,7.1,Man Utd,0,0.00
D,290,Williams,3.9,3.9,Norwich,0,0.00
M,291,Shelvey,5.3,5.3,Newcastle,80,5.75
D,292,Ritchie,4.9,4.9,Newcastle,2,0.20
D,293,Clark,4.4,4.4,Newcastle,0,0.00
G,294,Darlow,4.5,4.5,Newcastle,0,0.01
G,295,Dubravka,4.4,4.4,Newcastle,90,7.65
F,296,Wilson,7.1,7.1,Newcastle,0,0.00
M,297,Hendrick,4.8,4.8,Newcastle,0,0.00
M,298,Fraser,5.3,5.3,Newcastle,24,2.43
D,299,Lascelles,4.4,4.4,Newcastle,3,0.25
F,300,Gayle,5.2,5.2,Newcastle,0,0.04
D,301,Dummett,4.5,4.5,Newcastle,0,0.02
D,302,Manquillo,3.9,3.9,Newcastle,7,0.52
D,303,Krafth,4.3,4.3,Newcastle,84,6.13
M,304,Murphy,4.7,4.7,Newcastle,31,3.10
D,305,Schär,4.4,4.4,Newcastle,88,7.14
M,306,Hayden,4.5,4.5,Newcastle,0,0.00
F,307,Saint-Maximin,6.8,6.8,Newcastle,81,7.15
M,308,Almirón,5.0,5.0,Newcastle,38,3.82
M,309,S.Longstaff,4.3,4.3,Newcastle,7,0.73
F,310,Joelinton,5.8,5.8,Newcastle,67,4.67
D,311,Lewis,4.2,4.2,Newcastle,0,0.00
M,312,M.Longstaff,4.5,4.5,Newcastle,0,0.00
G,313,McGovern,3.9,3.9,Norwich,0,0.00
G,314,Krul,4.5,4.5,Norwich,90,3.20
F,315,Pukki,5.9,5.8,Norwich,82,3.14
M,316,Stiepermann,5.0,5.0,Norwich,0,0.00
M,317,Rupp,4.4,4.4,Norwich,17,0.69
M,318,McLean,4.9,4.9,Norwich,84,2.23
D,319,Hanley,4.4,4.4,Norwich,89,1.32
M,320,Hernández,4.9,4.9,Norwich,0,0.00
D,321,Byram,4.4,4.4,Norwich,65,1.08
F,322,Hugill,5.4,5.4,Norwich,0,0.00
M,323,Dowell,5.1,5.1,Norwich,67,2.45
D,324,Zimmermann,4.4,4.4,Norwich,1,0.02
M,325,Cantwell,5.3,5.3,Norwich,0,0.00
D,326,Aarons,4.3,4.3,Norwich,32,0.64
D,327,Sørensen,4.3,4.3,Norwich,3,0.07
M,328,Placheta,4.7,4.7,Norwich,12,0.54
F,329,Idah,4.9,4.9,Norwich,0,0.00
M,330,Martin,5.0,5.0,Norwich,0,0.00
D,331,Omobamidele,3.9,3.9,Norwich,0,0.00
M,332,Walcott,5.8,5.8,Southampton,2,0.36
G,333,Forster,4.4,4.4,Southampton,1,0.11
G,334,McCarthy,4.3,4.3,Southampton,89,7.05
M,335,Romeu,4.5,4.5,Southampton,81,4.57
M,336,Redmond,5.9,5.9,Southampton,35,3.41
F,337,Ings,7.7,7.7,Aston Villa,0,0.00
D,338,Stephens,4.4,4.4,Southampton,1,0.04
M,339,S.Armstrong,5.8,5.8,Southampton,64,5.09
D,340,Vestergaard,4.7,4.7,Leicester,0,0.02
M,341,Ward-Prowse,6.4,6.4,Southampton,85,7.27
D,342,Walker-Peters,4.8,4.8,Southampton,69,4.73
D,343,Bednarek,4.4,4.4,Southampton,87,5.37
F,344,Nlundulu,4.5,4.5,Southampton,0,0.00
F,345,Adams,6.8,6.8,Southampton,79,7.30
M,346,Tella,4.7,4.7,Southampton,6,0.78
M,347,Smallbone,4.5,4.5,Southampton,1,0.09
F,348,Obafemi,4.5,4.5,Southampton,0,0.00
M,349,Diallo,4.5,4.5,Southampton,24,1.84
M,350,Djenepo,5.2,5.2,Southampton,5,0.68
D,351,Salisu,4.5,4.5,Southampton,88,5.32
G,352,Hart,4.5,4.5,Spurs,0,0.00
G,353,Lloris,5.4,5.4,Spurs,90,4.13
M,354,Sissoko,4.4,4.4,Watford,85,2.78
D,355,Alderweireld,5.0,5.0,Spurs,0,0.00
M,356,Lamela,6.0,6.0,Spurs,0,0.00
F,357,Kane,12.6,12.6,Spurs,84,6.08
D,358,Aurier,4.9,4.9,Spurs,0,0.00
M,359,Son,11.1,10.9,Spurs,81,6.06
D,360,Doherty,4.9,4.8,Spurs,0,0.00
D,361,Dier,4.6,4.6,Spurs,89,4.04
M,362,Lucas Moura,6.0,6.0,Spurs,23,1.41
M,363,Dele,6.2,6.2,Everton,8,0.51
D,364,Davies,4.4,4.4,Spurs,88,3.97
M,365,Højbjerg,4.8,4.8,Spurs,87,2.95
M,366,Winks,4.4,4.4,Spurs,8,0.35
D,367,Sánchez,4.3,4.3,Spurs,3,0.17
D,368,Sessegnon,4.3,4.3,Spurs,9,0.56
M,369,Bergwijn,5.9,5.9,Spurs,13,0.81
D,370,Reguilón,5.1,5.1,Spurs,81,4.57
D,371,Tanganga,4.2,4.2,Spurs,0,0.00
M,372,Lo Celso,5.9,5.9,Spurs,0,0.00
M,373,Skipp,4.4,4.4,Spurs,0,0.00
D,374,Rodon,4.2,4.2,Spurs,1,0.03
M,375,Ndombele,5.7,5.7,Spurs,0,0.00
G,376,Foster,4.1,4.1,Watford,90,3.61
D,377,Rose,4.2,4.2,Watford,0,0.00
M,378,Gosling,4.7,4.7,Watford,0,0.02
D,379,Cathcart,4.3,4.3,Watford,6,0.19
F,380,Deeney,5.4,5.4,Watford,0,0.00
M,381,Cleverley,4.8,4.8,Watford,29,1.36
D,382,Femenía,4.3,4.3,Watford,85,3.22
F,383,Gray,5.4,5.4,Watford,0,0.00
D,384,Kabasele,4.3,4.3,Watford,86,2.85
M,385,Chalobah,5.0,5.0,Watford,0,0.00
M,386,Hughes,4.7,4.7,Crystal Palace,23,1.04
D,387,Troost-Ekong,4.3,4.3,Watford,0,0.00
F,388,Perica,4.5,4.5,Watford,0,0.00
G,389,Bachmann,4.1,4.1,Watford,0,0.01
D,390,Masina,4.3,4.3,Watford,1,0.05
M,391,Sema,5.2,5.2,Watford,2,0.17
M,392,Zinckernagel,5.5,5.5,Watford,0,0.00
F,393,Success,5.0,5.0,Watford,0,0.00
M,394,Dele-Bashiru,4.5,4.5,Watford,0,0.00
F,395,Fletcher,4.8,4.8,Watford,0,0.00
D,396,Sierralta,4.3,4.3,Watford,0,0.00
M,397,Quina,4.5,4.5,Watford,0,0.00
D,398,Navarro,4.0,4.0,Watford,0,0.00
M,399,Sarr,5.7,5.7,Watford,83,4.03
D,400,Ngakia,4.2,4.2,Watford,6,0.22
D,401,Wilmot,4.5,4.5,Watford,0,0.00
M,402,Hungbo,4.5,4.5,Watford,0,0.00
M,403,Louza,5.2,5.2,Watford,80,2.71
F,404,João Pedro,5.4,5.4,Watford,69,3.17
M,405,Baah,4.3,4.3,Watford,0,0.03
M,406,Noble,4.3,4.3,West Ham,6,0.31
G,407,Randolph,4.3,4.3,West Ham,0,0.00
G,408,Fabianski,5.0,5.0,West Ham,90,4.03
D,409,Ogbonna,4.9,4.9,West Ham,0,0.00
D,410,Reid,3.9,3.9,West Ham,0,0.00
D,411,Cresswell,5.5,5.5,West Ham,88,4.42
M,412,Yarmolenko,5.1,5.1,West Ham,15,1.02
F,413,Antonio,7.5,7.5,West Ham,69,3.69
D,414,Dawson,4.9,4.9,West Ham,88,4.00
D,415,Fredericks,4.4,4.4,West Ham,9,0.41
M,416,Lanzini,5.6,5.6,West Ham,74,3.87
D,417,Masuaku,4.4,4.4,West Ham,2,0.08
D,418,Coufal,4.7,4.7,West Ham,49,2.27
M,419,Benrahma,5.9,5.9,West Ham,55,3.27
M,420,Bowen,6.9,6.9,West Ham,78,4.85
M,421,Rice,5.0,5.0,West Ham,87,2.86
M,422,Soucek,5.7,5.7,West Ham,87,3.64
M,423,Fornals,6.0,6.0,West Ham,50,2.51
D,424,Diop,4.2,4.2,West Ham,84,3.69
D,425,Johnson,3.9,3.9,West Ham,35,1.61
M,426,Moutinho,4.9,4.9,Wolves,0,0.00
G,427,Patrício,5.0,5.0,Wolves,0,0.00
D,428,Boly,4.9,4.9,Wolves,0,0.00
D,429,Coady,4.9,4.9,Wolves,0,0.00
F,430,Jiménez,7.5,7.5,Wolves,0,0.00
D,431,Saïss,4.9,4.9,Wolves,0,0.00
D,432,Marçal,4.2,4.2,Wolves,0,0.00
D,433,Jonny,4.5,4.5,Wolves,0,0.00
M,434,Dendoncker,4.7,4.7,Wolves,0,0.00
M,435,Traoré,5.6,5.6,Wolves,0,0.00
M,436,Neves,5.3,5.3,Wolves,0,0.00
D,437,Semedo,4.8,4.8,Wolves,0,0.00
M,438,Podence,5.5,5.5,Wolves,0,0.00
D,439,Kilman,4.6,4.6,Wolves,0,0.00
M,440,Gibbs-White,4.5,4.5,Wolves,0,0.00
M,441,Neto,6.3,6.3,Wolves,0,0.00
M,442,Otasowie,4.5,4.5,Wolves,0,0.00
D,443,Hoever,3.9,3.9,Wolves,0,0.00
G,444,Söndergaard,3.9,3.9,Wolves,0,0.00
F,445,Fabio Silva,5.6,5.6,Wolves,0,0.00
D,446,Mosquera,4.4,4.4,Wolves,0,0.00
F,447,Welbeck,5.9,5.9,Brighton,52,4.09
G,448,Gunn,4.0,4.0,Norwich,0,0.00
M,449,Rashica,5.2,5.2,Norwich,79,2.75
F,450,Dennis,5.8,5.8,Watford,62,2.70
D,451,Collins,4.3,4.3,Burnley,76,4.70
G,452,Ruddy,4.3,4.3,Wolves,0,0.00
M,453,Fernandinho,4.7,4.7,Man City,10,0.45
D,454,Pollock,4.0,4.0,Watford,0,0.00
F,455,Daka,7.0,7.0,Leicester,41,4.34
D,456,Gibson,4.4,4.4,Norwich,89,1.27
D,457,Giannoulis,4.4,4.4,Norwich,82,1.37
M,458,Soumaré,4.8,4.8,Leicester,15,1.27
M,459,Mata,4.7,4.7,Man Utd,7,0.81
D,460,Perraud,4.8,4.8,Southampton,46,3.51
M,461,Trincão,5.6,5.6,Wolves,0,0.00
M,462,Mwepu,5.9,5.9,Brighton,49,3.24
D,463,Firpo,4.7,4.7,Leeds,0,0.00
M,464,Olise,5.4,5.4,Crystal Palace,29,1.43
D,465,Fernández,4.3,4.3,Newcastle,1,0.04
D,466,Tavares,4.3,4.3,Arsenal,50,4.03
M,467,Etebo,4.3,4.3,Watford,1,0.03
F,468,King,5.6,5.6,Watford,50,2.45
F,469,Mebude,4.5,4.5,Watford,0,0.00
D,470,Ait Nouri,4.3,4.3,Wolves,0,0.00
M,471,Lees-Melou,4.8,4.8,Norwich,58,1.95
F,472,Cucho,5.1,5.1,Watford,0,0.00
D,473,Bertrand,4.6,4.6,Leicester,0,0.00
D,474,Ward,4.5,4.5,Crystal Palace,14,0.48
G,475,Sá,5.3,5.3,Wolves,0,0.00
G,476,Scherpen,4.5,4.5,Brighton,0,0.00
D,477,Guéhi,4.5,4.5,Crystal Palace,89,2.93
M,478,Sambi Lokonga,4.8,4.8,Arsenal,64,4.08
M,479,Onyeka,4.9,4.9,Brentford,0,0.01
G,480,Hennessey,4.5,4.5,Burnley,0,0.00
G,481,Begović,4.0,4.0,Everton,0,0.01
M,482,Townsend,5.2,5.2,Everton,0,0.00
D,483,Ajer,4.4,4.4,Brentford,72,2.76
M,484,Gray,5.5,5.5,Everton,61,3.16
M,485,Sancho,8.9,8.9,Man Utd,79,8.55
