Pos,ID,Name,BV,SV,Team,32_xMins,32_Pts,33_xMins,33_Pts
D,1,Cédric,4.2,4.2,Fulham,21,0.48,22,0.76
G,2,Leno,4.5,4.5,Fulham,83,2,85,3.28
M,3,Xhaka,4.9,4.9,Arsenal,64,1.65,64,1.82
M,4,Elneny,4.1,4.1,Arsenal,0,0,0,0
D,5,Holding,4.2,4.2,Arsenal,5,0.13,5,0.12
M,6,Partey,4.7,4.7,Arsenal,65,1.64,67,1.92
M,7,Ødegaard,7,7,Arsenal,73,2.84,74,2.88
D,8,Tierney,4.6,4.6,Arsenal,22,0.81,18,0.57
M,9,Pépé,5.3,5.3,Arsenal,0,0,0,0
D,10,White,4.7,4.7,Arsenal,65,2.35,67,1.74
F,11,Nketiah,6.8,6.8,Arsenal,32,1.39,29,1.36
M,12,Smith Rowe,5.6,5.6,Arsenal,23,0.94,25,1.2
M,13,Saka,8.4,8.2,Arsenal,70,3.33,71,3.18
D,14,Tomiyasu,4.2,4.2,Arsenal,40,1.38,41,1.08
G,15,Ramsdale,4.9,4.9,Arsenal,85,2.66,85,3.11
D,16,Gabriel,5.2,5.1,Arsenal,76,2.77,77,1.89
D,17,Tavares,4.5,4.5,Arsenal,0,0,0,0
M,18,Sambi,4.3,4.3,Crystal Palace,40,1.38,39,1.25
M,19,Martinelli,6.5,6.5,Arsenal,53,2.27,53,2.28
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0,0,0
M,21,Maitland-Niles,4.8,4.8,Southampton,0,0,29,1.07
M,22,Torreira,4.5,4.5,Arsenal,0,0,0,0
M,23,Nelson,4.7,4.7,Arsenal,5,0.24,6,0.29
G,24,Turner,3.8,3.8,Arsenal,5,0.13,5,0.15
M,25,Fábio Vieira,5.6,5.6,Arsenal,13,0.48,12,0.51
D,26,Saliba,5.3,5.3,Arsenal,76,2.44,76,1.71
M,27,Marquinhos,4.6,4.6,Arsenal,0,0,0,0
F,28,Jesus,7.9,7.9,Arsenal,68,2.79,71,2.96
M,29,Coutinho,6.6,6.6,Aston Villa,48,2.42,46,2.71
F,30,Ings,6.4,6.4,West Ham,26,1.59,25,1.44
G,31,Martínez,4.9,4.9,Aston Villa,87,3.27,86,3.58
D,32,Chambers,4.2,4.2,Aston Villa,9,0.26,9,0.33
D,33,Digne,4.6,4.6,Aston Villa,37,1.43,39,1.85
M,34,Traoré,4.9,4.9,Aston Villa,0,0,0,0
G,35,Olsen,3.9,3.9,Aston Villa,3,0.12,3,0.13
M,36,Sanson,4.3,4.3,Aston Villa,0,0,0,0
M,37,McGinn,5.1,5.1,Aston Villa,62,2.14,62,2.48
D,38,Hause,4.4,4.4,Aston Villa,0,0,0,0
D,39,Mings,4.3,4.3,Aston Villa,70,1.88,72,2.45
F,40,Watkins,7.1,7.1,Aston Villa,77,3.55,77,4.37
M,41,Nakamba,4.3,4.3,Aston Villa,0,0,0,0
M,42,Buendía,5.7,5.7,Aston Villa,59,2.74,61,3.39
D,43,Cash,4.6,4.6,Aston Villa,32,1.03,32,1.29
D,44,Konsa,4.4,4.4,Aston Villa,47,1.33,48,1.75
M,45,Bailey,4.4,4.4,Aston Villa,57,2.85,56,3.38
M,46,Douglas Luiz,4.8,4.8,Aston Villa,66,2.16,65,2.4
M,47,Ramsey,5.2,5.2,Aston Villa,47,2.02,46,2.32
M,48,Chukwuemeka,4.3,4.3,Chelsea,4,0.09,2,0.16
M,49,Iroegbunam,4.5,4.5,Aston Villa,0,0,0,0
D,50,Diego Carlos,4.7,4.7,Aston Villa,60,1.73,58,2.11
M,51,El Ghazi,4.8,4.8,Aston Villa,0,0,0,0
F,52,Davis,5.4,5.4,Aston Villa,0,0,0,0
M,53,Kamara,4.8,4.8,Aston Villa,71,1.9,71,2.06
F,54,Archer,4.2,4.2,Aston Villa,0,0,0,0
M,55,Philogene-Bidace,4.5,4.5,Aston Villa,0,0,0,0
D,56,Guilbert,3.9,3.9,Aston Villa,0,0,0,0
D,57,Smith,4.3,4.3,Bournemouth,61,2.04,64,1.87
M,58,Stanislas,4.8,4.8,Bournemouth,8,0.56,9,0.52
D,59,Fredericks,4.4,4.4,Bournemouth,26,1.01,27,0.96
M,60,Brooks,5.3,5.3,Bournemouth,2,0.17,2,0.16
M,61,Lowe,5.2,5.2,Bournemouth,0,0,0,0
F,62,Moore,5.1,5.1,Bournemouth,7,0.41,9,0.48
M,63,Marcondes,4.7,4.7,Bournemouth,0,0,0,0
M,64,Lerma,4.8,4.8,Bournemouth,72,2.12,74,2.08
D,65,Stacey,4.3,4.3,Bournemouth,13,0.49,14,0.49
F,66,Solanke,5.5,5.5,Bournemouth,77,3.82,75,3.44
M,67,Cook,4.9,4.9,Bournemouth,59,1.86,62,1.85
M,68,Pearson,4.4,4.4,Bournemouth,0,0,0,0
M,69,Christie,5.3,5.3,Bournemouth,18,0.88,17,0.83
M,70,Billing,5.1,5.1,Bournemouth,62,2.62,65,2.53
D,71,Mepham,4.4,4.4,Bournemouth,17,0.52,30,0.87
G,72,Travers,4.2,4.2,Bournemouth,5,0.2,5,0.19
D,73,Kelly,4.3,4.3,Bournemouth,70,2.27,75,2.13
M,74,Dembélé,4.7,4.7,Bournemouth,0,0,0,0
M,75,Anthony,5.2,5.2,Bournemouth,32,1.68,34,1.59
D,76,Zemura,4.3,4.3,Bournemouth,42,1.48,47,1.46
G,77,Dennis,3.9,3.9,Bournemouth,0,0,0,0
D,78,Jansson,4.2,4.2,Brentford,49,1.92,46,1.19
M,79,Nørgaard,5.3,5.3,Brentford,72,2.59,74,2.17
F,80,Toney,7.7,7.7,Brentford,33,1.89,36,1.53
G,81,Raya,4.7,4.7,Brentford,84,3.62,84,3.15
D,82,Canós,5,5,Brentford,0,0,0,0
M,83,Dasilva,4.1,4.1,Brentford,43,2.19,44,1.85
D,84,Ajer,4.5,4.5,Brentford,49,2.02,48,1.34
D,85,Henry,4.5,4.5,Brentford,68,2.73,69,1.83
M,86,Janelt,5.5,5.5,Brentford,48,1.95,48,1.66
M,87,Ghoddos,4.8,4.8,Brentford,5,0.32,5,0.23
M,88,Jensen,4.8,4.8,Brentford,61,2.68,61,2.18
M,89,Wissa,5.3,5.3,Brentford,47,3.01,46,2.19
D,90,Roerslev,4.3,4.3,Brentford,20,0.8,19,0.57
D,91,Bech,4.5,4.5,Brentford,0,0,0,0
D,92,Pinnock,4.4,4.4,Brentford,71,2.96,73,1.96
M,93,Onyeka,4.8,4.8,Brentford,21,1,23,0.92
M,94,Baptiste,4.5,4.5,Brentford,20,0.95,17,0.72
