Pos,ID,Name,BV,SV,Team,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,77,Nørgaard,5.0,5.0,Brentford,85,2.76,83,2.38,81,2.67
F,78,Toney,6.9,6.9,Brentford,87,5.03,85,3.85,81,4.81
M,79,Fosu,5.1,5.1,Brentford,6,0.42,4,0.25,2,0.17
G,80,Raya,4.3,4.3,Brentford,89,3.79,89,3.45,87,3.64
M,81,Canós,5.5,5.5,Brentford,0,0.00,15,0.73,20,1.21
M,82,Dasilva,5.3,5.3,Brentford,15,0.82,18,0.85,14,0.78
D,83,Henry,4.5,4.5,Brentford,78,3.00,73,2.24,72,2.66
M,84,Janelt,4.9,4.9,Brentford,74,2.81,69,2.31,69,2.64
M,85,Ghoddos,5.2,5.2,Brentford,7,0.43,13,0.65,17,0.99
M,86,Jensen,4.9,4.9,Brentford,22,1.07,28,1.19,27,1.29
D,87,Goode,3.9,3.9,Brentford,0,0.00,0,0.00,0,0.00
F,88,Forss,5.3,5.3,Brentford,0,0.00,0,0.00,0,0.00
D,89,Roerslev,4.1,4.1,Brentford,64,2.42,55,1.63,48,1.73
D,90,Sørensen,4.3,4.3,Brentford,64,2.27,45,1.25,38,1.32
D,91,Pinnock,4.4,4.4,Brentford,0,0.00,30,0.94,59,2.25
G,92,Balcombe,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00
M,93,Zamburek,4.4,4.4,Brentford,0,0.00,0,0.00,0,0.00
G,94,Gunnarsson,3.9,3.9,Brentford,0,0.00,0,0.00,0,0.00
F,95,Dervişoğlu,5.4,5.4,Brentford,0,0.00,0,0.00,0,0.00
M,96,Mbeumo,5.2,5.2,Brentford,79,4.10,76,3.24,69,3.69
M,97,Bidstrup,4.4,4.4,Brentford,0,0.00,0,0.00,0,0.00
D,98,Tarkowski,4.9,4.9,Burnley,88,2.88,85,3.95,81,3.08
D,99,Bardsley,3.9,3.9,Burnley,2,0.04,2,0.08,2,0.06
D,100,Pieters,4.1,4.1,Burnley,9,0.29,13,0.70,18,0.71
M,101,Cork,4.4,4.4,Burnley,80,2.35,78,4.20,70,2.20
M,102,Stephens,4.4,4.4,Burnley,16,0.62,19,1.40,27,1.02
D,103,Long,4.0,4.0,Burnley,6,0.23,10,0.53,13,0.49
F,104,Rodriguez,5.2,5.2,Burnley,32,1.56,51,4.32,56,2.81
F,105,Barnes,5.2,5.2,Burnley,19,1.05,12,1.21,14,0.85
D,106,Mee,4.6,4.6,Burnley,0,0.00,6,0.38,18,0.81
M,107,Westwood,5.2,5.2,Burnley,0,0.00,0,0.00,0,0.00
M,108,Gudmundsson,5.4,5.4,Burnley,0,0.00,1,0.14,3,0.22
F,109,Wood,6.5,6.5,Newcastle,51,1.81,46,2.09,28,1.48
D,110,Lowton,4.4,4.4,Burnley,15,0.52,18,0.97,21,0.87
F,111,Vydra,5.2,5.2,Burnley,59,3.01,53,4.64,50,2.69
G,112,Pope,5.4,5.4,Burnley,89,3.62,89,6.61,87,3.78
D,113,Taylor,4.4,4.4,Burnley,81,2.66,77,3.63,73,2.74
G,114,Norris,4.3,4.3,Burnley,0,0.00,0,0.00,0,0.00
M,115,Brownhill,4.3,4.3,Burnley,85,2.85,82,4.86,79,2.76
M,116,Benson,4.5,4.5,Burnley,0,0.00,0,0.00,0,0.00
G,117,Peacock-Farrell,4.5,4.5,Burnley,0,0.00,0,0.00,0,0.00
M,118,McNeil,5.5,5.5,Burnley,84,3.23,82,5.58,81,3.30
D,119,Azpilicueta,5.6,5.6,Chelsea,53,5.64,59,3.29,54,3.27
F,120,Giroud,6.5,6.5,Chelsea,0,0.00,0,0.00,0,0.00
D,121,Thiago Silva,5.6,5.6,Chelsea,64,6.35,71,3.67,72,4.04
D,122,Alonso,5.7,5.6,Chelsea,61,8.34,68,5.10,73,6.00
M,123,Jorginho,5.7,5.7,Chelsea,22,2.07,40,2.00,45,2.46
M,124,Barkley,5.2,5.2,Chelsea,15,1.71,7,0.46,7,0.48
M,125,Kovacic,4.9,4.9,Chelsea,65,5.01,54,2.21,56,2.52
F,126,Batshuayi,5.5,5.5,Chelsea,0,0.00,0,0.00,0,0.00
D,127,Rüdiger,6.1,6.1,Chelsea,73,7.32,78,4.30,80,4.82
D,128,Zouma,5.4,5.4,West Ham,79,3.37,75,1.46,67,2.13
G,129,Arrizabalaga,4.5,4.5,Chelsea,21,1.89,19,0.91,23,1.16
M,130,Kanté,4.9,4.9,Chelsea,22,1.74,58,2.32,65,2.73
M,131,Ziyech,7.3,7.3,Chelsea,27,3.42,22,1.49,18,1.40
M,132,Loftus-Cheek,5.4,5.4,Chelsea,49,4.16,26,1.28,16,0.83
D,133,Christensen,4.6,4.6,Chelsea,17,1.61,18,0.89,32,1.74
F,134,Werner,8.7,8.7,Chelsea,50,6.21,57,3.86,60,4.34
D,135,Chilwell,5.6,5.6,Chelsea,0,0.00,0,0.00,0,0.00
F,136,Abraham,6.5,6.5,Chelsea,0,0.00,0,0.00,0,0.00
M,137,Pulisic,7.9,7.9,Chelsea,23,2.71,17,1.14,12,0.86
M,138,Mount,7.7,7.6,Chelsea,64,7.29,69,4.33,73,4.92
D,139,Ampadu,4.5,4.5,Chelsea,0,0.00,0,0.00,0,0.00
M,140,Hudson-Odoi,5.3,5.3,Chelsea,7,0.85,7,0.43,6,0.43
M,141,Havertz,7.9,7.9,Chelsea,53,6.97,62,4.56,65,5.23
D,142,James,6.4,6.3,Chelsea,58,7.37,68,4.62,66,4.93
G,143,Mendy,6.1,6.1,Chelsea,69,6.46,71,3.42,66,3.37
M,144,Gallagher,6.0,6.0,Crystal Palace,77,3.77,79,5.78,80,3.23
M,145,Gilmour,4.3,4.3,Norwich,79,4.43,75,2.08,72,1.96
G,146,Guaita,4.6,4.6,Crystal Palace,87,3.99,86,6.75,84,3.33
D,147,Tomkins,4.3,4.3,Crystal Palace,3,0.14,7,0.45,11,0.37
M,148,McArthur,4.3,4.3,Crystal Palace,65,2.61,64,4.07,65,2.18
F,149,Benteke,5.9,5.9,Crystal Palace,9,0.65,9,1.02,14,0.87
D,150,Kouyaté,4.5,4.5,Crystal Palace,30,1.54,29,2.12,27,1.02
D,151,Kelly,3.8,3.8,Crystal Palace,5,0.19,7,0.37,7,0.20
M,152,Milivojevic,5.2,5.2,Crystal Palace,2,0.10,4,0.39,5,0.25
F,153,Ayew,5.8,5.8,Crystal Palace,35,1.73,36,2.84,35,1.54
M,154,Zaha,6.8,6.8,Crystal Palace,84,5.49,81,7.58,78,4.16
M,155,Schlupp,5.4,5.4,Crystal Palace,43,1.91,46,3.25,51,1.87
G,156,Butland,4.4,4.4,Crystal Palace,3,0.14,4,0.30,6,0.25
M,157,Riedewald,4.7,4.7,Crystal Palace,1,0.04,2,0.17,3,0.13
D,158,Jach,4.2,4.2,Crystal Palace,0,0.00,0,0.01,1,0.04
F,159,Mateta,5.3,5.3,Crystal Palace,42,2.78,57,5.49,54,3.02
M,160,Eze,5.9,5.9,Crystal Palace,63,3.42,47,4.02,36,1.78
D,161,Ferguson,4.5,4.5,Crystal Palace,0,0.00,0,0.01,1,0.05
D,162,Mitchell,4.5,4.5,Crystal Palace,69,3.17,78,4.87,74,2.41
M,163,Delph,4.2,4.2,Everton,54,3.72,44,3.20,40,1.31
M,164,Sigurdsson,6.7,6.7,Everton,0,0.00,0,0.00,0,0.00
D,165,Coleman,4.9,4.9,Everton,86,6.50,84,6.96,79,1.86
M,166,James,6.9,6.9,Everton,0,0.00,0,0.00,0,0.00
M,167,Bernard,5.5,5.5,Everton,0,0.00,0,0.00,0,0.00
D,168,Digne,5.0,5.0,Aston Villa,77,5.29,81,8.26,79,1.37
D,169,Keane,4.6,4.6,Everton,54,4.20,53,4.52,52,1.25
G,170,Pickford,4.8,4.8,Everton,90,7.46,89,7.73,88,3.18
M,171,Allan,4.3,4.3,Everton,19,1.45,35,2.46,42,1.24
M,172,André Gomes,4.9,4.9,Everton,1,0.11,1,0.14,1,0.05
M,173,Doucouré,5.3,5.3,Everton,60,4.55,54,4.20,50,1.52
M,174,Iwobi,5.8,5.8,Everton,70,5.77,66,5.59,63,2.12
D,175,Mina,4.9,4.9,Everton,70,5.91,66,6.07,76,1.88
M,176,Davies,4.8,4.8,Everton,35,2.65,33,2.57,27,0.94
F,177,Calvert-Lewin,7.7,7.7,Everton,32,3.58,38,4.11,54,2.13
D,178,Holgate,4.2,4.2,Everton,63,4.23,59,4.35,55,1.11
D,179,Godfrey,4.7,4.7,Everton,0,0.00,3,0.22,9,0.22
F,180,Richarlison,7.5,7.5,Everton,65,7.42,79,9.20,73,2.91
G,181,Virgínia,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00
M,182,Hernández,5.5,5.5,Leeds,0,0.00,0,0.00,0,0.00
G,183,Casilla,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.00
D,184,Cooper,4.4,4.4,Leeds,71,2.99,77,2.71,74,2.12
D,185,Ayling,4.3,4.3,Leeds,86,3.71,83,3.09,79,2.37
M,186,Klich,5.1,5.1,Leeds,53,3.64,58,2.26,52,1.93
F,187,Rodrigo,6.3,6.3,Leeds,69,5.26,61,2.90,58,2.59
M,188,Dallas,4.9,4.9,Leeds,0,0.00,0,0.00,0,0.00
F,189,Bamford,7.7,7.7,Leeds,32,3.00,50,2.85,73,3.83
D,190,Llorente,4.5,4.5,Leeds,77,3.26,77,2.75,75,2.17
M,191,Phillips,4.7,4.7,Leeds,81,4.01,80,2.25,78,2.10
M,192,Costa,5.4,5.4,Leeds,0,0.00,0,0.00,0,0.00
M,193,Roberts,4.8,4.8,Leeds,0,0.00,0,0.00,0,0.00
D,194,Koch,4.3,4.3,Leeds,44,1.99,39,1.43,47,1.41
M,195,Poveda,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.00
M,196,Raphinha,6.3,6.3,Leeds,83,7.58,83,4.80,80,4.21
M,197,Shackleton,4.4,4.4,Leeds,6,0.55,8,0.36,12,0.48
D,198,Struijk,4.3,4.3,Leeds,35,1.72,30,1.13,39,1.22
G,199,Meslier,4.8,4.8,Leeds,89,6.44,88,3.65,86,3.30
G,200,Schmeichel,4.9,4.9,Leicester,89,7.76,89,6.85,89,3.66
D,201,Evans,5.4,5.4,Leicester,45,3.82,54,3.02,62,2.17
M,202,Albrighton,5.2,5.2,Leicester,33,2.94,38,2.78,40,1.62
M,203,Mendy,4.3,4.3,Leicester,45,2.80,46,2.57,45,1.36
G,204,Ward,4.0,4.0,Leicester,1,0.04,1,0.09,1,0.05
F,205,Vardy,10.3,10.3,Leicester,47,6.30,61,5.93,66,3.99
M,206,Praet,4.9,4.9,Leicester,0,0.00,0,0.00,0,0.00
D,207,Pereira,5.2,5.2,Leicester,56,5.42,59,3.71,59,2.43
D,208,Amartey,4.0,4.0,Leicester,32,2.53,27,1.55,19,0.66
D,209,Castagne,5.3,5.3,Leicester,65,5.38,65,3.52,74,2.73
M,210,Tielemans,6.4,6.4,Leicester,76,6.54,78,5.28,83,3.16
M,211,Pérez,5.7,5.7,Leicester,19,2.30,28,2.70,27,1.51
M,212,Maddison,6.9,6.9,Leicester,65,7.84,69,6.24,71,3.89
F,213,Iheanacho,7.0,7.0,Leicester,41,5.25,31,3.27,28,1.80
M,214,Choudhury,4.4,4.4,Leicester,4,0.51,4,0.46,2,0.15
M,215,Barnes,6.5,6.5,Leicester,56,7.10,51,5.07,55,3.26
M,216,Ndidi,4.8,4.8,Leicester,0,0.00,0,0.00,0,0.00
D,217,Söyüncü,4.9,4.9,Leicester,59,4.55,57,2.96,53,1.81
D,218,Justin,4.9,4.9,Leicester,21,1.75,20,1.32,14,0.50
D,219,Thomas,4.3,4.3,Leicester,35,2.85,33,1.90,30,1.07
D,220,Fofana,4.3,4.3,Leicester,53,4.25,53,2.83,61,2.08
M,221,Milner,4.9,4.9,Liverpool,8,1.01,8,0.49,9,0.57
M,222,Henderson,4.9,4.9,Liverpool,68,5.44,69,2.83,67,3.04
G,223,Adrián,4.3,4.3,Liverpool,0,0.01,0,0.02,0,0.02
D,224,Matip,5.2,5.2,Liverpool,59,5.45,75,3.65,71,4.17
M,225,Thiago,5.3,5.3,Liverpool,59,4.58,57,2.32,54,2.40
M,226,Shaqiri,5.9,5.9,Liverpool,0,0.00,0,0.00,0,0.00
M,227,Chamberlain,5.8,5.8,Liverpool,17,1.80,16,0.88,18,1.03
F,228,Firmino,8.7,8.7,Liverpool,19,2.29,29,1.78,30,1.95
D,229,van Dijk,6.8,6.8,Liverpool,84,7.73,85,4.09,82,4.80
M,230,Mané,11.8,11.8,Liverpool,63,8.82,72,5.23,68,5.51
G,231,Alisson,6.0,6.0,Liverpool,90,8.19,88,4.11,88,4.64
M,232,Fabinho,5.4,5.4,Liverpool,82,5.46,82,2.88,81,3.06
M,233,Salah,13.3,13.1,Liverpool,76,13.22,77,7.08,76,7.92
D,234,Robertson,7.3,7.3,Liverpool,57,6.00,82,4.56,81,5.49
F,235,Origi,4.8,4.8,Liverpool,5,0.66,6,0.40,4,0.32
M,236,Minamino,5.1,5.1,Liverpool,5,0.65,5,0.36,5,0.40
D,237,Alexander-Arnold,8.4,8.4,Liverpool,86,10.57,82,5.37,81,6.31
D,238,Gomez,4.7,4.7,Liverpool,7,0.59,7,0.31,13,0.63
M,239,Keita,5.0,5.0,Liverpool,24,2.53,25,1.35,26,1.48
M,240,Jota,8.3,8.3,Liverpool,51,7.06,50,3.66,54,4.33
D,241,Phillips,4.2,4.2,Liverpool,0,0.00,0,0.00,0,0.00
G,242,Kelleher,4.3,4.3,Liverpool,0,0.03,2,0.09,2,0.09
D,243,Konaté,5.1,5.1,Liverpool,33,2.82,20,0.89,21,1.12
M,244,Jones,5.0,5.0,Liverpool,8,0.83,6,0.37,6,0.34
D,245,Tsimikas,3.7,3.7,Liverpool,23,2.25,7,0.38,8,0.48
D,246,N.Williams,3.8,3.8,Liverpool,0,0.00,0,0.00,0,0.00
D,247,R.Williams,4.4,4.4,Liverpool,0,0.00,0,0.00,0,0.00
D,248,Davies,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00
D,249,Walker,5.4,5.4,Man City,20,2.17,71,3.47,70,3.77
M,250,Gündogan,7.1,7.1,Man City,51,6.13,50,2.82,47,3.00
M,251,De Bruyne,11.9,11.9,Man City,71,10.05,73,4.81,71,5.18
D,252,Stones,5.2,5.2,Man City,5,0.62,19,1.00,38,2.17
D,253,Mendy,5.2,5.2,Man City,0,0.00,0,0.00,0,0.00
M,254,Mahrez,8.6,8.6,Man City,40,6.74,36,2.88,34,3.04
M,255,Sterling,10.5,10.5,Man City,54,7.37,54,3.58,55,3.93
D,256,Cancelo,7.2,7.2,Man City,81,10.29,75,4.33,73,4.72
G,257,Ederson,6.1,6.1,Man City,89,9.24,88,4.25,87,4.46
D,258,Aké,4.7,4.7,Man City,37,4.54,23,1.26,21,1.25
D,259,Laporte,6.0,5.9,Man City,78,9.23,73,3.88,68,4.01
G,260,Steffen,4.4,4.4,Man City,1,0.07,2,0.09,3,0.15
M,261,Bernardo,7.0,7.0,Man City,58,6.05,61,3.00,62,3.34
D,262,Dias,6.1,6.1,Man City,75,8.75,73,3.80,66,3.81
F,263,Jesus,8.6,8.6,Man City,64,8.35,57,3.56,53,3.70
D,264,Zinchenko,5.3,5.3,Man City,56,6.24,24,1.23,24,1.38
M,265,Foden,7.9,7.9,Man City,59,7.78,66,4.05,68,4.63
M,266,Rodrigo,5.5,5.5,Man City,80,6.46,78,2.99,74,3.10
M,267,Harrison,5.5,5.5,Leeds,73,5.40,70,3.18,69,2.92
M,268,Torres,6.7,6.7,Man City,0,0.00,0,0.00,0,0.00
F,269,Cavani,8.4,8.4,Man Utd,9,0.54,0,0.00,13,0.79
G,270,de Gea,5.1,5.1,Man Utd,89,3.59,0,0.00,86,3.45
M,271,Matic,4.3,4.3,Man Utd,39,1.31,0,0.00,33,1.15
M,272,Pogba,7.4,7.4,Man Utd,0,0.00,0,0.00,0,0.00
D,273,Maguire,5.4,5.4,Man Utd,28,0.95,0,0.00,49,1.63
M,274,Fred,4.9,4.9,Man Utd,63,2.01,0,0.00,74,2.25
D,275,Shaw,5.0,5.0,Man Utd,0,0.00,0,0.00,43,1.60
M,276,Lingard,6.7,6.7,Man Utd,36,1.78,0,0.00,34,1.72
M,277,Fernandes,11.6,11.6,Man Utd,86,4.35,0,0.00,84,4.26
F,278,Martial,7.6,7.6,Man Utd,0,0.00,0,0.00,0,0.00
D,279,Telles,5.1,5.1,Man Utd,87,3.32,0,0.00,45,1.80
G,280,Henderson,4.7,4.7,Man Utd,1,0.03,0,0.00,3,0.14
M,281,Rashford,9.4,9.4,Man Utd,0,0.00,0,0.00,15,0.85
M,282,van de Beek,5.7,5.7,Everton,11,0.95,22,1.87,26,0.94
D,283,Tuanzebe,4.4,4.4,Man Utd,0,0.00,0,0.00,0,0.00
D,284,Lindelöf,4.8,4.8,Man Utd,69,2.20,0,0.00,52,1.64
M,285,McTominay,5.4,5.4,Man Utd,70,2.29,0,0.00,65,2.11
D,286,Bailly,4.9,4.9,Man Utd,2,0.06,0,0.00,1,0.05
M,287,James,6.0,6.0,Leeds,66,5.21,67,3.23,53,2.40
D,288,Wan-Bissaka,5.1,5.1,Man Utd,19,0.64,0,0.00,41,1.34
M,289,Greenwood,7.1,7.1,Man Utd,0,0.00,0,0.00,0,0.00
D,290,Williams,3.9,3.9,Norwich,58,2.65,56,1.34,57,1.02
M,291,Shelvey,5.3,5.3,Newcastle,72,1.96,65,1.99,59,1.90
D,292,Ritchie,4.9,4.9,Newcastle,5,0.14,7,0.27,6,0.28
D,293,Clark,4.4,4.4,Newcastle,0,0.00,0,0.00,0,0.00
G,294,Darlow,4.5,4.5,Newcastle,4,0.14,9,0.34,8,0.32
G,295,Dubravka,4.4,4.4,Newcastle,86,3.06,81,3.10,82,3.41
F,296,Wilson,7.1,7.1,Newcastle,10,0.43,38,1.81,59,2.93
M,297,Hendrick,4.8,4.8,Newcastle,0,0.00,0,0.00,0,0.00
M,298,Fraser,5.2,5.2,Newcastle,0,0.00,16,0.76,44,1.92
D,299,Lascelles,4.4,4.4,Newcastle,72,1.19,39,1.17,26,0.95
F,300,Gayle,5.2,5.2,Newcastle,2,0.11,1,0.05,1,0.07
D,301,Dummett,4.5,4.5,Newcastle,5,0.13,6,0.20,9,0.31
D,302,Manquillo,3.9,3.9,Newcastle,9,0.25,4,0.15,3,0.12
D,303,Krafth,4.3,4.3,Newcastle,71,1.18,32,0.96,11,0.38
M,304,Murphy,4.6,4.6,Newcastle,38,1.32,32,1.31,24,1.06
D,305,Schär,4.3,4.3,Newcastle,12,0.24,48,1.47,71,2.55
M,306,Hayden,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00
F,307,Saint-Maximin,6.8,6.8,Newcastle,83,2.55,79,2.97,77,3.14
M,308,Almirón,5.0,5.0,Newcastle,60,2.02,50,2.09,37,1.71
M,309,S.Longstaff,4.3,4.3,Newcastle,8,0.29,6,0.23,6,0.23
F,310,Joelinton,5.8,5.8,Newcastle,72,2.00,63,1.96,68,2.14
D,311,Lewis,4.2,4.2,Newcastle,0,0.00,0,0.00,0,0.00
M,312,M.Longstaff,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00
G,313,McGovern,3.9,3.9,Norwich,0,0.00,0,0.00,0,0.01
G,314,Krul,4.5,4.5,Norwich,89,6.52,90,3.32,86,3.07
F,315,Pukki,6.1,5.9,Norwich,86,7.75,83,3.42,81,3.33
M,316,Stiepermann,5.0,5.0,Norwich,0,0.00,0,0.00,0,0.00
M,317,Rupp,4.4,4.4,Norwich,1,0.08,1,0.05,1,0.07
M,318,McLean,4.9,4.9,Norwich,0,0.00,0,0.00,0,0.00
D,319,Hanley,4.4,4.4,Norwich,88,4.18,83,2.06,79,1.44
M,320,Hernández,4.9,4.9,Norwich,0,0.00,0,0.00,0,0.00
D,321,Byram,4.4,4.4,Norwich,58,2.84,53,1.37,44,0.88
F,322,Hugill,5.4,5.4,Norwich,0,0.00,0,0.00,0,0.00
M,323,Dowell,5.1,5.1,Norwich,71,5.76,67,2.64,57,2.28
D,324,Zimmermann,4.4,4.4,Norwich,15,0.88,24,0.71,27,0.69
M,325,Cantwell,5.3,5.3,Norwich,0,0.00,0,0.00,0,0.00
D,326,Aarons,4.3,4.3,Norwich,70,3.40,65,1.64,66,1.24
D,327,Sørensen,4.3,4.3,Norwich,22,1.30,27,0.82,32,0.75
M,328,Placheta,4.7,4.7,Norwich,3,0.45,4,0.26,3,0.23
F,329,Idah,4.8,4.8,Norwich,0,0.00,0,0.00,0,0.00
M,330,Martin,5.0,5.0,Norwich,0,0.00,0,0.00,0,0.00
D,331,Omobamidele,3.9,3.9,Norwich,0,0.00,0,0.00,0,0.00
M,332,Walcott,5.8,5.8,Southampton,3,0.21,5,0.31,3,0.25
G,333,Forster,4.4,4.4,Southampton,87,3.36,82,2.90,68,2.59
G,334,McCarthy,4.3,4.3,Southampton,0,0.01,6,0.20,21,0.80
M,335,Romeu,4.5,4.5,Southampton,77,2.18,81,1.98,76,2.16
M,336,Redmond,5.9,5.9,Southampton,37,1.60,39,1.43,39,1.69
F,337,Ings,7.7,7.7,Aston Villa,61,6.08,58,6.90,58,2.20
D,338,Stephens,4.4,4.4,Southampton,8,0.23,12,0.25,11,0.32
M,339,S.Armstrong,5.8,5.8,Southampton,57,2.27,59,2.02,58,2.37
