Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts
G,207,Gazzaniga,4.0,4.0,Fulham,2,0.08,3,0.10,4,0.16,5,0.16,4,0.18,6,0.20
D,208,Kongolo,4.0,4.0,Fulham,10,0.21,14,0.43,17,0.60,22,0.48,22,0.76,22,0.47
D,209,Tosin,4.5,4.5,Fulham,86,1.28,82,2.19,81,2.63,77,1.43,77,2.44,76,1.32
F,210,Mitrović,6.5,6.5,Fulham,80,3.24,76,3.77,75,4.34,73,3.10,73,4.07,72,2.99
M,211,Reed,4.5,4.5,Fulham,67,1.86,63,1.92,63,2.02,61,1.75,62,1.99,59,1.70
M,212,Wilson,6.0,6.0,Fulham,76,2.76,72,3.15,70,3.56,68,2.58,69,3.40,68,2.54
G,213,Rodák,4.5,4.5,Fulham,88,3.02,87,3.18,85,3.35,85,2.93,85,3.33,84,2.88
M,214,Cavaleiro,5.0,5.0,Fulham,17,0.75,18,0.89,20,1.09,23,1.02,25,1.28,25,1.07
D,215,Tete,4.5,4.5,Fulham,79,1.39,77,2.31,73,2.71,72,1.56,72,2.60,72,1.46
M,216,Onomah,4.5,4.5,Fulham,3,0.18,5,0.29,6,0.33,8,0.39,10,0.53,10,0.46
D,217,Robinson,4.5,4.5,Fulham,61,0.97,61,1.68,59,1.98,59,1.15,58,1.89,58,1.06
F,218,Muniz,5.5,5.5,Fulham,7,0.34,10,0.56,11,0.65,12,0.57,12,0.69,12,0.57
F,219,Stansfield,4.5,4.5,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01
M,220,Palhinha,5.0,5.0,Fulham,79,2.09,76,2.23,75,2.37,74,2.02,74,2.29,72,1.96
D,221,Cooper,4.5,4.5,Leeds,80,2.92,73,2.30,69,1.77,70,1.96,65,2.47,65,1.89
D,222,Ayling,4.5,4.5,Leeds,11,0.44,28,0.98,45,1.25,47,1.39,51,2.04,52,1.57
M,223,Klich,5.0,5.0,Leeds,40,1.69,42,1.66,42,1.59,43,1.66,43,1.85,43,1.68
M,224,Forshaw,4.5,4.5,Leeds,9,0.38,10,0.41,10,0.39,13,0.50,11,0.47,15,0.57
M,225,Rodrigo,6.0,6.0,Leeds,66,3.50,64,3.15,61,2.73,56,2.65,55,3.12,58,2.82
D,226,Dallas,5.0,5.0,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,227,Bamford,7.5,7.5,Leeds,74,4.36,70,3.82,70,3.38,67,3.42,67,4.07,66,3.50
D,228,Llorente,4.5,4.5,Leeds,75,3.01,71,2.44,68,1.92,67,2.04,63,2.60,61,1.93
M,229,Roberts,5.0,5.0,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,230,Koch,4.5,4.5,Leeds,32,1.26,35,1.19,30,0.87,31,0.99,32,1.31,33,1.05
M,231,James,6.0,6.0,Leeds,0,0.00,42,1.98,37,1.68,41,1.86,42,2.16,41,1.89
M,232,Raphinha,7.0,7.0,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,233,Harrison,6.0,6.0,Leeds,67,3.49,53,2.64,56,2.53,55,2.52,55,3.01,56,2.64
M,234,Shackleton,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,235,Struijk,4.5,4.5,Leeds,70,2.63,69,2.25,67,1.78,64,1.85,58,2.23,48,1.48
G,236,Klaesson,4.0,4.0,Leeds,1,0.03,1,0.06,2,0.09,3,0.11,4,0.16,5,0.19
F,237,Greenwood,4.5,4.5,Leeds,7,0.40,6,0.37,5,0.30,8,0.41,8,0.49,7,0.36
G,238,Meslier,4.5,4.5,Leeds,89,3.62,88,3.36,87,3.11,86,3.19,85,3.51,84,3.12
D,239,Firpo,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.00,1,0.04,10,0.42,21,0.74
M,240,Summerville,4.5,4.5,Leeds,4,0.28,2,0.11,3,0.17,3,0.19,3,0.21,3,0.19
M,241,Bate,4.5,4.5,Leeds,1,0.03,1,0.04,1,0.06,2,0.08,2,0.11,3,0.13
F,242,Gelhardt,5.5,5.5,Leeds,13,0.85,12,0.76,12,0.66,13,0.77,15,0.99,15,0.88
D,243,Hjelde,4.0,4.0,Leeds,13,0.47,13,0.42,17,0.49,16,0.50,17,0.70,16,0.52
D,244,Kristensen,5.0,5.0,Leeds,79,3.10,72,2.41,70,1.92,68,2.03,64,2.60,64,1.98
M,245,Roca,5.0,5.0,Leeds,60,2.09,60,2.03,60,1.89,55,1.81,58,2.11,58,1.92
M,246,Aaronson,5.5,5.5,Leeds,39,1.92,32,1.49,34,1.49,37,1.63,40,1.99,37,1.68
M,247,Gyabi,4.5,4.5,Leeds,0,0.01,0,0.00,0,0.01,1,0.03,1,0.03,1,0.04
G,248,Schmeichel,5.0,5.0,Leicester,87,3.68,86,3.09,84,3.67,84,2.94,84,3.30,83,3.22
D,249,Evans,4.5,4.5,Leicester,71,2.86,66,1.68,64,2.73,60,1.36,63,2.14,62,1.97
D,250,Bertrand,4.0,4.0,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,251,Albrighton,5.0,5.0,Leicester,12,0.59,15,0.65,13,0.72,15,0.62,16,0.77,15,0.69
M,252,Mendy,4.5,4.5,Leicester,24,0.95,33,1.12,28,1.09,28,0.95,28,1.02,29,1.04
D,253,Vestergaard,4.0,4.0,Leicester,0,0.02,1,0.03,1,0.06,2,0.05,2,0.07,3,0.10
G,254,Ward,4.0,4.0,Leicester,3,0.13,4,0.13,5,0.22,5,0.19,5,0.21,6,0.24
F,255,Vardy,9.5,9.5,Leicester,73,4.69,69,3.25,69,4.63,68,3.00,66,3.70,67,3.62
D,256,Ricardo,4.5,4.5,Leicester,21,0.99,22,0.74,23,1.16,23,0.74,27,1.12,24,0.97
D,257,Amartey,4.5,4.5,Leicester,21,0.80,23,0.60,26,1.09,29,0.68,27,0.92,30,0.96
D,258,Castagne,4.5,4.5,Leicester,82,3.26,79,1.96,77,3.28,74,1.67,72,2.44,75,2.35
M,259,Tielemans,6.5,6.5,Leicester,82,3.14,80,2.49,79,3.22,77,2.34,77,2.75,77,2.67
M,260,Pérez,5.0,5.0,Leicester,26,1.48,28,1.31,28,1.64,30,1.35,31,1.59,33,1.59
M,261,Maddison,8.0,8.0,Leicester,77,4.74,74,3.30,72,4.59,71,3.02,71,3.81,71,3.61
F,262,Iheanacho,6.5,6.5,Leicester,31,1.98,33,1.65,33,2.11,33,1.58,33,1.87,31,1.74
M,263,Choudhury,4.5,4.5,Leicester,0,0.02,1,0.09,1,0.12,1,0.10,2,0.14,1,0.11
M,264,Barnes,7.0,7.0,Leicester,66,4.00,65,2.90,62,3.87,61,2.60,62,3.26,60,3.06
M,265,Ndidi,5.0,5.0,Leicester,65,2.14,51,1.49,64,2.18,64,1.78,64,1.97,62,1.88
M,266,Dewsbury-Hall,5.0,5.0,Leicester,62,2.42,62,1.98,61,2.46,59,1.84,59,2.10,59,2.03
D,267,Söyüncü,4.5,4.5,Leicester,19,0.74,21,0.55,26,1.09,26,0.59,25,0.84,26,0.84
D,268,Justin,4.5,4.5,Leicester,61,2.41,63,1.57,61,2.58,64,1.43,60,2.02,58,1.81
M,269,Soumaré,4.5,4.5,Leicester,4,0.20,7,0.32,6,0.32,7,0.32,9,0.42,9,0.41
D,270,Thomas,4.5,4.5,Leicester,17,0.67,17,0.46,19,0.84,19,0.47,20,0.69,22,0.72
F,271,Daka,6.0,6.0,Leicester,10,0.72,13,0.68,14,0.94,15,0.80,15,0.91,16,0.94
D,272,Fofana,4.5,4.5,Leicester,80,3.09,78,1.88,74,3.08,75,1.63,73,2.39,69,2.14
D,273,Brunt,4.0,4.0,Leicester,0,0.01,1,0.02,1,0.06,2,0.06,2,0.08,3,0.11
M,274,Milner,4.5,4.5,Liverpool,6,0.37,8,0.51,11,0.60,12,0.81,13,0.81,14,0.81
M,275,Henderson,5.5,5.5,Liverpool,64,2.64,61,2.56,63,2.28,61,2.74,62,2.60,59,2.37
D,276,Matip,6.0,6.0,Liverpool,73,4.09,71,4.11,66,2.91,66,4.22,63,3.58,65,3.41
M,277,Thiago,5.5,5.5,Liverpool,67,2.87,63,2.77,62,2.37,59,2.82,57,2.57,60,2.52
M,278,Chamberlain,5.0,5.0,Liverpool,5,0.43,5,0.47,6,0.44,7,0.59,8,0.63,8,0.58
F,279,Firmino,8.0,8.0,Liverpool,22,1.45,18,1.17,20,1.14,20,1.45,22,1.47,22,1.38
D,280,Van Dijk,6.5,6.5,Liverpool,86,4.47,84,4.51,81,3.33,80,4.75,79,4.21,78,3.86
G,281,Alisson,5.5,5.5,Liverpool,89,4.31,88,4.34,86,3.81,85,4.46,85,4.17,85,4.04
M,282,Fabinho,5.5,5.5,Liverpool,78,3.07,78,3.13,75,2.63,73,3.19,72,2.93,71,2.73
M,283,Salah,13.0,13.0,Liverpool,81,7.28,79,7.18,77,5.43,77,7.89,75,6.78,75,6.10
D,284,Robertson,7.0,7.0,Liverpool,85,4.96,82,4.97,81,3.75,79,5.33,79,4.69,77,4.26
D,285,Alexander-Arnold,7.5,7.5,Liverpool,86,5.81,83,5.84,80,4.26,79,6.19,79,5.47,78,4.95
D,286,Gomez,4.5,4.5,Liverpool,3,0.13,6,0.29,7,0.32,9,0.47,12,0.60,12,0.61
M,287,Keita,5.0,5.0,Liverpool,35,1.81,34,1.78,35,1.57,39,2.12,37,1.89,37,1.78
F,288,Diogo Jota,9.0,9.0,Liverpool,28,1.89,51,3.39,50,2.75,51,3.77,50,3.34,51,3.11
G,289,Kelleher,4.0,4.0,Liverpool,1,0.05,2,0.08,3,0.13,4,0.19,4,0.19,4,0.19
D,290,Konaté,5.0,5.0,Liverpool,21,1.07,24,1.27,31,1.26,31,1.79,33,1.72,31,1.51
M,291,Jones,5.0,5.0,Liverpool,11,0.61,14,0.76,15,0.72,18,0.99,17,0.89,18,0.90
D,292,Tsimikas,4.5,4.5,Liverpool,4,0.24,8,0.42,8,0.34,10,0.60,9,0.49,11,0.55
M,293,Luis Díaz,8.0,8.0,Liverpool,73,5.17,70,5.02,69,4.00,68,5.47,68,4.86,67,4.42
M,294,Elliott,5.0,5.0,Liverpool,13,0.96,11,0.78,12,0.72,13,0.97,14,0.97,13,0.83
D,295,N.Williams,4.0,4.0,Nott'm Forest,76,2.28,72,2.60,70,2.32,71,2.06,69,0.86,68,3.26
M,296,Carvalho,5.5,5.5,Liverpool,4,0.23,5,0.35,5,0.26,7,0.38,7,0.36,8,0.40
F,297,Darwin,9.0,9.0,Liverpool,69,4.60,66,4.43,65,3.58,63,4.74,64,4.30,63,3.91
D,298,Ramsay,4.0,4.0,Liverpool,0,0.02,1,0.05,2,0.08,2,0.08,2,0.08,3,0.10
D,299,Walker,5.0,5.0,Man City,69,3.09,66,3.88,67,3.10,65,3.50,64,3.76,63,2.97
M,300,Gündogan,7.5,7.5,Man City,24,1.28,26,1.67,30,1.54,32,1.82,30,1.94,32,1.66
M,301,De Bruyne,12.0,12.0,Man City,79,5.05,75,6.21,73,4.70,70,5.30,70,6.01,70,4.59
D,302,Stones,5.5,5.5,Man City,36,1.70,37,2.24,39,1.88,38,2.12,37,2.25,41,1.97
M,303,Mahrez,8.0,8.0,Man City,65,4.21,64,5.31,63,4.18,61,4.66,62,5.32,60,4.07
M,304,Sterling,10.0,10.0,Chelsea,75,4.09,73,3.80,72,3.93,71,4.15,69,3.85,68,4.00
M,305,Grealish,7.0,7.0,Man City,67,3.47,64,4.22,64,3.36,64,3.85,63,4.28,63,3.39
D,306,Cancelo,7.0,7.0,Man City,81,3.89,79,5.01,77,3.84,76,4.39,76,4.83,75,3.78
G,307,Ederson,5.5,5.5,Man City,89,3.91,87,4.45,87,3.90,86,4.15,85,4.35,85,3.82
D,308,Aké,5.0,5.0,Man City,20,1.02,22,1.42,22,1.16,22,1.29,25,1.64,25,1.34
D,309,Laporte,6.0,6.0,Man City,71,3.45,69,4.38,68,3.42,67,3.91,68,4.27,66,3.33
G,310,Steffen,4.0,4.0,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,311,Bernardo,7.0,7.0,Man City,63,2.74,59,3.12,56,2.49,58,2.89,55,3.03,57,2.60
D,312,Dias,6.0,6.0,Man City,76,3.72,75,4.82,74,3.75,74,4.30,73,4.63,71,3.58
D,313,Zinchenko,5.0,5.0,Arsenal,80,3.07,77,3.42,73,3.35,67,3.48,64,2.97,63,2.11
M,314,Foden,8.0,8.0,Man City,66,3.60,68,4.63,68,3.68,67,4.14,66,4.71,66,3.66
M,315,Rodri,6.0,6.0,Man City,74,2.85,75,3.47,73,2.86,71,3.05,72,3.40,70,2.76
M,316,Palmer,4.5,4.5,Man City,6,0.37,7,0.48,8,0.46,9,0.51,9,0.61,11,0.60
M,317,McAtee,4.5,4.5,Man City,3,0.16,3,0.19,5,0.30,5,0.32,5,0.31,6,0.34
F,318,Haaland,11.5,11.5,Man City,72,5.15,71,6.49,70,4.91,69,5.65,68,6.52,68,4.85
F,319,Álvarez,6.5,6.5,Man City,15,0.94,15,1.18,18,1.16,19,1.32,18,1.44,19,1.23
D,320,Mbete,4.0,4.0,Man City,0,0.02,0,0.02,1,0.04,1,0.06,1,0.08,2,0.08
M,321,Lavia,4.5,4.5,Southampton,5,0.19,6,0.24,9,0.35,8,0.32,11,0.42,11,0.42
D,322,Wilson-Esbrand,4.0,4.0,Man City,1,0.07,2,0.12,2,0.10,3,0.17,3,0.18,3,0.16
F,323,Delap,4.5,4.5,Man City,3,0.24,4,0.37,5,0.32,5,0.40,6,0.49,5,0.35
G,324,Ortega,4.0,4.0,Man City,0,0.01,2,0.08,2,0.07,1,0.05,2,0.08,2,0.09
M,325,Phillips,5.0,5.0,Man City,36,1.42,36,1.66,38,1.49,38,1.66,42,1.96,38,1.50
F,326,Ronaldo,10.5,10.5,Man Utd,57,3.79,55,3.36,55,2.76,52,3.24,55,3.20,56,3.38
G,327,De Gea,5.0,5.0,Man Utd,89,3.79,87,3.46,87,3.12,86,3.53,86,3.31,86,3.38
D,328,Jones,4.0,4.0,Man Utd,0,0.00,0,0.01,0,0.01,0,0.01,0,0.02,0,0.01
D,329,Varane,5.0,5.0,Man Utd,76,3.33,74,2.72,72,1.85,71,2.81,69,2.36,69,2.49
D,330,Maguire,5.0,5.0,Man Utd,58,2.41,60,2.11,61,1.50,59,2.24,57,1.85,62,2.11
M,331,Fred,5.5,5.5,Man Utd,69,2.70,68,2.48,65,2.10,66,2.47,64,2.27,63,2.27
D,332,Shaw,5.0,5.0,Man Utd,21,0.95,23,0.94,25,0.76,26,1.10,27,1.01,27,1.06
M,333,Fernandes,10.0,10.0,Man Utd,84,4.94,82,4.42,80,3.46,80,4.45,78,3.92,77,4.06
D,334,Telles,5.0,5.0,Man Utd,4,0.19,8,0.33,8,0.25,8,0.34,8,0.31,9,0.36
M,335,Rashford,6.5,6.5,Man Utd,68,3.63,67,3.31,66,2.73,65,3.33,64,3.06,65,3.15
M,336,Van de Beek,5.5,5.5,Man Utd,23,0.98,25,1.00,28,1.01,29,1.17,29,1.12,31,1.20
D,337,Lindelöf,4.5,4.5,Man Utd,10,0.40,10,0.34,10,0.24,14,0.50,13,0.43,15,0.50
M,338,McTominay,5.0,5.0,Man Utd,69,2.39,68,2.22,66,1.94,64,2.14,64,2.05,62,2.03
D,339,Bailly,4.0,4.0,Man Utd,3,0.09,4,0.12,4,0.09,6,0.18,5,0.15,6,0.18
M,340,Sancho,7.5,7.5,Man Utd,74,3.90,71,3.48,71,2.87,69,3.48,68,3.18,68,3.25
D,341,Wan-Bissaka,4.5,4.5,Man Utd,18,0.75,19,0.69,22,0.57,24,0.94,21,0.71,26,0.93
D,342,Dalot,4.5,4.5,Man Utd,73,3.17,70,2.56,69,1.77,67,2.63,67,2.28,65,2.32
D,343,B.Williams,4.0,4.0,Man Utd,7,0.30,9,0.36,7,0.22,10,0.38,12,0.42,10,0.37
M,344,Elanga,5.0,5.0,Man Utd,59,3.13,58,2.87,57,2.39,57,2.90,55,2.59,56,2.72
F,345,Martial,7.0,7.0,Man Utd,66,3.29,65,3.05,64,2.61,63,3.14,63,2.85,62,2.88
M,346,Andreas,4.5,4.5,Fulham,73,2.49,71,2.82,70,3.18,67,2.38,66,2.91,66,2.33
M,347,Pellistri,4.5,4.5,Man Utd,1,0.14,2,0.20,2,0.18,3,0.25,3,0.25,2,0.20
G,348,Heaton,4.0,4.0,Man Utd,1,0.03,2,0.10,2,0.09,3,0.12,3,0.14,3,0.13
M,349,Shelvey,5.0,5.0,Newcastle,61,2.29,61,1.92,58,1.67,58,1.87,55,1.48,58,2.05
D,350,Ritchie,4.5,4.5,Newcastle,2,0.10,4,0.15,5,0.18,6,0.30,6,0.18,7,0.39
D,351,Fernández,4.5,4.5,Newcastle,3,0.14,3,0.10,3,0.10,5,0.20,6,0.14,6,0.24
D,352,Clark,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,353,Darlow,4.0,4.0,Newcastle,0,0.00,0,0.01,0,0.00,0,0.00,0,0.00,0,0.01
F,354,Wood,6.0,6.0,Newcastle,15,1.01,16,0.92,19,0.91,19,1.07,21,0.95,21,1.29
G,355,Dubravka,4.5,4.5,Newcastle,1,0.03,2,0.09,2,0.07,3,0.10,4,0.14,4,0.16
F,356,Wilson,7.5,7.5,Newcastle,76,4.82,73,3.61,70,2.90,69,3.50,67,2.54,66,3.73
D,357,Trippier,5.0,5.0,Newcastle,80,4.28,78,2.80,75,1.86,73,2.80,73,1.34,72,3.33
D,358,Burn,4.5,4.5,Newcastle,36,1.77,36,1.22,40,0.92,38,1.34,39,0.66,38,1.61
M,359,Fraser,5.5,5.5,Newcastle,47,2.85,44,2.14,46,1.96,46,2.26,48,1.85,50,2.72
D,360,Lascelles,4.5,4.5,Newcastle,13,0.58,15,0.50,17,0.41,18,0.63,25,0.45,22,0.90
F,361,Gayle,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,362,Dummett,4.0,4.0,Newcastle,1,0.02,1,0.02,2,0.04,2,0.05,2,0.04,2,0.06
D,363,Manquillo,4.5,4.5,Newcastle,6,0.27,7,0.27,8,0.27,9,0.36,8,0.23,9,0.41
D,364,Krafth,4.5,4.5,Newcastle,6,0.27,7,0.24,8,0.21,10,0.35,10,0.20,11,0.42
M,365,Murphy,4.5,4.5,Newcastle,15,0.86,20,0.95,21,0.92,21,1.03,20,0.81,22,1.18
D,366,Schär,4.5,4.5,Newcastle,53,2.66,51,1.74,51,1.21,49,1.79,42,0.78,49,2.16
D,367,Targett,5.0,5.0,Newcastle,82,3.92,79,2.50,73,1.61,71,2.44,72,1.14,69,2.86
M,368,Saint-Maximin,6.5,6.5,Newcastle,79,4.27,77,3.27,73,2.66,72,3.13,71,2.39,70,3.45
M,369,Almirón,5.0,5.0,Newcastle,50,2.68,52,2.24,49,1.90,53,2.28,52,1.84,51,2.41
M,370,S.Longstaff,4.5,4.5,Newcastle,12,0.54,12,0.47,17,0.62,18,0.69,18,0.63,21,0.88
M,371,Joelinton,6.0,6.0,Newcastle,67,2.76,62,2.17,64,2.01,62,2.19,62,1.86,59,2.33
D,372,Lewis,4.5,4.5,Newcastle,5,0.23,7,0.26,8,0.24,10,0.35,12,0.28,12,0.53
M,373,Willock,5.0,5.0,Newcastle,38,1.74,41,1.60,40,1.41,40,1.58,44,1.43,42,1.77
M,374,Bruno Guimarães,6.0,6.0,Newcastle,81,3.91,80,3.03,78,2.60,76,2.95,75,2.31,72,3.11
M,375,Hendrick,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,376,Pope,5.0,5.0,Newcastle,89,4.01,87,3.39,87,3.07,87,3.40,85,2.95,85,3.56
D,377,Botman,4.5,4.5,Newcastle,79,3.64,78,2.39,76,1.58,76,2.47,74,1.10,72,2.84
M,378,Arter,4.5,4.5,Nott'm Forest,30,1.08,20,0.78,13,0.54,12,0.50,13,0.49,14,0.59
