Pos,ID,Name,BV,SV,Team,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts
F,237,Greenwood,4.5,4.5,Leeds,4,0.23,5,0.24,5,0.28,5,0.26,4,0.24,5,0.29,5,0.25,7,0.38
G,238,Meslier,4.5,4.5,Leeds,88,3.39,87,3.20,87,3.32,89,3.72,87,3.30,86,3.77,85,3.06,86,3.43
D,239,Firpo,4.5,4.5,Leeds,0,0.00,0,0.00,12,0.41,21,0.94,33,1.12,48,2.31,48,1.23,49,1.91
M,240,Summerville,4.5,4.5,Leeds,1,0.07,2,0.10,1,0.06,2,0.15,2,0.13,2,0.14,3,0.16,3,0.18
M,241,Bate,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,242,Gelhardt,5.5,5.5,Leeds,25,1.39,25,1.27,27,1.38,28,1.66,28,1.51,28,1.69,29,1.33,30,1.68
D,243,Hjelde,4.0,4.0,Leeds,15,0.48,16,0.44,17,0.52,15,0.59,16,0.47,8,0.31,6,0.14,8,0.26
D,244,Kristensen,5.0,5.0,Leeds,79,2.58,78,2.12,76,2.36,72,3.13,73,2.28,69,3.33,68,1.58,71,2.63
M,245,Roca,5.0,5.0,Leeds,71,2.20,67,1.99,68,2.09,66,2.27,65,2.04,67,2.39,66,1.89,66,2.16
M,246,Aaronson,5.5,5.5,Leeds,54,2.23,47,1.85,46,1.90,47,2.23,46,1.95,49,2.43,47,1.75,47,2.11
M,247,Gyabi,4.5,4.5,Leeds,2,0.08,1,0.05,1,0.06,1,0.05,1,0.05,1,0.04,1,0.04,1,0.03
G,248,Schmeichel,5.0,5.0,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,249,Evans,4.5,4.5,Leicester,69,1.55,64,2.54,63,1.26,64,1.91,64,1.94,63,2.23,62,1.20,62,2.78
D,250,Bertrand,4.0,4.0,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01,5,0.13,11,0.52
M,251,Albrighton,5.0,5.0,Leicester,22,0.86,23,1.10,17,0.65,20,0.83,18,0.75,20,0.89,18,0.69,20,0.97
M,252,Mendy,4.5,4.5,Leicester,18,0.60,21,0.78,23,0.75,23,0.80,21,0.73,24,0.84,26,0.83,26,0.94
D,253,Vestergaard,4.0,4.0,Leicester,2,0.06,3,0.13,4,0.11,4,0.16,5,0.18,5,0.19,4,0.11,5,0.22
G,254,Ward,4.0,4.0,Leicester,60,2.17,61,2.59,61,2.18,61,2.38,61,2.40,62,2.55,58,2.06,61,2.76
F,255,Vardy,9.5,9.5,Leicester,70,3.19,67,4.45,63,2.72,60,3.27,59,3.21,60,3.68,64,2.80,61,4.16
D,256,Ricardo,4.5,4.5,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,257,Amartey,4.5,4.5,Leicester,22,0.53,26,1.07,25,0.55,25,0.76,27,0.85,27,0.98,31,0.65,28,1.24
D,258,Castagne,4.5,4.5,Leicester,79,1.88,77,3.23,77,1.61,78,2.42,75,2.37,70,2.58,73,1.50,71,3.28
M,259,Tielemans,6.5,6.5,Leicester,79,2.47,77,3.29,74,2.34,74,2.75,72,2.69,71,2.97,69,2.17,71,3.22
M,260,Pérez,5.0,5.0,Leicester,30,1.40,30,1.78,30,1.32,24,1.26,26,1.32,24,1.36,27,1.21,23,1.40
M,261,Maddison,8.0,8.0,Leicester,71,3.00,69,4.32,68,2.77,68,3.40,68,3.40,66,3.79,67,2.72,70,4.51
F,262,Iheanacho,6.5,6.5,Leicester,46,2.04,45,2.69,42,1.84,39,2.10,37,2.00,40,2.36,36,1.68,36,2.37
M,263,Choudhury,4.5,4.5,Leicester,1,0.08,1,0.10,1,0.10,2,0.15,2,0.12,2,0.15,2,0.12,2,0.15
M,264,Barnes,7.0,7.0,Leicester,2,0.11,17,1.12,38,1.68,49,2.56,53,2.72,51,3.00,49,2.15,52,3.37
M,265,Ndidi,5.0,5.0,Leicester,69,1.83,61,2.01,64,1.67,62,1.79,63,1.82,61,1.87,61,1.57,60,2.06
M,266,Dewsbury-Hall,5.0,5.0,Leicester,76,2.39,71,2.94,69,2.09,66,2.31,68,2.36,67,2.58,67,2.05,64,2.76
D,267,Söyüncü,4.5,4.5,Leicester,30,0.70,34,1.35,32,0.67,33,1.00,34,1.04,33,1.17,34,0.69,36,1.59
D,268,Justin,4.5,4.5,Leicester,65,1.53,65,2.70,64,1.36,60,1.86,61,1.90,61,2.23,60,1.23,58,2.66
M,269,Soumaré,4.5,4.5,Leicester,7,0.29,8,0.35,7,0.29,9,0.35,9,0.37,9,0.37,10,0.37,10,0.42
D,270,Thomas,4.5,4.5,Leicester,26,0.64,27,1.11,28,0.62,29,0.93,30,0.97,34,1.25,30,0.65,28,1.28
F,271,Daka,6.0,6.0,Leicester,25,1.24,25,1.65,22,1.07,23,1.35,24,1.38,24,1.54,23,1.15,25,1.72
D,272,Fofana,4.5,4.5,Leicester,78,1.67,77,2.97,77,1.46,75,2.15,74,2.16,74,2.56,74,1.36,71,3.11
D,273,Brunt,4.0,4.0,Leicester,2,0.07,3,0.15,4,0.13,4,0.16,5,0.18,6,0.24,4,0.11,4,0.17
M,274,Milner,4.5,4.5,Liverpool,15,0.91,15,0.76,15,0.93,15,0.86,15,0.81,13,0.76,16,0.73,18,1.04
M,275,Henderson,5.5,5.5,Liverpool,64,2.80,64,2.29,60,2.76,60,2.54,62,2.48,61,2.68,59,2.04,62,2.68
D,276,Matip,6.0,6.0,Liverpool,75,4.38,71,2.82,63,3.86,63,3.41,59,2.94,59,3.34,61,2.15,60,3.28
M,277,Thiago,5.5,5.5,Liverpool,63,2.75,61,2.24,60,2.77,62,2.62,59,2.39,60,2.63,60,2.10,58,2.54
M,278,Chamberlain,5.0,5.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,279,Firmino,8.0,8.0,Liverpool,47,2.66,27,1.41,25,1.69,22,1.40,21,1.22,19,1.28,19,1.00,25,1.62
D,280,Van Dijk,6.5,6.5,Liverpool,83,4.75,80,3.16,81,4.88,78,4.20,79,3.93,80,4.49,78,2.77,78,4.21
G,281,Alisson,5.5,5.5,Liverpool,88,4.62,88,3.83,87,4.71,86,4.33,87,4.21,88,4.53,89,3.71,88,4.41
M,282,Fabinho,5.5,5.5,Liverpool,76,2.73,78,2.35,76,2.92,75,2.66,72,2.44,70,2.60,68,2.02,68,2.50
M,283,Salah,13.0,13.0,Liverpool,77,7.34,74,5.20,74,7.75,76,7.03,74,6.26,73,7.29,74,4.76,71,6.79
D,284,Robertson,7.0,7.0,Liverpool,84,5.21,82,3.52,79,5.29,79,4.62,77,4.18,78,4.90,76,2.95,79,4.73
D,285,Alexander-Arnold,7.5,7.5,Liverpool,81,6.01,80,3.92,79,6.19,79,5.43,78,4.93,77,5.60,76,3.40,76,5.29
D,286,Gomez,4.5,4.5,Liverpool,14,0.67,12,0.43,11,0.57,13,0.62,12,0.55,13,0.66,12,0.42,13,0.64
M,287,Keita,5.0,5.0,Liverpool,40,2.04,38,1.63,39,2.10,36,1.79,36,1.70,35,1.82,37,1.53,34,1.73
F,288,Diogo Jota,9.0,9.0,Liverpool,1,0.07,18,0.99,24,1.77,40,2.55,47,2.76,46,3.11,49,2.39,46,3.02
G,289,Kelleher,4.0,4.0,Liverpool,2,0.09,2,0.08,3,0.14,3,0.14,2,0.11,2,0.09,1,0.05,2,0.09
D,290,Konaté,5.0,5.0,Liverpool,12,0.61,21,0.80,31,1.77,31,1.60,35,1.66,35,1.86,34,1.16,33,1.70
M,291,Jones,5.0,5.0,Liverpool,0,0.00,3,0.13,7,0.39,9,0.49,13,0.64,21,1.11,20,0.90,20,1.04
D,292,Tsimikas,4.5,4.5,Liverpool,3,0.20,6,0.28,9,0.55,8,0.45,10,0.54,9,0.55,11,0.42,8,0.49
M,293,Luis Díaz,8.0,8.0,Liverpool,71,5.07,67,3.70,67,5.33,64,4.45,62,4.04,63,4.71,61,3.17,63,4.56
M,294,Elliott,5.0,5.0,Liverpool,20,1.29,18,1.01,18,1.20,15,0.96,15,0.90,14,0.91,14,0.74,16,1.01
D,295,N.Williams,4.0,4.0,Nott'm Forest,78,2.75,74,2.45,73,1.90,73,1.13,72,3.57,72,2.26,69,3.10,67,1.89
M,296,Carvalho,5.5,5.5,Liverpool,19,1.16,19,0.94,17,1.09,16,0.92,16,0.90,16,1.00,15,0.72,16,0.95
F,297,Darwin,9.0,9.0,Liverpool,50,3.23,62,3.22,60,4.30,54,3.49,53,3.19,52,3.59,53,2.63,49,3.33
D,298,Ramsay,4.0,4.0,Liverpool,1,0.06,2,0.07,2,0.09,2,0.08,2,0.09,3,0.12,3,0.09,2,0.10
D,299,Walker,5.0,5.0,Man City,73,4.46,71,3.47,70,4.01,69,4.05,67,3.14,63,2.88,64,3.29,63,3.07
M,300,Gündogan,7.5,7.5,Man City,32,2.08,33,1.82,35,2.20,37,2.52,36,1.94,39,2.06,37,2.08,37,2.02
M,301,De Bruyne,12.0,12.0,Man City,74,5.59,72,4.36,70,4.99,70,5.59,70,4.41,69,4.17,68,4.44,67,4.22
D,302,Stones,5.5,5.5,Man City,56,3.51,59,2.98,55,3.23,58,3.55,58,2.83,49,2.34,40,2.19,40,2.07
M,303,Mahrez,8.0,8.0,Man City,60,5.00,58,3.93,52,4.21,56,4.99,55,3.84,54,3.68,54,3.84,54,3.77
M,304,Sterling,10.0,10.0,Chelsea,74,4.04,71,4.40,69,4.70,65,4.04,68,4.58,68,4.34,66,3.34,63,3.70
M,305,Grealish,7.0,7.0,Man City,47,3.25,50,2.77,51,3.30,50,3.58,53,2.98,49,2.71,52,3.04,51,2.95
D,306,Cancelo,7.0,7.0,Man City,79,5.67,75,4.21,76,5.14,75,5.31,72,3.98,74,3.96,75,4.48,73,4.16
G,307,Ederson,5.5,5.5,Man City,88,4.89,87,4.20,86,4.59,85,4.56,86,4.07,86,3.97,86,4.32,85,4.08
D,308,Aké,5.0,5.0,Man City,53,3.57,55,2.98,55,3.52,54,3.58,55,2.95,51,2.63,43,2.52,36,1.97
D,309,Laporte,6.0,6.0,Man City,0,0.00,0,0.00,0,0.00,0,0.00,2,0.08,22,1.10,49,2.75,64,3.42
G,310,Steffen,4.0,4.0,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,311,Bernardo,7.0,7.0,Man City,61,3.40,60,2.80,60,3.19,57,3.31,58,2.73,55,2.56,55,2.69,58,2.75
D,312,Dias,6.0,6.0,Man City,79,5.22,76,4.04,77,4.81,75,4.86,76,3.88,73,3.65,70,3.95,69,3.66
D,313,Zinchenko,5.0,5.0,Arsenal,74,3.54,72,3.68,65,3.48,60,2.85,56,1.85,53,2.74,54,2.26,58,2.20
M,314,Foden,8.0,8.0,Man City,66,4.56,63,3.53,64,4.20,65,4.72,62,3.56,64,3.60,60,3.53,63,3.66
M,315,Rodri,6.0,6.0,Man City,76,3.20,77,2.75,77,3.06,74,3.15,73,2.59,72,2.54,71,2.63,71,2.61
M,316,Palmer,4.5,4.5,Man City,4,0.28,6,0.29,8,0.47,8,0.47,7,0.36,10,0.52,10,0.50,9,0.45
M,317,McAtee,4.5,4.5,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,318,Haaland,11.5,11.5,Man City,76,6.74,74,5.17,74,6.15,71,6.76,70,5.08,68,4.73,70,5.16,70,5.10
F,319,Álvarez,6.5,6.5,Man City,21,1.37,23,1.27,24,1.49,24,1.68,26,1.46,27,1.50,28,1.60,28,1.61
D,320,Mbete,4.0,4.0,Man City,2,0.13,3,0.16,4,0.24,5,0.26,6,0.28,5,0.22,4,0.19,3,0.15
M,321,Lavia,4.5,4.5,Southampton,31,1.16,28,0.94,29,1.00,30,0.97,33,1.10,30,1.09,34,1.09,34,1.20
D,322,Wilson-Esbrand,4.0,4.0,Man City,6,0.35,8,0.41,9,0.51,10,0.58,11,0.54,10,0.45,9,0.46,6,0.29
F,323,Delap,4.5,4.5,Man City,2,0.16,2,0.17,3,0.23,4,0.30,4,0.27,5,0.32,5,0.33,4,0.28
G,324,Ortega,4.0,4.0,Man City,1,0.06,2,0.08,2,0.12,2,0.12,2,0.10,2,0.08,2,0.11,3,0.17
M,325,Phillips,5.0,5.0,Man City,25,1.06,26,0.97,27,1.11,26,1.11,30,1.11,29,1.05,28,1.07,26,1.01
F,326,Ronaldo,10.5,10.5,Man Utd,68,4.44,45,2.44,43,2.86,48,2.96,44,2.64,44,2.69,47,3.61,45,1.88
G,327,De Gea,5.0,5.0,Man Utd,87,3.64,86,3.26,86,3.65,86,3.50,86,3.58,86,3.80,85,3.85,86,3.06
D,328,Jones,4.0,4.0,Man Utd,1,0.03,0,0.01,0,0.02,0,0.01,1,0.02,1,0.02,0,0.02,1,0.02
D,329,Varane,5.0,5.0,Man Utd,24,0.92,20,0.61,18,0.71,17,0.62,19,0.70,19,0.81,18,0.82,23,0.49
D,330,Maguire,5.0,5.0,Man Utd,80,2.96,74,2.04,73,2.83,74,2.54,72,2.58,72,2.91,70,3.19,65,1.18
M,331,Fred,5.5,5.5,Man Utd,68,2.23,67,1.99,67,2.22,66,2.13,65,2.09,66,2.18,65,2.33,64,1.72
D,332,Shaw,5.0,5.0,Man Utd,30,1.30,32,1.05,33,1.48,33,1.33,33,1.35,35,1.62,34,1.74,35,0.80
M,333,Fernandes,10.0,10.0,Man Utd,82,4.41,79,3.59,79,4.54,79,4.26,78,4.09,76,4.13,77,5.11,77,2.75
D,334,Telles,5.0,5.0,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,335,Rashford,6.5,6.5,Man Utd,62,3.36,59,2.69,58,3.24,56,2.99,55,2.86,54,2.90,55,3.53,53,2.07
M,336,Van de Beek,5.5,5.5,Man Utd,24,0.99,23,0.89,22,0.98,23,0.99,28,1.12,23,0.98,25,1.15,24,0.85
D,337,Lindelöf,4.5,4.5,Man Utd,40,1.46,37,1.04,29,1.09,30,1.03,28,1.02,30,1.23,33,1.43,32,0.62
M,338,McTominay,5.0,5.0,Man Utd,70,2.28,69,2.00,70,2.30,67,2.14,66,2.11,67,2.19,67,2.42,67,1.74
D,339,Bailly,4.0,4.0,Man Utd,4,0.10,2,0.05,4,0.13,6,0.17,5,0.16,4,0.13,5,0.18,5,0.11
M,340,Sancho,7.5,7.5,Man Utd,71,3.84,70,3.14,68,3.68,67,3.46,66,3.35,64,3.40,65,4.12,65,2.43
D,341,Wan-Bissaka,4.5,4.5,Man Utd,15,0.56,18,0.52,19,0.73,22,0.78,20,0.73,20,0.82,23,1.05,22,0.48
D,342,Dalot,4.5,4.5,Man Utd,73,2.85,71,2.08,69,2.84,64,2.35,66,2.49,66,2.85,64,3.06,64,1.23
D,343,B.Williams,4.0,4.0,Man Utd,2,0.09,3,0.09,5,0.20,5,0.20,6,0.24,8,0.31,6,0.26,6,0.15
M,344,Elanga,5.0,5.0,Man Utd,38,2.07,39,1.78,36,1.96,37,1.90,38,1.93,39,1.99,37,2.28,37,1.49
F,345,Martial,7.0,7.0,Man Utd,10,0.65,34,1.70,43,2.42,41,2.26,40,2.17,42,2.25,42,2.66,43,1.76
M,346,Andreas,4.5,4.5,Fulham,73,2.86,69,3.07,68,2.28,68,2.92,66,2.18,67,2.40,67,2.77,65,2.69
M,347,Pellistri,4.5,4.5,Man Utd,3,0.27,4,0.26,3,0.26,3,0.27,5,0.36,5,0.35,4,0.33,4,0.26
G,348,Heaton,4.0,4.0,Man Utd,3,0.12,4,0.14,4,0.19,3,0.14,3,0.14,4,0.17,4,0.20,4,0.14
M,349,Shelvey,5.0,5.0,Newcastle,0,0.00,23,0.65,49,1.58,53,1.41,62,2.20,58,1.80,59,2.22,56,1.88
D,350,Ritchie,4.5,4.5,Newcastle,6,0.26,7,0.21,6,0.29,6,0.17,5,0.29,6,0.26,7,0.40,7,0.35
D,351,Fernández,4.5,4.5,Newcastle,3,0.11,4,0.11,6,0.22,7,0.17,6,0.28,6,0.21,7,0.33,9,0.33
D,352,Clark,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,353,Darlow,4.0,4.0,Newcastle,0,0.01,0,0.02,0,0.01,0,0.01,0,0.00,0,0.01,0,0.00,1,0.02
F,354,Wood,6.0,6.0,Newcastle,16,0.91,18,0.84,18,1.00,22,0.98,22,1.33,22,1.20,22,1.45,24,1.40
G,355,Dubravka,4.5,4.5,Newcastle,2,0.10,4,0.13,4,0.15,3,0.12,3,0.16,4,0.16,3,0.14,4,0.16
F,356,Wilson,7.5,7.5,Newcastle,73,3.50,70,2.70,69,3.39,66,2.46,64,3.55,65,3.17,64,3.79,63,3.35
D,357,Trippier,5.0,5.0,Newcastle,75,2.88,74,1.85,74,3.06,71,1.46,71,3.66,71,2.53,70,3.97,70,3.01
D,358,Burn,4.5,4.5,Newcastle,37,1.34,37,0.88,37,1.47,37,0.72,42,2.01,40,1.31,42,2.22,40,1.63
M,359,Fraser,5.5,5.5,Newcastle,52,2.28,49,1.85,48,2.20,49,1.81,48,2.42,47,2.09,48,2.59,49,2.34
D,360,Lascelles,4.5,4.5,Newcastle,7,0.23,7,0.18,10,0.36,12,0.25,12,0.48,16,0.49,13,0.58,14,0.50
F,361,Gayle,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,362,Dummett,4.0,4.0,Newcastle,1,0.03,2,0.03,2,0.04,2,0.03,1,0.05,2,0.05,3,0.10,2,0.07
D,363,Manquillo,4.5,4.5,Newcastle,7,0.24,8,0.25,7,0.28,9,0.24,9,0.39,9,0.31,9,0.42,10,0.41
D,364,Krafth,4.5,4.5,Newcastle,9,0.30,8,0.21,9,0.33,10,0.23,10,0.44,10,0.33,10,0.48,10,0.38
M,365,Murphy,4.5,4.5,Newcastle,17,0.79,19,0.77,18,0.85,19,0.75,17,0.85,21,0.93,22,1.16,22,1.05
D,366,Schär,4.5,4.5,Newcastle,59,2.08,57,1.32,58,2.26,55,1.05,56,2.74,55,1.82,54,2.87,53,2.17
D,367,Targett,5.0,5.0,Newcastle,77,2.66,73,1.67,69,2.63,70,1.29,68,3.20,66,2.11,67,3.49,66,2.60
M,368,Saint-Maximin,6.5,6.5,Newcastle,76,3.26,73,2.60,73,3.23,72,2.47,72,3.61,71,3.05,69,3.74,70,3.35
M,369,Almirón,5.0,5.0,Newcastle,52,2.18,49,1.83,50,2.18,47,1.68,48,2.30,46,1.98,45,2.34,45,2.04
M,370,S.Longstaff,4.5,4.5,Newcastle,25,0.94,24,0.82,17,0.68,17,0.60,17,0.71,17,0.66,17,0.73,17,0.69
M,371,Joelinton,6.0,6.0,Newcastle,72,2.50,69,2.09,65,2.38,64,1.91,61,2.54,63,2.26,62,2.73,59,2.30
D,372,Lewis,4.5,4.5,Newcastle,6,0.21,10,0.27,12,0.45,12,0.30,13,0.56,13,0.43,13,0.63,14,0.54
M,373,Willock,5.0,5.0,Newcastle,61,2.34,53,1.80,45,1.84,45,1.53,44,1.99,44,1.75,45,2.16,47,2.02
M,374,Bruno Guimarães,6.0,6.0,Newcastle,79,2.66,78,2.28,76,2.68,75,2.12,73,2.91,74,2.53,73,3.11,72,2.71
M,375,Hendrick,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,376,Pope,5.0,5.0,Newcastle,88,3.59,86,3.14,86,3.62,86,3.08,86,4.00,86,3.38,87,4.22,86,3.64
D,377,Botman,4.5,4.5,Newcastle,80,2.59,79,1.67,74,2.64,75,1.28,72,3.21,71,2.14,70,3.45,70,2.56
M,378,Arter,4.5,4.5,Nott'm Forest,1,0.05,1,0.05,0,0.02,1,0.03,1,0.06,2,0.10,2,0.08,1,0.06
D,379,Cook,4.5,4.5,Nott'm Forest,52,1.56,48,1.37,46,1.04,42,0.68,44,1.85,43,1.18,45,1.69,47,1.13
F,380,Taylor,4.5,4.5,Nott'm Forest,11,0.61,11,0.56,13,0.60,13,0.50,14,0.81,13,0.67,14,0.78,15,0.71
