Pos,ID,Name,BV,SV,Team,38_xMins,38_Pts
G,1,Leno,4.5,4.5,Arsenal,3,0.12
G,2,Rúnarsson,4.0,4.0,Arsenal,0,0.00
M,3,Willian,6.3,6.3,Arsenal,0,0.00
F,4,Aubameyang,9.6,9.6,Arsenal,0,0.00
D,5,Cédric,4.2,4.2,Arsenal,59,2.78
F,6,Lacazette,8.1,8.1,Arsenal,18,1.26
M,7,Xhaka,4.8,4.8,Arsenal,87,2.84
D,8,Marí,4.2,4.2,Arsenal,0,0.00
D,9,Bellerín,4.8,4.8,Arsenal,0,0.00
D,10,Chambers,4.2,4.2,Aston Villa,73,1.21
D,11,Kolasinac,4.2,4.2,Arsenal,0,0.00
M,12,Elneny,4.4,4.4,Arsenal,86,2.75
M,13,Maitland-Niles,5.2,5.2,Arsenal,0,0.00
D,14,Holding,4.1,4.1,Arsenal,13,0.51
M,15,Partey,5.0,5.0,Arsenal,3,0.10
D,16,Tierney,4.9,4.9,Arsenal,0,0.00
M,17,Pépé,6.9,6.9,Arsenal,11,0.88
M,18,Torreira,4.5,4.5,Arsenal,0,0.00
M,19,Willock,5.4,5.4,Newcastle,0,0.00
F,20,Nketiah,5.7,5.7,Arsenal,80,4.84
M,21,Smith Rowe,5.7,5.7,Arsenal,44,2.71
M,22,Saka,6.7,6.5,Arsenal,84,6.20
D,23,Gabriel,5.3,5.3,Arsenal,87,4.07
D,24,Mavropanos,4.5,4.5,Arsenal,0,0.00
M,25,Guendouzi,4.5,4.5,Arsenal,0,0.00
M,26,Martinelli,5.3,5.3,Arsenal,54,3.30
D,27,Saliba,4.5,4.5,Arsenal,0,0.00
G,28,Steer,3.9,3.9,Aston Villa,0,0.00
M,29,Hourihane,4.9,4.9,Aston Villa,0,0.00
G,30,Martínez,5.5,5.5,Aston Villa,89,3.16
D,31,Engels,4.5,4.5,Aston Villa,0,0.00
M,32,Traoré,5.7,5.7,Aston Villa,12,0.58
M,33,Grealish,7.5,7.5,Man City,39,2.57
M,34,Sanson,5.0,5.0,Aston Villa,5,0.25
M,35,McGinn,5.6,5.6,Aston Villa,84,2.03
D,36,Hause,4.4,4.4,Aston Villa,10,0.18
M,37,Trézéguet,5.4,5.4,Aston Villa,0,0.00
D,38,Mings,5.0,5.0,Aston Villa,88,1.37
D,39,Targett,4.7,4.7,Newcastle,85,2.79
F,40,Watkins,7.5,7.4,Aston Villa,83,2.56
M,41,Nakamba,4.4,4.4,Aston Villa,13,0.50
M,42,El Ghazi,5.6,5.6,Everton,1,0.10
M,43,Buendía,6.1,6.1,Aston Villa,40,1.52
D,44,Cash,5.3,5.3,Aston Villa,87,1.37
D,45,Konsa,4.9,4.9,Aston Villa,17,0.32
D,46,Guilbert,4.5,4.5,Aston Villa,0,0.00
F,47,Wesley,5.4,5.4,Aston Villa,0,0.00
F,48,Samatta,5.5,5.5,Aston Villa,0,0.00
F,49,Davis,4.5,4.5,Aston Villa,0,0.00
M,50,Douglas Luiz,4.3,4.3,Aston Villa,68,1.71
M,51,Ramsey,4.7,4.7,Aston Villa,74,2.08
D,52,Young,4.7,4.7,Aston Villa,9,0.23
M,53,Lallana,5.3,5.3,Brighton,8,0.44
G,54,Steele,3.9,3.9,Brighton,1,0.04
M,55,Groß,5.6,5.6,Brighton,43,2.38
D,56,Duffy,4.0,4.0,Brighton,6,0.21
M,57,Pröpper,4.5,4.5,Brighton,0,0.00
D,58,Burn,4.4,4.4,Newcastle,86,2.88
D,59,Dunk,4.8,4.8,Brighton,86,3.00
M,60,March,5.3,5.3,Brighton,37,1.54
D,61,Webster,4.3,4.3,Brighton,24,0.92
D,62,Veltman,4.2,4.2,Brighton,80,2.58
F,63,Maupay,6.2,6.2,Brighton,33,1.91
M,64,Trossard,5.9,5.9,Brighton,70,3.57
G,65,Ryan,4.5,4.5,Brighton,0,0.00
M,66,Jahanbakhsh,5.5,5.5,Brighton,0,0.00
D,67,White,4.6,4.6,Arsenal,85,3.58
D,68,Bernardo,4.0,4.0,Brighton,0,0.00
G,69,Sánchez,4.5,4.5,Brighton,89,3.58
M,70,Bissouma,4.4,4.4,Brighton,82,2.48
D,71,Lamptey,4.5,4.5,Brighton,79,3.02
F,72,Connolly,5.3,5.3,Brighton,0,0.00
M,73,Alzate,4.8,4.8,Brighton,4,0.26
M,74,Mac Allister,5.1,5.1,Brighton,77,3.79
M,75,Moder,4.5,4.5,Brighton,0,0.00
D,76,Jansson,4.5,4.5,Brentford,86,2.71
M,77,Nørgaard,5.0,5.0,Brentford,86,2.77
F,78,Toney,6.8,6.8,Brentford,87,5.22
M,79,Fosu,5.1,5.1,Brentford,0,0.04
G,80,Raya,4.3,4.3,Brentford,89,3.57
M,81,Canós,5.5,5.5,Brentford,21,1.26
M,82,Dasilva,5.3,5.3,Brentford,9,0.51
D,83,Henry,4.5,4.5,Brentford,79,2.71
M,84,Janelt,4.9,4.9,Brentford,73,2.76
M,85,Ghoddos,5.2,5.2,Brentford,4,0.20
M,86,Jensen,4.9,4.9,Brentford,19,0.96
D,87,Goode,3.9,3.9,Brentford,0,0.00
F,88,Forss,5.3,5.3,Brentford,0,0.00
D,89,Roerslev,4.1,4.1,Brentford,49,1.69
D,90,Sørensen,4.3,4.3,Brentford,44,1.48
D,91,Pinnock,4.4,4.4,Brentford,42,1.47
G,92,Balcombe,4.0,4.0,Brentford,0,0.00
M,93,Zamburek,4.4,4.4,Brentford,0,0.00
G,94,Gunnarsson,3.9,3.9,Brentford,0,0.00
F,95,Dervişoğlu,5.4,5.4,Brentford,0,0.00
M,96,Mbeumo,5.2,5.2,Brentford,83,4.32
M,97,Bidstrup,4.4,4.4,Brentford,0,0.00
D,98,Tarkowski,4.9,4.9,Burnley,42,1.50
D,99,Bardsley,3.9,3.9,Burnley,2,0.06
D,100,Pieters,4.1,4.1,Burnley,17,0.70
M,101,Cork,4.4,4.4,Burnley,78,2.40
M,102,Stephens,4.4,4.4,Burnley,14,0.58
D,103,Long,4.0,4.0,Burnley,44,1.63
F,104,Rodriguez,5.1,5.1,Burnley,32,1.73
F,105,Barnes,5.2,5.2,Burnley,33,1.88
D,106,Mee,4.6,4.6,Burnley,8,0.35
M,107,Westwood,5.2,5.2,Burnley,0,0.00
M,108,Gudmundsson,5.4,5.4,Burnley,0,0.00
F,109,Wood,6.3,6.3,Newcastle,19,1.07
D,110,Lowton,4.4,4.4,Burnley,12,0.43
F,111,Vydra,5.2,5.2,Burnley,0,0.00
G,112,Pope,5.3,5.3,Burnley,88,3.75
D,113,Taylor,4.4,4.4,Burnley,84,2.99
G,114,Norris,4.3,4.3,Burnley,0,0.00
M,115,Brownhill,4.3,4.3,Burnley,88,3.09
M,116,Benson,4.5,4.5,Burnley,0,0.00
G,117,Peacock-Farrell,4.5,4.5,Burnley,0,0.00
M,118,McNeil,5.5,5.5,Burnley,84,3.55
D,119,Azpilicueta,5.6,5.6,Chelsea,60,3.68
F,120,Giroud,6.5,6.5,Chelsea,0,0.00
D,121,Thiago Silva,5.6,5.6,Chelsea,78,4.40
D,122,Alonso,5.7,5.6,Chelsea,80,6.50
M,123,Jorginho,5.7,5.7,Chelsea,35,1.89
M,124,Barkley,5.2,5.2,Chelsea,1,0.11
M,125,Kovacic,4.9,4.9,Chelsea,67,3.01
F,126,Batshuayi,5.5,5.5,Chelsea,0,0.00
D,127,Rüdiger,6.1,6.1,Chelsea,85,5.16
D,128,Zouma,5.4,5.4,West Ham,83,2.65
G,129,Arrizabalaga,4.5,4.5,Chelsea,0,0.01
M,130,Kanté,4.9,4.9,Chelsea,71,2.99
M,131,Ziyech,7.3,7.3,Chelsea,16,1.28
M,132,Loftus-Cheek,5.4,5.4,Chelsea,14,0.74
D,133,Christensen,4.6,4.6,Chelsea,17,0.93
F,134,Werner,8.6,8.6,Chelsea,20,1.55
D,135,Chilwell,5.6,5.6,Chelsea,0,0.00
F,136,Abraham,6.5,6.5,Chelsea,0,0.00
M,137,Pulisic,7.9,7.9,Chelsea,62,4.21
M,138,Mount,7.7,7.6,Chelsea,83,5.64
D,139,Ampadu,4.5,4.5,Chelsea,0,0.00
M,140,Hudson-Odoi,5.3,5.3,Chelsea,3,0.23
M,141,Havertz,7.9,7.9,Chelsea,27,2.17
D,142,James,6.4,6.3,Chelsea,82,6.27
G,143,Mendy,6.1,6.1,Chelsea,90,4.59
M,144,Gallagher,6.0,6.0,Crystal Palace,80,3.08
M,145,Gilmour,4.3,4.3,Norwich,51,1.42
G,146,Guaita,4.6,4.6,Crystal Palace,72,2.77
D,147,Tomkins,4.3,4.3,Crystal Palace,14,0.45
M,148,McArthur,4.3,4.3,Crystal Palace,13,0.50
F,149,Benteke,5.9,5.9,Crystal Palace,9,0.56
D,150,Kouyaté,4.5,4.5,Crystal Palace,28,0.99
D,151,Kelly,3.8,3.8,Crystal Palace,3,0.09
M,152,Milivojevic,5.2,5.2,Crystal Palace,3,0.14
F,153,Ayew,5.8,5.8,Crystal Palace,66,2.59
M,154,Zaha,6.9,6.9,Crystal Palace,84,4.40
M,155,Schlupp,5.4,5.4,Crystal Palace,37,1.50
G,156,Butland,4.4,4.4,Crystal Palace,18,0.68
M,157,Riedewald,4.7,4.7,Crystal Palace,2,0.10
D,158,Jach,4.2,4.2,Crystal Palace,0,0.00
F,159,Mateta,5.3,5.3,Crystal Palace,50,2.77
M,160,Eze,5.9,5.9,Crystal Palace,69,3.05
D,161,Ferguson,4.5,4.5,Crystal Palace,0,0.00
D,162,Mitchell,4.5,4.5,Crystal Palace,82,2.36
M,163,Delph,4.2,4.2,Everton,4,0.15
M,164,Sigurdsson,6.7,6.7,Everton,0,0.00
D,165,Coleman,4.9,4.9,Everton,80,1.78
M,166,James,6.9,6.9,Everton,0,0.00
M,167,Bernard,5.5,5.5,Everton,0,0.00
D,168,Digne,5.0,5.0,Aston Villa,83,1.36
D,169,Keane,4.6,4.6,Everton,77,1.79
G,170,Pickford,4.8,4.8,Everton,89,3.23
M,171,Allan,4.3,4.3,Everton,80,2.10
M,172,André Gomes,4.9,4.9,Everton,1,0.04
M,173,Doucouré,5.3,5.3,Everton,81,2.47
M,174,Iwobi,5.8,5.8,Everton,72,2.35
D,175,Mina,4.9,4.9,Everton,13,0.40
M,176,Davies,4.8,4.8,Everton,7,0.28
F,177,Calvert-Lewin,7.7,7.7,Everton,64,2.54
D,178,Holgate,4.2,4.2,Everton,85,1.61
D,179,Godfrey,4.7,4.7,Everton,9,0.20
F,180,Richarlison,7.6,7.5,Everton,82,3.37
G,181,Virgínia,4.0,4.0,Everton,0,0.00
M,182,Hernández,5.5,5.5,Leeds,0,0.00
G,183,Casilla,4.5,4.5,Leeds,0,0.00
D,184,Cooper,4.4,4.4,Leeds,86,2.37
D,185,Ayling,4.3,4.3,Leeds,0,0.00
M,186,Klich,5.1,5.1,Leeds,62,2.37
F,187,Rodrigo,6.3,6.3,Leeds,60,2.89
M,188,Dallas,4.9,4.9,Leeds,0,0.00
F,189,Bamford,7.7,7.7,Leeds,38,2.33
D,190,Llorente,4.5,4.5,Leeds,86,2.41
M,191,Phillips,4.7,4.7,Leeds,86,2.28
M,192,Costa,5.4,5.4,Leeds,0,0.00
M,193,Roberts,4.8,4.8,Leeds,0,0.00
D,194,Koch,4.3,4.3,Leeds,59,1.81
M,195,Poveda,4.5,4.5,Leeds,0,0.00
M,196,Raphinha,6.3,6.3,Leeds,86,5.26
M,197,Shackleton,4.4,4.4,Leeds,49,1.62
D,198,Struijk,4.3,4.3,Leeds,53,1.61
G,199,Meslier,4.8,4.8,Leeds,90,3.39
G,200,Schmeichel,5.0,4.9,Leicester,87,3.51
D,201,Evans,5.4,5.4,Leicester,69,2.48
M,202,Albrighton,5.2,5.2,Leicester,23,1.03
M,203,Mendy,4.3,4.3,Leicester,29,1.07
G,204,Ward,4.0,4.0,Leicester,1,0.02
F,205,Vardy,10.3,10.3,Leicester,79,5.47
M,206,Praet,4.9,4.9,Leicester,0,0.00
D,207,Pereira,5.2,5.2,Leicester,16,0.72
D,208,Amartey,4.0,4.0,Leicester,40,1.40
D,209,Castagne,5.3,5.3,Leicester,78,2.89
M,210,Tielemans,6.4,6.4,Leicester,82,3.42
M,211,Pérez,5.7,5.7,Leicester,20,1.26
M,212,Maddison,6.9,6.9,Leicester,79,4.84
F,213,Iheanacho,7.0,7.0,Leicester,33,2.33
M,214,Choudhury,4.4,4.4,Leicester,2,0.14
M,215,Barnes,6.5,6.5,Leicester,60,3.85
M,216,Ndidi,4.8,4.8,Leicester,0,0.00
D,217,Söyüncü,4.9,4.9,Leicester,27,0.95
D,218,Justin,4.9,4.9,Leicester,40,1.49
D,219,Thomas,4.3,4.3,Leicester,27,1.01
D,220,Fofana,4.3,4.3,Leicester,73,2.49
M,221,Milner,4.9,4.9,Liverpool,29,1.69
M,222,Henderson,4.9,4.9,Liverpool,72,3.23
G,223,Adrián,4.3,4.3,Liverpool,0,0.00
D,224,Matip,5.2,5.2,Liverpool,79,4.67
M,225,Thiago,5.3,5.3,Liverpool,69,3.01
M,226,Shaqiri,5.9,5.9,Liverpool,0,0.00
M,227,Chamberlain,5.8,5.8,Liverpool,4,0.34
F,228,Firmino,8.7,8.7,Liverpool,28,1.76
D,229,van Dijk,6.8,6.8,Liverpool,39,2.29
M,230,Mané,11.8,11.8,Liverpool,81,6.91
G,231,Alisson,6.1,6.1,Liverpool,89,4.71
M,232,Fabinho,5.4,5.4,Liverpool,14,0.64
M,233,Salah,13.1,13.1,Liverpool,38,3.66
D,234,Robertson,7.3,7.3,Liverpool,83,5.50
F,235,Origi,4.8,4.8,Liverpool,11,0.79
M,236,Minamino,5.1,5.1,Liverpool,8,0.54
D,237,Alexander-Arnold,8.4,8.4,Liverpool,84,6.33
D,238,Gomez,4.7,4.7,Liverpool,14,0.71
M,239,Keita,5.0,5.0,Liverpool,51,2.59
M,240,Jota,8.3,8.3,Liverpool,71,5.44
D,241,Phillips,4.2,4.2,Liverpool,0,0.00
G,242,Kelleher,4.3,4.3,Liverpool,1,0.03
D,243,Konaté,5.1,5.1,Liverpool,59,3.21
M,244,Jones,5.0,5.0,Liverpool,25,1.35
D,245,Tsimikas,3.7,3.7,Liverpool,10,0.60
D,246,N.Williams,3.8,3.8,Liverpool,0,0.00
D,247,R.Williams,4.4,4.4,Liverpool,0,0.00
