Pos,ID,Name,BV,SV,Team,15_xMins,15_Pts,16_xMins,16_Pts
M,160,Zaha,7.6,7.4,Crystal Palace,87,3.90,82,4.42
M,161,Schlupp,4.8,4.8,Crystal Palace,64,2.08,61,2.26
G,162,Butland,4.4,4.4,Crystal Palace,0,0.00,0,0.00
M,163,Hughes,4.8,4.8,Crystal Palace,15,0.64,13,0.60
M,164,Riedewald,4.4,4.4,Crystal Palace,6,0.24,6,0.21
D,165,Andersen,4.5,4.5,Crystal Palace,86,2.35,82,3.10
F,166,Edouard,5.4,5.4,Crystal Palace,46,2.13,64,3.35
D,167,Guéhi,4.4,4.4,Crystal Palace,87,2.31,72,2.67
F,168,Mateta,5.2,5.2,Crystal Palace,35,1.82,26,1.59
M,169,Eze,5.7,5.7,Crystal Palace,73,2.94,71,3.33
D,170,Mitchell,4.5,4.5,Crystal Palace,75,2.21,71,2.78
M,171,Olise,5.4,5.4,Crystal Palace,52,2.20,50,2.43
M,172,Rak-Sakyi,4.5,4.5,Crystal Palace,0,0.00,0,0.00
M,173,Ebiowei,4.3,4.3,Crystal Palace,9,0.41,9,0.44
D,174,Ferguson,3.9,3.9,Crystal Palace,3,0.07,9,0.30
G,175,Johnstone,4.4,4.4,Crystal Palace,2,0.08,4,0.13
G,176,Begović,4.0,4.0,Everton,0,0.00,2,0.09
F,177,Rondón,5.0,5.0,Everton,3,0.18,3,0.25
D,178,Coleman,4.5,4.5,Everton,33,1.37,23,0.94
M,179,Townsend,5.4,5.4,Everton,0,0.00,0,0.00
D,180,Keane,4.2,4.2,Everton,5,0.22,8,0.29
M,181,Dele,5.3,5.3,Everton,0,0.00,0,0.00
G,182,Pickford,4.5,4.5,Everton,90,3.87,88,3.80
M,183,Allan,4.8,4.8,Everton,0,0.00,0,0.00
M,184,André Gomes,4.5,4.5,Everton,0,0.00,0,0.00
M,185,A.Doucouré,5.3,5.3,Everton,7,0.28,10,0.44
M,186,Iwobi,5.6,5.6,Everton,81,3.18,77,2.91
M,187,Gbamin,4.5,4.5,Everton,0,0.00,0,0.00
D,188,Mina,4.3,4.3,Everton,0,0.00,5,0.21
M,189,Gray,5.4,5.4,Everton,63,3.37,60,2.96
M,190,Davies,4.9,4.9,Everton,7,0.30,13,0.54
F,191,Calvert-Lewin,7.9,7.9,Everton,75,4.15,74,3.77
D,192,Holgate,4.3,4.3,Everton,31,1.12,29,1.01
D,193,Godfrey,4.3,4.3,Everton,0,0.00,0,0.00
D,194,Mykolenko,4.5,4.5,Everton,81,3.22,77,3.00
M,195,Gordon,5.4,5.4,Everton,70,3.31,73,3.20
D,196,Branthwaite,4.0,4.0,Everton,0,0.00,0,0.00
D,197,Patterson,4.0,4.0,Everton,57,2.12,67,2.53
D,198,Nkounkou,4.0,4.0,Everton,0,0.00,0,0.00
D,199,Tarkowski,4.4,4.4,Everton,81,3.00,79,2.94
M,200,Cairney,4.7,4.7,Fulham,18,0.71,25,1.07
D,201,Ream,4.5,4.5,Fulham,86,1.20,85,1.83
M,202,Knockaert,4.7,4.7,Fulham,0,0.00,0,0.00
M,203,Chalobah,4.4,4.4,Fulham,5,0.27,12,0.51
M,204,Kebano,5.4,5.4,Fulham,53,1.92,41,1.93
M,205,De Cordova-Reid,5.5,5.5,Fulham,0,0.00,63,2.26
D,206,Bryan,4.4,4.4,Fulham,0,0.00,0,0.00
G,207,Gazzaniga,4.0,4.0,Fulham,0,0.00,0,0.00
D,208,Kongolo,3.9,3.9,Fulham,0,0.00,0,0.00
D,209,Tosin,4.5,4.5,Fulham,28,0.44,28,0.70
F,210,Mitrović,6.9,6.9,Fulham,85,3.15,65,3.44
M,211,Reed,4.5,4.5,Fulham,72,1.80,56,1.73
M,212,Wilson,5.7,5.7,Fulham,36,1.38,38,1.87
G,213,Rodák,4.4,4.4,Fulham,3,0.11,2,0.07
M,214,Cavaleiro,4.8,4.8,Fulham,0,0.00,0,0.00
D,215,Tete,4.4,4.4,Fulham,66,1.03,51,1.31
M,216,Onomah,4.3,4.3,Fulham,0,0.00,0,0.00
D,217,Robinson,4.4,4.4,Fulham,85,1.21,82,1.90
F,218,Muniz,5.4,5.4,Fulham,0,0.00,0,0.00
F,219,Stansfield,4.5,4.5,Fulham,0,0.00,0,0.00
M,220,Palhinha,5.0,5.0,Fulham,86,1.98,82,2.30
D,221,Cooper,4.4,4.4,Leeds,85,3.38,80,1.50
D,222,Ayling,4.5,4.5,Leeds,28,1.23,32,0.72
M,223,Klich,4.7,4.7,Leeds,23,1.32,26,1.15
M,224,Forshaw,4.4,4.4,Leeds,0,0.00,2,0.04
M,225,Rodrigo,6.3,6.3,Leeds,51,3.86,49,2.54
D,226,Dallas,4.9,4.9,Leeds,0,0.00,0,0.00
F,227,Bamford,7.2,7.2,Leeds,58,4.25,53,2.65
D,228,Llorente,4.4,4.4,Leeds,13,0.50,19,0.40
M,229,Roberts,5.0,5.0,Leeds,0,0.00,0,0.00
D,230,Koch,4.5,4.5,Leeds,82,3.30,79,1.54
M,231,James,6.0,6.0,Fulham,24,1.02,20,1.04
M,232,Raphinha,7.0,7.0,Leeds,0,0.00,0,0.00
M,233,Harrison,5.9,5.9,Leeds,73,3.98,69,2.71
M,234,Shackleton,4.5,4.5,Leeds,0,0.00,0,0.00
D,235,Struijk,4.5,4.5,Leeds,62,2.62,58,1.19
G,236,Klaesson,3.9,3.9,Leeds,1,0.00,2,0.07
F,237,Greenwood,4.2,4.2,Leeds,5,0.30,8,0.34
G,238,Meslier,4.5,4.5,Leeds,89,3.79,88,3.09
D,239,Firpo,4.5,4.5,Leeds,26,1.19,31,0.81
M,240,Summerville,4.4,4.4,Leeds,26,1.42,22,0.92
M,241,Bate,4.5,4.5,Leeds,0,0.00,0,0.00
F,242,Gelhardt,5.1,5.1,Leeds,6,0.48,6,0.39
D,243,Hjelde,3.9,3.9,Leeds,1,0.00,2,0.03
D,244,Kristensen,4.8,4.8,Leeds,66,2.83,63,1.29
M,245,Roca,4.9,4.9,Leeds,68,2.71,64,2.05
M,246,Aaronson,5.5,5.5,Leeds,80,3.83,79,2.71
M,247,Gyabi,4.3,4.3,Leeds,0,0.00,0,0.00
G,248,Schmeichel,5.0,5.0,Leicester,0,0.00,0,0.00
D,249,Evans,4.4,4.4,Leicester,40,1.20,80,2.07
D,250,Bertrand,3.9,3.9,Leicester,0,0.00,0,0.00
M,251,Albrighton,4.7,4.7,Leicester,6,0.25,7,0.29
M,252,Mendy,4.3,4.3,Leicester,10,0.34,8,0.30
D,253,Vestergaard,3.9,3.9,Leicester,1,0.04,0,0.00
G,254,Ward,4.1,4.0,Leicester,89,3.48,87,3.22
F,255,Vardy,9.1,9.1,Leicester,53,2.90,49,2.59
D,256,Ricardo,4.3,4.3,Leicester,0,0.00,0,0.00
D,257,Amartey,4.3,4.3,Leicester,56,1.70,27,0.78
D,258,Castagne,4.6,4.6,Leicester,77,2.62,74,2.20
M,259,Tielemans,6.3,6.3,Leicester,82,3.06,76,2.76
M,260,Pérez,4.7,4.7,Leicester,9,0.54,12,0.64
M,261,Maddison,8.2,8.2,Leicester,83,3.86,80,3.47
F,262,Iheanacho,6.1,6.1,Leicester,17,0.94,21,1.09
M,263,Choudhury,4.5,4.5,Leicester,0,0.00,0,0.00
M,264,Barnes,6.9,6.9,Leicester,74,3.46,71,3.10
M,265,Ndidi,4.8,4.8,Leicester,64,1.86,74,2.00
M,266,Dewsbury-Hall,5.0,5.0,Leicester,63,2.22,60,2.06
D,267,Söyüncü,4.2,4.2,Leicester,6,0.21,3,0.11
D,268,Justin,4.3,4.3,Leicester,84,2.71,79,2.22
M,269,Soumaré,4.4,4.4,Leicester,28,1.08,26,0.99
D,270,Thomas,4.3,4.3,Leicester,14,0.43,19,0.55
F,271,Daka,5.7,5.7,Leicester,45,2.36,45,2.22
D,272,Fofana,4.3,4.3,Chelsea,0,0.00,0,0.00
D,273,Brunt,3.9,3.9,Leicester,0,0.00,0,0.00
M,274,Milner,4.4,4.4,Liverpool,10,0.51,13,0.74
M,275,Henderson,5.3,5.3,Liverpool,58,2.12,51,2.33
D,276,Matip,5.9,5.9,Liverpool,4,0.14,31,1.54
M,277,Thiago,5.2,5.2,Liverpool,60,2.11,54,2.37
M,278,Chamberlain,4.9,4.9,Liverpool,4,0.22,7,0.46
F,279,Firmino,8.1,8.1,Liverpool,63,3.19,62,4.04
D,280,Van Dijk,6.5,6.5,Liverpool,86,2.75,83,4.20
G,281,Alisson,5.4,5.4,Liverpool,89,3.54,89,4.21
M,282,Fabinho,5.3,5.3,Liverpool,70,2.05,68,2.41
M,283,Salah,12.8,12.7,Liverpool,86,5.72,81,7.93
D,284,Robertson,6.7,6.7,Liverpool,79,2.92,75,4.48
D,285,Alexander-Arnold,7.2,7.2,Liverpool,85,3.64,77,5.36
D,286,Gomez,4.6,4.6,Liverpool,38,1.14,24,1.12
M,287,Keita,4.7,4.7,Liverpool,1,0.00,8,0.40
F,288,Diogo Jota,8.9,8.9,Liverpool,0,0.00,0,0.00
G,289,Kelleher,4.0,4.0,Liverpool,1,0.00,1,0.05
D,290,Konaté,4.8,4.8,Liverpool,52,1.54,49,2.33
M,291,Jones,4.9,4.9,Liverpool,11,0.56,18,1.05
D,292,Tsimikas,4.5,4.5,Liverpool,12,0.49,15,0.84
M,293,Luis Díaz,7.8,7.8,Liverpool,0,0.00,0,0.00
M,294,Elliott,5.0,5.0,Liverpool,49,2.23,51,3.08
D,295,N.Williams,4.1,4.1,Nott'm Forest,52,2.02,52,2.07
M,296,Carvalho,5.4,5.4,Liverpool,54,2.78,53,3.75
F,297,Darwin,8.9,8.8,Liverpool,73,4.18,70,5.55
D,298,Ramsay,3.9,3.9,Liverpool,0,0.00,0,0.00
D,299,Walker,4.9,4.9,Man City,0,0.00,8,0.37
M,300,Gündogan,7.3,7.3,Man City,47,3.14,45,2.69
M,301,De Bruyne,12.4,12.4,Man City,79,6.92,78,6.29
D,302,Stones,5.4,5.4,Man City,58,3.21,56,3.02
M,303,Mahrez,7.5,7.5,Man City,46,4.10,43,3.65
M,304,Sterling,9.7,9.7,Chelsea,74,3.76,66,3.23
M,305,Grealish,6.8,6.8,Man City,60,4.13,58,3.77
D,306,Cancelo,7.4,7.4,Man City,75,4.99,73,4.65
G,307,Ederson,5.4,5.4,Man City,89,4.42,88,4.29
D,308,Aké,5.0,5.0,Man City,37,2.15,38,2.18
D,309,Laporte,5.8,5.8,Man City,61,3.44,59,3.29
G,310,Steffen,4.0,4.0,Man City,0,0.00,0,0.00
M,311,Bernardo,6.9,6.9,Man City,65,3.63,61,3.27
D,312,Dias,5.9,5.9,Man City,62,3.41,61,3.28
D,313,Zinchenko,5.0,5.0,Arsenal,11,0.40,35,1.72
M,314,Foden,8.5,8.5,Man City,63,5.31,65,5.23
M,315,Rodri,5.7,5.7,Man City,77,3.12,78,3.04
M,316,Palmer,4.3,4.3,Man City,18,1.31,12,0.84
M,317,McAtee,4.5,4.5,Man City,0,0.00,0,0.00
F,318,Haaland,12.2,11.8,Man City,37,4.01,67,7.02
F,319,Álvarez,6.0,6.0,Man City,47,3.64,30,2.22
D,320,Mbete,3.9,3.9,Man City,0,0.00,0,0.00
M,321,Lavia,4.5,4.5,Southampton,24,0.77,66,1.67
D,322,Wilson-Esbrand,3.8,3.8,Man City,1,0.04,0,0.00
F,323,Delap,4.4,4.4,Man City,0,0.00,0,0.00
G,324,Ortega,3.8,3.8,Man City,1,0.00,2,0.10
M,325,Phillips,4.8,4.8,Man City,0,0.00,2,0.08
F,326,Ronaldo,10.2,10.2,Man Utd,64,4.04,44,3.09
G,327,De Gea,4.9,4.9,Man Utd,83,3.39,83,3.39
D,328,Jones,3.9,3.9,Man Utd,2,0.04,2,0.04
D,329,Varane,4.8,4.8,Man Utd,0,0.00,0,0.00
D,330,Maguire,4.7,4.7,Man Utd,50,1.78,73,2.74
M,331,Fred,5.1,5.1,Man Utd,24,1.02,28,1.16
D,332,Shaw,4.7,4.7,Man Utd,75,2.98,73,3.03
M,333,Fernandes,9.8,9.8,Man Utd,66,3.38,63,3.61
D,334,Telles,5.0,5.0,Man Utd,0,0.00,0,0.00
M,335,Rashford,6.6,6.6,Man Utd,73,4.19,66,4.24
M,336,Van de Beek,5.1,5.1,Man Utd,4,0.19,8,0.37
D,337,Lindelöf,4.3,4.3,Man Utd,39,1.39,22,0.81
M,338,McTominay,4.9,4.9,Man Utd,31,1.10,30,1.11
D,339,Bailly,4.0,4.0,Man Utd,0,0.00,0,0.00
M,340,Sancho,7.2,7.2,Man Utd,54,3.10,42,2.68
D,341,Wan-Bissaka,4.3,4.3,Man Utd,12,0.44,20,0.76
D,342,Dalot,4.7,4.7,Man Utd,68,2.57,66,2.59
D,343,B.Williams,3.9,3.9,Man Utd,0,0.00,1,0.03
M,344,Elanga,4.7,4.7,Man Utd,27,1.61,14,0.93
F,345,Martial,6.7,6.7,Man Utd,7,0.39,27,1.71
M,346,Andreas,4.6,4.5,Fulham,82,2.33,78,2.90
M,347,Pellistri,4.4,4.4,Man Utd,2,0.17,1,0.00
G,348,Heaton,3.9,3.9,Man Utd,0,0.00,0,0.00
M,349,Shelvey,4.8,4.8,Newcastle,30,1.22,25,0.93
D,350,Ritchie,4.3,4.3,Newcastle,0,0.00,0,0.00
D,351,Fernández,4.4,4.4,Newcastle,0,0.00,0,0.00
D,352,Clark,4.5,4.5,Newcastle,0,0.00,0,0.00
G,353,Darlow,3.9,3.9,Newcastle,0,0.00,0,0.00
F,354,Wood,5.6,5.6,Newcastle,8,0.53,11,0.62
G,355,Dubravka,4.2,4.2,Man Utd,7,0.29,7,0.25
F,356,Wilson,7.4,7.4,Newcastle,82,4.94,79,4.40
D,357,Trippier,5.8,5.5,Newcastle,85,4.08,82,3.40
D,358,Burn,4.5,4.5,Newcastle,83,3.37,80,2.83
M,359,Fraser,5.2,5.2,Newcastle,30,1.64,17,0.91
D,360,Lascelles,4.3,4.3,Newcastle,18,0.69,16,0.51
F,361,Gayle,4.5,4.5,Newcastle,0,0.00,0,0.00
D,362,Dummett,3.9,3.9,Newcastle,0,0.00,0,0.00
D,363,Manquillo,4.2,4.2,Newcastle,4,0.11,8,0.26
D,364,Krafth,4.3,4.3,Newcastle,0,0.00,0,0.00
M,365,Murphy,4.3,4.3,Newcastle,36,1.85,24,1.25
D,366,Schär,4.9,4.9,Newcastle,65,2.75,63,2.28
D,367,Targett,4.9,4.9,Newcastle,23,1.00,29,1.09
M,368,Saint-Maximin,6.2,6.2,Newcastle,56,3.02,73,3.56
M,369,Almirón,5.6,5.6,Newcastle,78,3.77,76,3.40
M,370,S.Longstaff,4.4,4.4,Newcastle,73,2.48,55,1.83
M,371,Joelinton,5.9,5.9,Newcastle,0,0.00,63,2.41
D,372,Lewis,4.4,4.4,Newcastle,3,0.12,5,0.14
M,373,Willock,4.9,4.9,Newcastle,61,2.81,41,1.80
M,374,Bruno Guimarães,5.7,5.7,Newcastle,81,3.24,74,2.75
M,375,Hendrick,4.5,4.5,Newcastle,0,0.00,0,0.00
G,376,Pope,5.3,5.2,Newcastle,89,3.90,88,3.64
D,377,Botman,4.4,4.4,Newcastle,78,3.22,78,2.77
M,378,Arter,4.3,4.3,Nott'm Forest,0,0.00,0,0.00
D,379,Cook,4.4,4.4,Nott'm Forest,73,2.36,70,2.45
F,380,Taylor,4.3,4.3,Nott'm Forest,0,0.00,0,0.00
M,381,Colback,4.3,4.3,Nott'm Forest,1,0.00,4,0.15
G,382,Samba,4.5,4.5,Nott'm Forest,0,0.00,0,0.00
M,383,Cafú,4.3,4.3,Nott'm Forest,1,0.04,1,0.04
M,384,Lolley,4.9,4.9,Nott'm Forest,0,0.00,0,0.00
D,385,McKenna,4.4,4.4,Nott'm Forest,70,2.15,71,2.31
D,386,Dräger,4.0,4.0,Nott'm Forest,0,0.00,0,0.00
M,387,Yates,5.0,5.0,Nott'm Forest,79,2.63,75,2.44
D,388,Worrall,4.3,4.3,Nott'm Forest,31,1.00,32,1.06
D,389,Panzo,4.0,4.0,Nott'm Forest,0,0.00,0,0.00
M,390,Xande Silva,5.0,5.0,Nott'm Forest,0,0.00,0,0.00
F,391,Surridge,4.7,4.7,Nott'm Forest,3,0.18,4,0.25
D,392,Laryea,4.5,4.5,Nott'm Forest,0,0.00,0,0.00
D,393,Mbe Soh,4.2,4.2,Nott'm Forest,0,0.00,0,0.00
F,394,Johnson,5.7,5.7,Nott'm Forest,67,3.13,62,2.79
M,395,Mighten,4.9,4.9,Nott'm Forest,0,0.00,0,0.00
M,396,Ojeda,4.5,4.5,Nott'm Forest,0,0.00,0,0.00
F,397,Awoniyi,5.7,5.7,Nott'm Forest,50,2.94,48,2.74
G,398,Henderson,4.7,4.7,Nott'm Forest,88,3.59,86,3.62
D,399,Biancone,4.2,4.2,Nott'm Forest,4,0.15,4,0.15
M,400,Walcott,4.9,4.9,Southampton,7,0.39,6,0.36
G,401,McCarthy,4.3,4.3,Southampton,2,0.08,3,0.11
M,402,Romeu,4.8,4.8,Southampton,0,0.00,0,0.00
M,403,Redmond,5.3,5.3,Southampton,0,0.00,0,0.00
D,404,Stephens,4.3,4.3,Bournemouth,11,0.29,21,0.75
M,405,S.Armstrong,4.8,4.8,Southampton,51,2.01,58,1.97
M,406,Elyounoussi,5.2,5.2,Southampton,59,2.51,57,2.12
M,407,Ward-Prowse,6.3,6.3,Southampton,86,3.29,86,2.68
F,408,A.Armstrong,5.5,5.5,Southampton,63,2.94,56,2.31
D,409,Walker-Peters,4.4,4.4,Southampton,0,0.00,0,0.00
D,410,Bednarek,4.3,4.3,Aston Villa,6,0.18,13,0.36
F,411,Adams,6.4,6.4,Southampton,78,3.39,75,2.70
M,412,Tella,5.0,5.0,Southampton,0,0.00,0,0.00
D,413,Lyanco,4.4,4.4,Southampton,76,2.00,67,1.07
D,414,Valery,4.0,4.0,Southampton,0,0.00,0,0.00
M,415,Smallbone,4.5,4.5,Southampton,0,0.00,0,0.00
M,416,Diallo,4.3,4.3,Southampton,46,1.54,24,0.89
D,417,Perraud,4.4,4.4,Southampton,78,2.55,75,1.31
M,418,Djenepo,5.0,5.0,Southampton,22,0.96,24,0.94
D,419,Livramento,4.4,4.4,Southampton,0,0.00,0,0.00
D,420,Salisu,4.4,4.4,Southampton,86,2.27,82,1.25
G,421,Lis,4.0,4.0,Southampton,0,0.00,0,0.00
G,422,Bazunu,4.5,4.5,Southampton,88,3.27,86,3.03
D,423,Bella-Kotchap,4.5,4.5,Southampton,6,0.19,28,0.48
G,424,Caballero,3.9,3.9,Southampton,0,0.00,1,0.00
G,425,Lloris,5.5,5.5,Spurs,89,3.33,88,3.75
G,426,Forster,3.9,3.9,Spurs,1,0.04,2,0.09
F,427,Kane,11.6,11.6,Spurs,86,5.27,70,5.70
M,428,Son,11.7,11.7,Spurs,83,4.85,74,6.00
D,429,Doherty,4.6,4.6,Spurs,56,1.98,52,2.88
D,430,Dier,5.3,5.3,Spurs,85,2.28,81,3.42
M,431,Lucas Moura,5.8,5.8,Spurs,26,1.44,26,1.84
D,432,Davies,4.9,4.9,Spurs,41,1.19,43,1.88
M,433,Højbjerg,5.5,5.5,Spurs,85,2.60,80,3.00
M,434,Winks,4.4,4.4,Spurs,0,0.00,0,0.00
D,435,Sánchez,4.4,4.4,Spurs,13,0.40,16,0.72
D,436,R.Sessegnon,4.5,4.5,Spurs,52,2.10,53,3.12
M,437,Bergwijn,5.5,5.5,Spurs,0,0.00,0,0.00
D,438,Reguilón,4.2,4.2,Spurs,0,0.00,0,0.00
D,439,Tanganga,3.9,3.9,Spurs,0,0.00,2,0.08
M,440,Bentancur,5.4,5.4,Spurs,79,2.38,59,2.17
M,441,Skipp,4.4,4.4,Spurs,17,0.68,30,1.20
D,442,Rodon,4.0,4.0,Spurs,0,0.00,0,0.00
D,443,Romero,4.9,4.9,Spurs,85,2.16,79,3.22
M,444,Bissouma,4.7,4.7,Spurs,45,1.49,51,1.85
D,445,Emerson Royal,4.9,4.9,Spurs,28,0.99,28,1.47
M,446,Kulusevski,8.0,8.0,Spurs,3,0.12,14,0.88
F,447,Scarlett,4.5,4.5,Spurs,0,0.00,0,0.00
D,448,Perišić,5.5,5.5,Spurs,53,2.44,50,3.36
M,449,White,4.4,4.4,Spurs,0,0.00,1,0.00
M,450,Sarr,4.3,4.3,Spurs,1,0.05,6,0.32
G,451,Austin,3.9,3.9,Spurs,0,0.00,0,0.00
M,452,Devine,4.4,4.4,Spurs,0,0.00,1,0.00
