Pos,ID,Name,BV,SV,Team,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
G,1,Leno,4.5,4.5,Arsenal,0,0.00,1,0.03,1,0.10,1,0.03,1,0.04
G,2,Rúnarsson,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,3,Willian,6.3,6.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,4,Aubameyang,9.6,9.6,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,5,Cédric,4.2,4.2,Arsenal,81,3.31,74,3.05,61,5.23,62,2.84,44,2.38
F,6,Lacazette,8.3,8.3,Arsenal,37,2.46,47,2.84,53,6.67,48,2.89,51,3.57
M,7,Xhaka,4.8,4.8,Arsenal,85,2.61,82,2.46,79,4.91,74,2.29,75,2.59
D,8,Marí,4.2,4.2,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,9,Bellerín,4.8,4.8,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,Chambers,4.2,4.2,Aston Villa,11,0.39,26,1.31,27,1.80,24,2.09,25,0.42
D,11,Kolasinac,4.2,4.2,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,12,Elneny,4.4,4.4,Arsenal,43,1.54,43,1.51,44,3.13,43,1.52,38,1.50
M,13,Maitland-Niles,5.2,5.2,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,14,Holding,4.1,4.1,Arsenal,13,0.47,14,0.50,15,1.16,20,0.85,20,1.00
M,15,Partey,5.0,5.0,Arsenal,0,0.00,0,0.00,0,0.00,10,0.37,27,1.07
D,16,Tierney,5.0,5.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,17,Pépé,6.9,6.9,Arsenal,16,1.24,16,1.17,17,2.79,16,1.19,20,1.71
M,18,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,19,Willock,5.6,5.6,Newcastle,47,2.28,54,2.01,49,1.68,56,2.19,54,2.24
F,20,Nketiah,5.4,5.4,Arsenal,41,2.37,37,2.07,30,3.71,38,2.14,31,2.10
M,21,Smith Rowe,5.7,5.7,Arsenal,55,2.92,57,2.85,59,6.12,51,2.59,54,3.17
M,22,Saka,6.8,6.6,Arsenal,79,4.80,79,4.44,76,9.12,73,4.20,71,4.96
D,23,Gabriel,5.4,5.4,Arsenal,89,3.61,86,3.40,85,6.80,80,3.44,83,4.31
D,24,Mavropanos,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,25,Guendouzi,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,26,Martinelli,5.3,5.3,Arsenal,57,3.22,53,2.89,53,5.98,61,3.25,54,3.40
D,27,Saliba,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,28,Steer,3.9,3.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,29,Hourihane,4.9,4.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,30,Martínez,5.5,5.5,Aston Villa,90,3.56,89,4.10,87,6.83,89,7.82,89,3.13
D,31,Engels,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,32,Traoré,5.7,5.7,Aston Villa,1,0.12,1,0.14,2,0.26,2,0.31,3,0.20
M,33,Grealish,7.5,7.5,Man City,42,3.22,49,3.26,46,6.02,43,2.63,48,3.31
M,34,Sanson,5.0,5.0,Aston Villa,7,0.42,12,0.70,14,1.34,14,1.44,15,0.61
M,35,McGinn,5.6,5.6,Aston Villa,85,3.03,82,3.72,81,5.20,81,6.06,79,2.06
D,36,Hause,4.4,4.4,Aston Villa,1,0.05,2,0.12,3,0.21,3,0.30,1,0.03
M,37,Trézéguet,5.4,5.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,38,Mings,5.0,5.0,Aston Villa,89,2.86,74,3.59,77,4.22,82,6.81,83,1.09
D,39,Targett,4.7,4.7,Newcastle,88,3.73,87,1.88,82,1.20,85,2.71,85,3.20
F,40,Watkins,7.4,7.4,Aston Villa,81,3.88,78,4.82,77,6.52,78,7.75,73,2.42
M,41,Nakamba,4.4,4.4,Aston Villa,11,0.40,12,0.46,16,1.08,20,1.41,21,0.66
M,42,El Ghazi,5.6,5.6,Everton,5,0.30,4,0.27,3,0.56,3,0.50,4,0.26
M,43,Buendía,6.1,6.1,Aston Villa,31,1.67,35,2.19,39,3.57,38,4.00,38,1.44
D,44,Cash,5.2,5.2,Aston Villa,88,3.04,85,4.37,84,5.02,81,7.17,82,1.17
D,45,Konsa,4.9,4.9,Aston Villa,81,2.69,79,3.77,77,4.51,73,6.21,72,1.06
D,46,Guilbert,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,47,Wesley,5.4,5.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,48,Samatta,5.5,5.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,49,Davis,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,50,Douglas Luiz,4.4,4.4,Aston Villa,80,2.47,78,2.91,73,4.32,73,4.83,71,1.81
M,51,Ramsey,4.7,4.7,Aston Villa,77,2.89,75,3.50,73,5.02,70,5.66,69,2.00
D,52,Young,4.7,4.7,Aston Villa,84,2.99,69,3.83,48,3.47,31,3.07,27,0.71
M,53,Lallana,5.3,5.3,Brighton,25,1.26,21,1.05,19,0.95,22,1.11,22,1.15
G,54,Steele,3.9,3.9,Brighton,0,0.00,0,0.02,0,0.00,1,0.04,1,0.05
M,55,Groß,5.7,5.7,Brighton,74,3.81,58,2.70,58,2.88,57,2.88,61,3.27
D,56,Duffy,4.0,4.0,Brighton,2,0.09,4,0.17,4,0.16,7,0.28,8,0.35
M,57,Pröpper,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,58,Burn,4.4,4.4,Newcastle,88,3.60,86,1.78,83,1.13,82,2.60,80,2.98
D,59,Dunk,4.8,4.8,Brighton,89,3.73,83,3.38,84,2.95,81,2.73,81,3.44
M,60,March,5.3,5.3,Brighton,44,1.88,42,1.75,42,1.76,48,1.95,48,2.04
D,61,Webster,4.3,4.3,Brighton,40,1.72,48,1.94,58,2.01,51,1.72,55,2.29
D,62,Veltman,4.2,4.2,Brighton,78,3.01,71,2.71,67,2.19,69,2.14,66,2.59
F,63,Maupay,6.4,6.4,Brighton,55,2.92,51,2.43,57,2.87,52,2.71,52,2.83
M,64,Trossard,5.8,5.8,Brighton,58,2.88,64,2.83,61,2.81,60,2.83,63,3.16
G,65,Ryan,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,66,Jahanbakhsh,5.5,5.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,67,White,4.6,4.6,Arsenal,89,3.19,84,3.00,84,5.97,82,3.21,78,3.66
D,68,Bernardo,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,69,Sánchez,4.6,4.5,Brighton,90,3.90,89,3.86,89,3.59,86,3.38,87,3.76
M,70,Bissouma,4.4,4.4,Brighton,0,0.00,76,2.36,74,2.29,72,2.26,75,2.45
D,71,Lamptey,4.5,4.5,Brighton,75,3.48,68,3.05,65,2.59,63,2.42,60,2.84
F,72,Connolly,5.3,5.3,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,73,Alzate,4.8,4.8,Brighton,4,0.26,2,0.18,5,0.28,3,0.23,5,0.32
M,74,Mac Allister,5.1,5.1,Brighton,75,3.51,72,3.07,69,3.06,68,3.11,69,3.36
M,75,Moder,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,76,Jansson,4.4,4.4,Brentford,89,2.34,85,1.83,82,2.84,83,2.60,82,2.84
M,77,Nørgaard,5.0,5.0,Brentford,85,2.40,84,2.24,81,2.53,80,2.35,78,2.50
F,78,Toney,6.9,6.9,Brentford,81,3.87,80,3.41,78,4.34,78,3.80,78,4.60
M,79,Fosu,5.1,5.1,Brentford,5,0.31,5,0.30,4,0.31,3,0.23,6,0.39
G,80,Raya,4.3,4.3,Brentford,90,3.42,90,3.30,88,3.72,87,3.52,87,3.59
M,81,Canós,5.5,5.5,Brentford,0,0.00,13,0.66,24,1.33,36,1.78,43,2.35
M,82,Dasilva,5.3,5.3,Brentford,17,0.79,19,0.93,21,1.09,21,1.07,23,1.26
D,83,Henry,4.5,4.5,Brentford,85,2.37,84,1.92,82,2.95,81,2.66,76,2.79
M,84,Janelt,4.9,4.9,Brentford,72,2.39,65,2.08,65,2.41,62,2.18,60,2.31
M,85,Ghoddos,5.2,5.2,Brentford,7,0.43,5,0.31,7,0.48,5,0.36,4,0.33
M,86,Jensen,4.9,4.9,Brentford,13,0.63,15,0.70,13,0.65,14,0.72,18,0.99
D,87,Goode,3.9,3.9,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,88,Forss,5.3,5.3,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,89,Roerslev,4.1,4.1,Brentford,39,1.26,30,0.85,28,1.12,26,0.99,27,1.06
D,90,Sørensen,4.3,4.3,Brentford,47,1.28,11,0.29,13,0.47,13,0.44,13,0.46
D,91,Pinnock,4.4,4.4,Brentford,33,1.02,78,1.88,76,2.87,74,2.55,71,2.69
G,92,Balcombe,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,93,Zamburek,4.4,4.4,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,94,Gunnarsson,3.9,3.9,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,95,Dervişoğlu,5.4,5.4,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,96,Mbeumo,5.2,5.2,Brentford,83,3.47,80,3.09,77,3.83,77,3.42,75,3.97
M,97,Bidstrup,4.4,4.4,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,98,Tarkowski,4.9,4.9,Burnley,89,3.26,87,3.01,83,2.80,83,3.80,80,2.94
D,99,Bardsley,3.9,3.9,Burnley,0,0.01,0,0.02,1,0.04,0,0.02,1,0.02
D,100,Pieters,4.1,4.1,Burnley,0,0.01,5,0.18,12,0.41,16,0.84,15,0.57
M,101,Cork,4.4,4.4,Burnley,82,2.48,78,2.35,80,2.39,77,4.20,76,2.34
M,102,Stephens,4.4,4.4,Burnley,11,0.49,12,0.52,10,0.45,11,0.88,10,0.45
D,103,Long,4.0,4.0,Burnley,3,0.12,8,0.29,8,0.28,3,0.18,3,0.13
F,104,Rodriguez,5.2,5.2,Burnley,68,3.04,65,2.89,69,3.13,65,5.05,65,3.00
F,105,Barnes,5.2,5.2,Burnley,12,0.64,14,0.72,12,0.64,11,1.07,10,0.56
D,106,Mee,4.7,4.7,Burnley,0,0.00,2,0.10,31,1.18,68,3.65,78,3.22
M,107,Westwood,5.2,5.2,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,108,Gudmundsson,5.4,5.4,Burnley,0,0.00,0,0.00,0,0.00,16,1.39,23,1.10
F,109,Wood,6.8,6.8,Newcastle,82,4.48,77,3.02,65,2.27,46,2.23,48,2.44
D,110,Lowton,4.4,4.4,Burnley,46,1.94,52,2.03,52,2.00,52,2.85,49,2.02
F,111,Vydra,5.2,5.2,Burnley,30,1.63,39,2.00,34,1.85,33,3.10,33,1.82
G,112,Pope,5.4,5.4,Burnley,90,3.89,89,3.76,89,3.68,88,6.54,88,3.79
D,113,Taylor,4.4,4.4,Burnley,88,3.25,83,2.90,79,2.72,74,3.62,76,2.82
G,114,Norris,4.3,4.3,Burnley,0,0.01,0,0.00,1,0.03,1,0.05,0,0.02
M,115,Brownhill,4.3,4.3,Burnley,74,2.52,72,2.42,80,2.72,80,4.72,78,2.67
M,116,Benson,4.5,4.5,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,117,Peacock-Farrell,4.5,4.5,Burnley,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,118,McNeil,5.5,5.5,Burnley,71,2.87,69,2.77,68,2.79,66,4.72,66,2.76
D,119,Azpilicueta,5.6,5.6,Chelsea,61,5.48,47,2.32,51,5.17,51,2.71,65,3.79
