Pos,ID,Name,BV,SV,Team,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts
M,195,Gordon,5.4,5.4,Everton,74,3.35,70,3.14,70,3.46,68,3.16
D,196,Branthwaite,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00,0,0.00
D,197,Patterson,4.0,4.0,Everton,0,0.00,0,0.00,8,0.33,29,1.11
D,198,Nkounkou,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00,0,0.00
D,199,Tarkowski,4.4,4.4,Everton,83,2.99,80,2.50,76,2.70,73,2.60
M,200,Cairney,4.7,4.7,Fulham,33,1.47,28,1.34,29,1.07,31,1.30
D,201,Ream,4.5,4.5,Fulham,85,2.13,82,2.79,80,1.09,78,1.75
M,202,Knockaert,4.7,4.7,Fulham,0,0.00,0,0.00,0,0.00,0,0.00
M,203,Chalobah,4.4,4.4,Fulham,14,0.54,17,0.68,19,0.71,18,0.73
M,204,Kebano,5.4,5.4,Fulham,37,1.96,38,2.15,28,1.16,30,1.59
M,205,De Cordova-Reid,5.5,5.5,Fulham,61,2.51,60,2.74,55,1.71,56,2.25
D,206,Bryan,4.4,4.4,Fulham,0,0.00,0,0.00,0,0.00,0,0.00
G,207,Gazzaniga,4.0,4.0,Fulham,0,0.00,0,0.00,0,0.00,0,0.00
D,208,Kongolo,3.9,3.9,Fulham,0,0.00,0,0.00,0,0.00,0,0.00
D,209,Tosin,4.5,4.5,Fulham,39,1.03,39,1.39,37,0.56,38,0.92
F,210,Mitrović,6.8,6.8,Fulham,82,4.68,80,5.06,78,2.80,74,4.02
M,211,Reed,4.5,4.5,Fulham,52,1.61,55,1.78,55,1.41,55,1.63
M,212,Wilson,5.7,5.7,Fulham,46,2.23,51,2.63,53,1.76,53,2.45
G,213,Rodák,4.4,4.4,Fulham,2,0.04,3,0.08,4,0.11,5,0.15
M,214,Cavaleiro,4.8,4.8,Fulham,0,0.00,0,0.00,0,0.00,0,0.00
D,215,Tete,4.5,4.5,Fulham,5,0.16,15,0.62,55,0.82,60,1.57
M,216,Onomah,4.3,4.3,Fulham,0,0.00,0,0.00,0,0.00,0,0.00
D,217,Robinson,4.4,4.4,Fulham,83,2.35,77,2.90,73,1.07,68,1.74
F,218,Muniz,5.4,5.4,Fulham,0,0.00,0,0.00,0,0.00,0,0.00
F,219,Stansfield,4.5,4.5,Fulham,0,0.00,0,0.00,0,0.00,0,0.00
M,220,Palhinha,5.0,5.0,Fulham,85,2.35,83,2.48,77,1.72,75,2.04
D,221,Cooper,4.4,4.4,Leeds,85,2.83,80,1.23,78,3.02,75,1.36
D,222,Ayling,4.5,4.5,Leeds,15,0.53,18,0.34,21,0.91,22,0.48
M,223,Klich,4.7,4.7,Leeds,22,1.20,27,1.13,29,1.56,31,1.28
M,224,Forshaw,4.4,4.4,Leeds,0,0.00,0,0.00,0,0.00,2,0.04
M,225,Rodrigo,6.3,6.3,Leeds,37,2.97,42,2.11,43,3.60,44,2.40
D,226,Dallas,4.9,4.9,Leeds,0,0.00,0,0.00,0,0.00,0,0.00
F,227,Bamford,7.2,7.2,Leeds,71,4.57,68,2.84,65,4.32,65,2.96
D,228,Llorente,4.5,4.5,Leeds,15,0.53,22,0.41,25,0.97,29,0.57
M,229,Roberts,5.0,5.0,Leeds,0,0.00,0,0.00,0,0.00,0,0.00
D,230,Koch,4.5,4.5,Leeds,81,2.72,75,1.17,74,2.87,71,1.29
M,231,James,6.0,6.0,Fulham,0,0.00,0,0.00,0,0.00,0,0.00
M,232,Raphinha,7.0,7.0,Leeds,0,0.00,0,0.00,0,0.00,0,0.00
M,233,Harrison,6.0,6.0,Leeds,74,4.20,68,2.56,68,4.04,66,2.74
M,234,Shackleton,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.00,0,0.00
D,235,Struijk,4.5,4.5,Leeds,26,0.96,45,0.74,36,1.50,36,0.72
G,236,Klaesson,3.9,3.9,Leeds,1,0.04,2,0.07,3,0.13,2,0.07
F,237,Greenwood,4.3,4.3,Leeds,1,0.00,2,0.06,2,0.07,3,0.12
G,238,Meslier,4.5,4.5,Leeds,89,3.61,88,3.10,87,3.72,88,3.07
D,239,Firpo,4.5,4.5,Leeds,58,2.41,44,0.88,53,2.45,53,1.22
M,240,Summerville,4.4,4.4,Leeds,11,0.64,16,0.68,15,0.82,17,0.79
M,241,Bate,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.00,0,0.00
F,242,Gelhardt,5.2,5.2,Leeds,6,0.42,8,0.42,11,0.79,10,0.53
D,243,Hjelde,3.9,3.9,Leeds,2,0.04,4,0.09,5,0.21,5,0.12
D,244,Kristensen,4.8,4.8,Leeds,80,2.95,74,1.18,70,2.98,70,1.35
M,245,Roca,4.9,4.9,Leeds,75,2.94,70,2.06,69,2.85,68,2.14
M,246,Aaronson,5.5,5.5,Leeds,74,3.58,72,2.38,69,3.44,68,2.45
M,247,Gyabi,4.3,4.3,Leeds,0,0.00,1,0.00,1,0.00,1,0.00
G,248,Schmeichel,5.0,5.0,Leicester,0,0.00,0,0.00,0,0.00,0,0.00
D,249,Evans,4.4,4.4,Leicester,3,0.09,30,0.48,64,1.83,74,1.77
D,250,Bertrand,4.0,4.0,Leicester,0,0.00,0,0.00,0,0.00,0,0.00
M,251,Albrighton,4.7,4.7,Leicester,8,0.35,10,0.39,9,0.35,12,0.50
M,252,Mendy,4.3,4.3,Leicester,35,1.08,34,0.97,24,0.80,17,0.55
D,253,Vestergaard,3.9,3.9,Leicester,9,0.27,6,0.14,1,0.04,2,0.04
G,254,Ward,4.1,4.0,Leicester,87,3.28,85,2.98,84,3.12,81,2.87
F,255,Vardy,9.2,9.2,Leicester,48,2.82,46,2.17,45,2.72,45,2.46
D,256,Ricardo,4.3,4.3,Leicester,0,0.00,0,0.00,0,0.00,0,0.00
D,257,Amartey,4.3,4.3,Leicester,81,2.35,61,0.97,40,1.18,34,0.89
D,258,Castagne,4.5,4.5,Leicester,77,2.52,73,1.20,68,2.23,66,1.83
M,259,Tielemans,6.3,6.3,Leicester,81,3.21,78,2.52,76,3.07,72,2.74
M,260,Pérez,4.8,4.8,Leicester,15,0.83,18,0.87,16,0.90,15,0.79
M,261,Maddison,8.2,8.2,Leicester,82,3.80,80,2.91,78,3.65,76,3.23
F,262,Iheanacho,6.1,6.1,Leicester,25,1.45,26,1.25,27,1.61,28,1.55
M,263,Choudhury,4.5,4.5,Leicester,0,0.00,0,0.00,0,0.00,0,0.00
M,264,Barnes,6.9,6.9,Leicester,75,3.61,71,2.71,71,3.45,70,3.10
M,265,Ndidi,4.8,4.8,Leicester,0,0.00,8,0.20,39,1.08,59,1.59
M,266,Dewsbury-Hall,5.0,5.0,Leicester,70,2.40,67,1.94,64,2.23,59,1.93
D,267,Söyüncü,4.2,4.2,Leicester,1,0.03,6,0.09,6,0.14,6,0.15
D,268,Justin,4.3,4.3,Leicester,82,2.57,80,1.25,77,2.42,76,2.01
M,269,Soumaré,4.4,4.4,Leicester,38,1.36,41,1.28,32,1.16,27,1.01
D,270,Thomas,4.3,4.3,Leicester,18,0.55,18,0.34,21,0.69,24,0.68
F,271,Daka,5.7,5.7,Leicester,51,2.92,50,2.27,48,2.77,48,2.56
D,272,Fofana,4.4,4.4,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00
D,273,Brunt,3.9,3.9,Leicester,1,0.03,2,0.02,0,0.00,1,0.00
M,274,Milner,4.4,4.4,Liverpool,18,0.91,18,0.87,16,0.67,17,0.82
M,275,Henderson,5.3,5.3,Liverpool,58,2.49,59,2.57,58,2.10,54,2.42
D,276,Matip,5.9,5.9,Liverpool,0,0.00,0,0.00,9,0.29,26,1.34
M,277,Thiago,5.2,5.2,Liverpool,61,2.75,56,2.61,58,2.13,54,2.56
M,278,Chamberlain,4.9,4.9,Liverpool,13,0.74,15,0.98,14,0.76,19,1.25
F,279,Firmino,8.1,8.1,Liverpool,66,4.74,67,5.09,69,3.81,67,5.05
D,280,Van Dijk,6.4,6.4,Liverpool,87,4.60,83,4.30,82,2.78,81,4.29
G,281,Alisson,5.4,5.4,Liverpool,89,4.32,89,4.17,88,3.51,87,4.20
M,282,Fabinho,5.3,5.3,Liverpool,63,2.30,59,2.20,58,1.75,52,1.96
M,283,Salah,12.8,12.7,Liverpool,85,8.46,83,9.00,81,5.85,79,8.53
D,284,Robertson,6.7,6.7,Liverpool,76,4.68,71,4.30,74,2.96,70,4.41
D,285,Alexander-Arnold,7.2,7.2,Liverpool,78,5.54,82,5.85,78,3.60,74,5.49
D,286,Gomez,4.5,4.5,Liverpool,80,3.75,67,3.04,41,1.28,29,1.43
M,287,Keita,4.8,4.8,Liverpool,0,0.00,0,0.00,2,0.10,9,0.53
F,288,Diogo Jota,8.9,8.9,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00
G,289,Kelleher,4.0,4.0,Liverpool,1,0.05,1,0.05,2,0.08,3,0.10
D,290,Konaté,4.8,4.8,Liverpool,0,0.00,18,0.84,44,1.32,50,2.41
M,291,Jones,4.9,4.9,Liverpool,6,0.34,8,0.52,10,0.53,15,0.88
D,292,Tsimikas,4.5,4.5,Liverpool,15,0.84,20,1.14,17,0.71,19,1.10
M,293,Luis Díaz,7.9,7.9,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00
M,294,Elliott,5.0,5.0,Liverpool,54,3.37,52,3.37,49,2.40,49,3.21
D,295,N.Williams,4.1,4.1,Nott'm Forest,68,1.24,51,0.92,47,1.72,48,1.74
M,296,Carvalho,5.4,5.4,Liverpool,58,4.32,57,4.51,56,3.13,54,4.24
F,297,Darwin,8.8,8.8,Liverpool,69,5.51,72,6.11,73,4.31,68,5.68
D,298,Ramsay,3.9,3.9,Liverpool,1,0.00,1,0.00,1,0.00,1,0.00
D,299,Walker,4.9,4.9,Man City,0,0.00,0,0.00,8,0.41,29,1.65
M,300,Gündogan,7.4,7.4,Man City,44,2.48,48,2.62,46,2.94,46,2.77
M,301,De Bruyne,12.3,12.3,Man City,81,6.16,77,5.83,71,6.44,70,6.04
D,302,Stones,5.4,5.4,Man City,7,0.39,22,1.07,40,2.26,46,2.49
M,303,Mahrez,7.5,7.5,Man City,32,2.84,38,3.35,40,4.14,38,3.77
M,304,Sterling,9.9,9.9,Chelsea,79,4.14,72,3.48,75,3.74,71,3.44
M,305,Grealish,6.8,6.8,Man City,62,3.55,61,3.50,58,3.94,61,3.88
D,306,Cancelo,7.3,7.3,Man City,80,5.03,75,4.32,69,4.75,71,4.72
G,307,Ederson,5.5,5.5,Man City,89,4.33,88,4.02,88,4.43,88,4.27
D,308,Aké,5.0,5.0,Man City,46,2.57,43,2.17,42,2.46,38,2.12
D,309,Laporte,5.8,5.8,Man City,60,3.25,61,3.08,57,3.32,58,3.23
G,310,Steffen,4.0,4.0,Man City,0,0.00,0,0.00,0,0.00,0,0.00
M,311,Bernardo,6.9,6.9,Man City,61,3.31,63,3.34,61,3.79,64,3.75
D,312,Dias,5.9,5.9,Man City,71,3.67,63,2.92,62,3.40,58,3.02
D,313,Zinchenko,5.0,5.0,Arsenal,47,2.32,57,3.61,63,2.27,62,2.99
M,314,Foden,8.3,8.3,Man City,69,5.48,65,5.13,64,5.99,64,5.79
M,315,Rodri,5.7,5.7,Man City,80,3.08,74,2.81,73,3.17,72,2.97
M,316,Palmer,4.3,4.3,Man City,7,0.51,13,0.92,15,1.20,13,0.93
M,317,McAtee,4.5,4.5,Man City,0,0.00,0,0.00,0,0.00,0,0.00
F,318,Haaland,12.1,11.8,Man City,82,7.97,74,7.40,71,8.69,73,8.35
F,319,Álvarez,6.0,6.0,Man City,21,1.50,26,1.94,32,2.72,28,2.22
D,320,Mbete,3.9,3.9,Man City,0,0.00,0,0.00,0,0.00,0,0.00
M,321,Lavia,4.5,4.5,Southampton,11,0.35,37,1.15,75,2.14,73,1.83
D,322,Wilson-Esbrand,3.8,3.8,Man City,1,0.00,2,0.07,2,0.04,0,0.00
F,323,Delap,4.4,4.4,Man City,0,0.00,0,0.00,0,0.00,0,0.00
G,324,Ortega,3.8,3.8,Man City,1,0.05,2,0.05,2,0.05,2,0.10
M,325,Phillips,4.8,4.8,Man City,0,0.00,0,0.00,3,0.13,9,0.37
F,326,Ronaldo,10.2,10.2,Man Utd,19,1.03,26,1.81,24,1.47,30,1.99
G,327,De Gea,4.9,4.9,Man Utd,85,3.20,84,3.60,81,3.24,83,3.43
D,328,Jones,3.9,3.9,Man Utd,0,0.00,0,0.00,0,0.00,1,0.00
D,329,Varane,4.8,4.8,Man Utd,84,2.36,79,3.18,76,2.65,75,2.90
D,330,Maguire,4.7,4.7,Man Utd,7,0.20,14,0.55,20,0.69,24,0.92
M,331,Fred,5.1,5.1,Man Utd,21,0.84,30,1.25,29,1.15,29,1.21
D,332,Shaw,4.7,4.7,Man Utd,68,2.12,70,3.16,67,2.62,66,2.90
M,333,Fernandes,9.8,9.8,Man Utd,82,3.47,64,3.51,66,3.29,66,3.60
D,334,Telles,5.0,5.0,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00
M,335,Rashford,6.6,6.6,Man Utd,75,3.91,68,4.64,62,3.86,62,4.29
M,336,Van de Beek,5.1,5.1,Man Utd,1,0.00,4,0.15,6,0.29,8,0.40
D,337,Lindelöf,4.3,4.3,Man Utd,6,0.17,5,0.18,5,0.16,6,0.17
M,338,McTominay,4.9,4.9,Man Utd,38,1.13,41,1.37,43,1.32,43,1.39
D,339,Bailly,4.0,4.0,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00
M,340,Sancho,7.3,7.3,Man Utd,70,3.52,56,3.71,46,2.79,43,2.89
D,341,Wan-Bissaka,4.3,4.3,Man Utd,0,0.00,4,0.12,8,0.26,15,0.60
D,342,Dalot,4.6,4.6,Man Utd,84,2.31,64,2.60,68,2.35,64,2.44
D,343,B.Williams,3.9,3.9,Man Utd,0,0.00,3,0.07,8,0.23,10,0.32
M,344,Elanga,4.8,4.8,Man Utd,16,0.87,14,0.90,9,0.56,7,0.48
F,345,Martial,6.8,6.8,Man Utd,4,0.20,28,1.93,54,3.26,55,3.75
M,346,Andreas,4.6,4.5,Fulham,81,3.10,77,3.25,74,2.10,72,2.70
M,347,Pellistri,4.4,4.4,Man Utd,1,0.00,1,0.10,1,0.00,1,0.00
G,348,Heaton,3.9,3.9,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00
M,349,Shelvey,4.8,4.8,Newcastle,11,0.35,16,0.66,21,0.80,23,0.82
D,350,Ritchie,4.3,4.3,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00
D,351,Fernández,4.4,4.4,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00
D,352,Clark,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00
G,353,Darlow,4.0,4.0,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00
F,354,Wood,5.6,5.6,Newcastle,14,0.77,16,0.98,17,0.99,17,0.97
G,355,Dubravka,4.2,4.2,Man Utd,5,0.15,6,0.22,9,0.37,7,0.25
F,356,Wilson,7.3,7.3,Newcastle,79,4.07,75,4.89,71,4.45,70,3.92
D,357,Trippier,5.7,5.4,Newcastle,79,2.52,81,4.12,80,3.74,77,3.17
D,358,Burn,4.5,4.5,Newcastle,66,1.69,78,3.26,77,2.90,75,2.50
M,359,Fraser,5.2,5.2,Newcastle,38,1.85,39,2.31,35,2.00,22,1.22
D,360,Lascelles,4.3,4.3,Newcastle,6,0.18,16,0.63,20,0.75,21,0.71
F,361,Gayle,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00
D,362,Dummett,3.9,3.9,Newcastle,0,0.00,2,0.08,3,0.07,5,0.14
D,363,Manquillo,4.3,4.3,Newcastle,11,0.31,8,0.33,9,0.31,9,0.32
D,364,Krafth,4.3,4.3,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00
M,365,Murphy,4.3,4.3,Newcastle,57,2.48,47,2.56,47,2.40,34,1.70
D,366,Schär,4.9,4.8,Newcastle,71,2.00,63,2.77,61,2.44,64,2.26
D,367,Targett,4.9,4.9,Newcastle,64,1.86,36,1.67,37,1.61,37,1.43
M,368,Saint-Maximin,6.3,6.3,Newcastle,2,0.05,20,1.13,37,2.00,76,3.58
M,369,Almirón,5.3,5.3,Newcastle,77,3.17,73,3.77,66,3.31,60,2.71
M,370,S.Longstaff,4.4,4.4,Newcastle,64,1.85,54,1.86,49,1.65,54,1.67
M,371,Joelinton,5.9,5.9,Newcastle,46,1.74,54,2.49,52,2.33,50,2.06
D,372,Lewis,4.4,4.4,Newcastle,2,0.06,4,0.16,4,0.15,5,0.14
M,373,Willock,4.9,4.9,Newcastle,68,2.59,63,2.96,64,2.85,60,2.46
M,374,Bruno Guimarães,5.7,5.7,Newcastle,78,2.80,77,3.44,76,3.22,72,2.80
M,375,Hendrick,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00
G,376,Pope,5.3,5.2,Newcastle,89,3.31,89,3.92,88,3.77,87,3.59
D,377,Botman,4.4,4.4,Newcastle,62,1.63,72,3.03,68,2.60,67,2.24
M,378,Arter,4.3,4.3,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00
D,379,Cook,4.4,4.4,Nott'm Forest,82,1.36,67,1.11,68,2.05,71,2.23
F,380,Taylor,4.3,4.3,Nott'm Forest,0,0.00,0,0.00,1,0.00,0,0.00
M,381,Colback,4.3,4.3,Nott'm Forest,4,0.13,8,0.23,9,0.33,10,0.36
G,382,Samba,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00
M,383,Cafú,4.3,4.3,Nott'm Forest,2,0.07,2,0.04,1,0.04,2,0.08
M,384,Lolley,4.9,4.9,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00
D,385,McKenna,4.4,4.4,Nott'm Forest,86,1.33,68,1.03,67,1.85,71,2.04
D,386,Dräger,4.0,4.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00
M,387,Yates,5.0,5.0,Nott'm Forest,80,2.09,75,1.90,72,2.26,72,2.21
D,388,Worrall,4.3,4.3,Nott'm Forest,25,0.44,38,0.61,36,1.09,32,1.00
D,389,Panzo,4.0,4.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00
M,390,Xande Silva,5.0,5.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00
F,391,Surridge,4.8,4.8,Nott'm Forest,3,0.15,4,0.21,6,0.37,6,0.41
D,392,Laryea,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00
D,393,Mbe Soh,4.3,4.3,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00
F,394,Johnson,5.8,5.8,Nott'm Forest,83,2.72,81,2.56,75,3.08,74,2.87
M,395,Mighten,4.9,4.9,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00
M,396,Ojeda,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00
F,397,Awoniyi,5.7,5.7,Nott'm Forest,29,1.37,31,1.39,32,1.85,34,1.89
G,398,Henderson,4.7,4.7,Nott'm Forest,89,3.16,88,3.16,87,3.40,86,3.42
D,399,Biancone,4.3,4.3,Nott'm Forest,16,0.37,4,0.08,4,0.10,4,0.10
M,400,Walcott,4.9,4.9,Southampton,5,0.29,5,0.34,5,0.36,5,0.32
G,401,McCarthy,4.3,4.3,Southampton,2,0.07,6,0.19,4,0.11,6,0.18
M,402,Romeu,4.8,4.8,Southampton,0,0.00,0,0.00,0,0.00,0,0.00
M,403,Redmond,5.3,5.3,Southampton,0,0.00,0,0.00,0,0.00,0,0.00
D,404,Stephens,4.3,4.3,Bournemouth,12,0.27,13,0.33,14,0.37,8,0.25
M,405,S.Armstrong,4.8,4.8,Southampton,48,1.75,48,1.81,44,1.73,44,1.48
M,406,Elyounoussi,5.2,5.2,Southampton,56,2.28,54,2.22,53,2.29,52,1.85
M,407,Ward-Prowse,6.4,6.4,Southampton,88,3.15,83,3.10,85,3.36,83,2.58
F,408,A.Armstrong,5.5,5.5,Southampton,61,3.00,59,2.94,55,2.93,58,2.43
D,409,Walker-Peters,4.5,4.5,Southampton,70,1.57,82,2.31,83,2.39,81,1.23
D,410,Bednarek,4.3,4.3,Aston Villa,8,0.26,8,0.17,7,0.16,8,0.21
F,411,Adams,6.4,6.4,Southampton,79,3.11,74,2.96,72,3.10,71,2.44
M,412,Tella,5.0,5.0,Southampton,0,0.00,0,0.00,0,0.00,0,0.00
D,413,Lyanco,4.4,4.4,Southampton,16,0.34,20,0.56,17,0.46,14,0.27
D,414,Valery,4.0,4.0,Southampton,0,0.00,0,0.00,0,0.00,0,0.00
